body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"BD+12 810",Star,"G (White-Yellow) Star",,0,0,,,0,0,Tonke,"2017-02-28 18:30:33",https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810
5,"BD+12 810 1",Planet,"Metal-rich body",,1,943.42,"Iron:34.54,Nickel:26.13,Chromium:15.53,Zinc:9.39,Vanadium:8.48,Cadmium:2.68,Molybdenum:2.26,Polonium:0.99",,0.26,No,"Maria Star","2017-08-06 21:50:31","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/4617727/nameB/BD+12 810 1 5"
6,"BD+12 810 2",Planet,"High metal content world",,1,1620.67,"Iron:22.73,Nickel:17.19,Sulphur:16.11,Carbon:13.55,Manganese:9.39,Phosphorus:8.67,Vanadium:5.58,Selenium:2.52,Cadmium:1.77,Molybdenum:1.48,Antimony:1",,0.24,No,Eisbär,"2017-08-09 12:09:46","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/4617730/nameB/BD+12 810 2 6"
7,"BD+12 810 3",Planet,"High metal content world",,1,4849.05,"Iron:21.86,Nickel:16.53,Sulphur:15.49,Carbon:13.03,Chromium:9.83,Manganese:9.03,Phosphorus:8.34,Selenium:2.42,Niobium:1.49,Tungsten:1.2,Technetium:0.78",,0.82,No,DADNIK,"2017-07-15 05:49:43","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/4617734/nameB/BD+12 810 3 7"
8,"BD+12 810 4",Planet,"High metal content world",,,6204.13,,,1.13,No,Bravestunt,"2017-04-20 01:51:56","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/4622074/nameB/BD+12 810 4 8"
9,"BD+12 810 5",Planet,"High metal content world",,,9543.86,,,2.18,No,Eisbär,"2017-08-09 12:46:40","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/4622080/nameB/BD+12 810 5 9"
10,"BD+12 810 6",Planet,"High metal content world",,,9662.31,,,2.22,No,DADNIK,"2017-07-15 05:51:59","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/4622088/nameB/BD+12 810 6 10"
12,"BD+12 810 7",Planet,"Class III gas giant",,,75199.09,,"1 ring<br/>Rocky",10.99,No,Eisbär,"2017-08-09 12:16:20","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/6849879/nameB/BD+12 810 7 12"
14,"BD+12 810 7 a",Planet,"Rocky body",,1,1591.14,"Iron:19.75,Sulphur:19.28,Carbon:16.22,Nickel:14.94,Phosphorus:10.38,Chromium:8.88,Zinc:5.37,Zirconium:2.29,Molybdenum:1.29,Tungsten:1.08,Polonium:0.51",,0.19,No,Pitpe11,"2017-08-08 11:59:07","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/6801577/nameB/BD+12 810 7 a 14"
15,"BD+12 810 7 b",Planet,"Rocky body",,1,1717.68,"Iron:18.87,Sulphur:18.43,Carbon:15.49,Nickel:14.27,Phosphorus:9.92,Chromium:8.49,Manganese:7.79,Selenium:2.88,Cadmium:1.47,Molybdenum:1.23,Antimony:1.15",,0.21,No,Eisbär,"2017-08-09 12:16:42","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/6849885/nameB/BD+12 810 7 b 15"
16,"BD+12 810 8",Planet,"Class I gas giant",,,57255.44,,"1 ring<br/>Rocky",0.9,No,Eisbär,"2017-08-09 12:14:03","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/6814707/nameB/BD+12 810 8 16"
18,"BD+12 810 9",Planet,"Gas giant with water-based life",,,76869.91,,"1 ring<br/>Rocky",6.18,No,Bravestunt,"2017-04-19 04:57:25","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/6814749/nameB/BD+12 810 9 18"
20,"BD+12 810 9 a",Planet,"Icy body",,1,895.03,"Sulphur:27.33,Carbon:22.98,Phosphorus:14.71,Iron:12.28,Nickel:9.29,Chromium:5.52,Zinc:3.34,Vanadium:3.02,Tungsten:0.67,Mercury:0.54,Polonium:0.32",,0.05,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274223/nameB/BD+12 810 9 a 20"
21,"BD+12 810 9 b",Planet,"Icy body",,1,961.45,"Sulphur:26.53,Carbon:22.3,Phosphorus:14.28,Iron:11.92,Nickel:9.01,Chromium:5.36,Manganese:4.92,Germanium:3.43,Tellurium:0.89,Tin:0.71,Tungsten:0.65",,0.06,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274228/nameB/BD+12 810 9 b 21"
22,"BD+12 810 9 c",Planet,"Icy body",,1,790.68,"Sulphur:27.89,Carbon:23.45,Phosphorus:15.01,Iron:12.53,Nickel:9.48,Selenium:4.36,Zinc:3.4,Zirconium:1.45,Cadmium:0.97,Antimony:0.76,Tungsten:0.69",,0.05,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274225/nameB/BD+12 810 9 c 22"
23,"BD+12 810 9 d",Planet,"Icy body",,1,1183.48,"Sulphur:26.76,Carbon:22.5,Phosphorus:14.41,Iron:12.02,Nickel:9.09,Chromium:5.41,Selenium:4.19,Zinc:3.27,Cadmium:0.93,Tellurium:0.9,Mercury:0.52",,0.07,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274229/nameB/BD+12 810 9 d 23"
24,"BD+12 810 9 e",Planet,"Icy body",,1,1336.04,"Sulphur:27.13,Carbon:22.81,Phosphorus:14.61,Iron:12.19,Nickel:9.22,Manganese:5.03,Germanium:3.51,Zinc:3.31,Molybdenum:0.8,Yttrium:0.73,Tungsten:0.67",,0.08,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274222/nameB/BD+12 810 9 e 24"
25,"BD+12 810 9 f",Planet,"Icy body",,1,1847.17,"Sulphur:28.04,Carbon:23.58,Phosphorus:15.09,Iron:12.6,Nickel:9.53,Chromium:5.66,Arsenic:1.62,Zirconium:1.46,Cadmium:0.98,Yttrium:0.75,Tungsten:0.69",,0.11,No,Bravestunt,"2017-04-19 05:00:15","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/401801/nameB/BD+12 810 9 f 25"
34,"BD+12 810 10",Planet,"Class I gas giant",,,44973.08,,"2 rings<br/>",1.04,No,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/7409798/nameB/BD+12 810 10 34"
37,"BD+12 810 10 a",Planet,"Icy body",,,772.96,,,0.05,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274233/nameB/BD+12 810 10 a 37"
39,"BD+12 810 10 b",Planet,"Icy body",,,776.52,,,0.05,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274219/nameB/BD+12 810 10 b 39"
40,"BD+12 810 10 c",Planet,"Icy body",,,682.84,,,0.04,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274232/nameB/BD+12 810 10 c 40"
41,"BD+12 810 10 d",Planet,"Icy body",,1,767.69,"Sulphur:26.52,Carbon:22.3,Phosphorus:14.28,Iron:11.91,Nickel:9.01,Chromium:5.36,Manganese:4.92,Zinc:3.24,Cadmium:0.93,Tellurium:0.89,Tungsten:0.65",,0.05,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274230/nameB/BD+12 810 10 d 41"
42,"BD+12 810 10 e",Planet,"Icy body",,,1480.27,,,0.09,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274226/nameB/BD+12 810 10 e 42"
43,"BD+12 810 10 f",Planet,"Icy body",,,979.69,,,0.06,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274220/nameB/BD+12 810 10 f 43"
44,"BD+12 810 10 g",Planet,"Icy body",,,1276.30,,,0.08,,EscapeX2,"2017-10-05 10:18:47","https://www.edsm.net/en/system/bodies/id/9220/name/BD%2B12+810/details/idB/8274231/nameB/BD+12 810 10 g 44"
