body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Bloo Eop YM-L c24-0",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,"stachu ziótko","2022-12-04 22:59:52",https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0
5,"Bloo Eop YM-L c24-0 1",Planet,"High metal content world",,,8161.12,,,1.68,No,"stachu ziótko","2022-12-04 22:59:52","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420182869/nameB/Bloo Eop YM-L c24-0 1 5"
12,"Bloo Eop YM-L c24-0 2",Planet,"Class III gas giant",,,73805.26,,,14.39,No,"stachu ziótko","2022-12-04 23:02:18","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420183166/nameB/Bloo Eop YM-L c24-0 2 12"
13,"Bloo Eop YM-L c24-0 2 a",Planet,"Rocky body",,1,1216.00,"Iron:19.58,Sulphur:19.12,Carbon:16.08,Nickel:14.81,Phosphorus:10.3,Chromium:8.8,Vanadium:4.81,Arsenic:2.53,Tellurium:1.47,Niobium:1.34,Tin:1.16",,0.14,No,"stachu ziótko","2022-12-04 23:02:26","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420183189/nameB/Bloo Eop YM-L c24-0 2 a 13"
14,"Bloo Eop YM-L c24-0 2 b",Planet,"Rocky body",,1,826.47,"Iron:18.99,Sulphur:18.56,Carbon:15.6,Nickel:14.37,Phosphorus:9.99,Chromium:8.54,Manganese:7.84,Selenium:2.9,Cadmium:1.48,Tungsten:1.04,Technetium:0.68",,0.1,No,"stachu ziótko","2022-12-04 23:02:34","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420183206/nameB/Bloo Eop YM-L c24-0 2 b 14"
16,"Bloo Eop YM-L c24-0 2 c",Planet,"Rocky body",,,912.02,,,0.11,No,"stachu ziótko","2022-12-04 23:02:43","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420183237/nameB/Bloo Eop YM-L c24-0 2 c 16"
17,"Bloo Eop YM-L c24-0 2 d",Planet,"Rocky body",,,846.63,,,0.1,No,"stachu ziótko","2022-12-04 23:02:40","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420183225/nameB/Bloo Eop YM-L c24-0 2 d 17"
18,"Bloo Eop YM-L c24-0 2 e",Planet,"Rocky body",,1,1313.09,"Iron:19.06,Sulphur:18.56,Carbon:15.61,Nickel:14.42,Phosphorus:9.99,Manganese:7.87,Germanium:5.5,Zinc:5.18,Tellurium:1.42,Molybdenum:1.24,Tin:1.13",,0.16,No,"stachu ziótko","2022-12-04 23:02:51","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420183244/nameB/Bloo Eop YM-L c24-0 2 e 18"
19,"Bloo Eop YM-L c24-0 2 e a",Planet,"Rocky body",,,401.12,,,0.04,No,"stachu ziótko","2022-12-04 23:02:55","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420183255/nameB/Bloo Eop YM-L c24-0 2 e a 19"
20,"Bloo Eop YM-L c24-0 2 f",Planet,"Rocky body",,1,897.46,"Iron:19.17,Sulphur:18.72,Carbon:15.74,Nickel:14.5,Phosphorus:10.08,Manganese:7.92,Germanium:5.55,Zinc:5.21,Cadmium:1.49,Tin:1.14,Polonium:0.49",,0.11,No,"stachu ziótko","2022-12-04 23:02:59","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420183265/nameB/Bloo Eop YM-L c24-0 2 f 20"
22,"Bloo Eop YM-L c24-0 3",Planet,"Class III gas giant",,,74748.34,,"2 rings<br/>",9.67,No,"stachu ziótko","2022-12-04 23:00:56","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420182996/nameB/Bloo Eop YM-L c24-0 3 22"
25,"Bloo Eop YM-L c24-0 3 a",Planet,"Icy body",,1,3195.69,"Sulphur:28.62,Carbon:24.06,Phosphorus:15.41,Iron:12.54,Nickel:9.48,Germanium:3.63,Vanadium:3.08,Arsenic:1.62,Tungsten:0.69,Mercury:0.55,Polonium:0.32",,0.2,No,"stachu ziótko","2022-12-04 23:01:05","https://www.edsm.net/en/system/bodies/id/77912000/name/Bloo+Eop+YM-L+c24-0/details/idB/420183008/nameB/Bloo Eop YM-L c24-0 3 a 25"
