body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Blu Thua XA-Q b46-2",Star,"M (Red dwarf) Star",,0,0,,,0,0,Chaopussy,"2019-07-07 07:19:57",https://www.edsm.net/en/system/bodies/id/2769831/name/Blu+Thua+XA-Q+b46-2
8,"Blu Thua XA-Q b46-2 1",Planet,"High metal content world",,1,637.14,"Iron:23.18,Nickel:17.53,Sulphur:16.34,Carbon:13.74,Chromium:10.42,Phosphorus:8.8,Zirconium:2.69,Selenium:2.56,Cadmium:1.8,Molybdenum:1.51,Ruthenium:1.43",,0.09,No,Chaopussy,"2019-07-07 07:19:58","https://www.edsm.net/en/system/bodies/id/2769831/name/Blu+Thua+XA-Q+b46-2/details/idB/41536742/nameB/Blu Thua XA-Q b46-2 1 8"
9,"Blu Thua XA-Q b46-2 2",Planet,"High metal content world",,1,595.16,"Iron:21.72,Nickel:16.43,Sulphur:15.32,Carbon:12.88,Chromium:9.77,Phosphorus:8.25,Zinc:5.9,Vanadium:5.33,Cadmium:1.69,Molybdenum:1.42,Yttrium:1.3",,0.08,No,Chaopussy,"2019-07-07 07:19:58","https://www.edsm.net/en/system/bodies/id/2769831/name/Blu+Thua+XA-Q+b46-2/details/idB/41536731/nameB/Blu Thua XA-Q b46-2 2 9"
10,"Blu Thua XA-Q b46-2 3",Planet,"High metal content world",,1,702.52,"Iron:21.66,Nickel:16.38,Sulphur:15.27,Carbon:12.84,Chromium:9.74,Manganese:8.94,Phosphorus:8.22,Zirconium:2.51,Cadmium:1.68,Molybdenum:1.41,Ruthenium:1.34",,0.1,No,Chaopussy,"2019-07-07 07:19:58","https://www.edsm.net/en/system/bodies/id/2769831/name/Blu+Thua+XA-Q+b46-2/details/idB/41536730/nameB/Blu Thua XA-Q b46-2 3 10"
11,"Blu Thua XA-Q b46-2 4",Planet,"High metal content world",,1,2508.47,"Iron:22.89,Nickel:17.32,Sulphur:16.11,Carbon:13.55,Manganese:9.45,Phosphorus:8.67,Vanadium:5.62,Zirconium:2.66,Molybdenum:1.49,Tellurium:1.23,Mercury:1",,0.38,No,Chaopussy,"2019-07-07 07:20:07","https://www.edsm.net/en/system/bodies/id/2769831/name/Blu+Thua+XA-Q+b46-2/details/idB/41536721/nameB/Blu Thua XA-Q b46-2 4 11"
12,"Blu Thua XA-Q b46-2 4 a",Planet,"Rocky body",,1,595.80,"Iron:19.92,Sulphur:17.72,Nickel:15.07,Carbon:14.9,Phosphorus:9.54,Chromium:8.96,Zinc:5.41,Germanium:5.23,Molybdenum:1.3,Tin:1.23,Technetium:0.71",,0.07,No,Chaopussy,"2019-07-07 07:20:07","https://www.edsm.net/en/system/bodies/id/2769831/name/Blu+Thua+XA-Q+b46-2/details/idB/41536727/nameB/Blu Thua XA-Q b46-2 4 a 12"
14,"Blu Thua XA-Q b46-2 5",Planet,"Rocky Ice world",,,4128.74,,,0.49,No,Ysdra,"2021-03-13 17:41:59","https://www.edsm.net/en/system/bodies/id/2769831/name/Blu+Thua+XA-Q+b46-2/details/idB/304523241/nameB/Blu Thua XA-Q b46-2 5 14"
15,"Blu Thua XA-Q b46-2 6",Planet,"Rocky Ice world",,,3678.15,,,0.43,No,Ysdra,"2021-03-13 17:41:58","https://www.edsm.net/en/system/bodies/id/2769831/name/Blu+Thua+XA-Q+b46-2/details/idB/304523240/nameB/Blu Thua XA-Q b46-2 6 15"
16,"Blu Thua XA-Q b46-2 7",Planet,"High metal content world","597,558",,7034.21,,,1.35,Yes,cbr600er6n,"2023-02-04 10:21:30","https://www.edsm.net/en/system/bodies/id/2769831/name/Blu+Thua+XA-Q+b46-2/details/idB/429297795/nameB/Blu Thua XA-Q b46-2 7 16"
17,"Blu Thua XA-Q b46-2 8",Planet,"Rocky Ice world",,,10279.12,,,1.63,No,cbr600er6n,"2023-02-04 10:20:23","https://www.edsm.net/en/system/bodies/id/2769831/name/Blu+Thua+XA-Q+b46-2/details/idB/429297699/nameB/Blu Thua XA-Q b46-2 8 17"
