body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"Blu Thua ZH-I b23-5 A",Star,"M (Red dwarf) Star",,0,0,,,0,0,Macros,"2019-01-30 07:09:57","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46124440/nameB/Blu Thua ZH-I b23-5 A 1"
3,"Blu Thua ZH-I b23-5 A 1",Planet,"Rocky Ice world",,,7180.01,,,0.77,No,Macros,"2019-01-30 07:11:16","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46124910/nameB/Blu Thua ZH-I b23-5 A 1 3"
4,"Blu Thua ZH-I b23-5 A 1 a",Planet,"Icy body",,1,2593.37,"Sulphur:25.29,Carbon:21.26,Iron:13.74,Phosphorus:13.61,Nickel:10.39,Chromium:6.18,Zinc:3.73,Vanadium:3.37,Cadmium:1.07,Antimony:0.77,Mercury:0.6",,0.17,No,Macros,"2019-01-30 07:11:07","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46124867/nameB/Blu Thua ZH-I b23-5 A 1 a 4"
5,"Blu Thua ZH-I b23-5 A 2",Planet,"Rocky Ice world",,,5937.84,,,0.6,No,Macros,"2019-01-30 07:11:26","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46124943/nameB/Blu Thua ZH-I b23-5 A 2 5"
6,"Blu Thua ZH-I b23-5 A 3",Planet,"Rocky Ice world",,,6173.37,,,0.62,No,Macros,"2019-01-30 07:12:46","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125252/nameB/Blu Thua ZH-I b23-5 A 3 6"
7,"Blu Thua ZH-I b23-5 A 4",Planet,"Icy body",,,9909.69,,,0.94,No,Macros,"2019-01-30 07:14:57","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125915/nameB/Blu Thua ZH-I b23-5 A 4 7"
8,"Blu Thua ZH-I b23-5 A 5",Planet,"Icy body",,,9897.83,,,0.95,No,Macros,"2019-01-30 07:11:41","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125021/nameB/Blu Thua ZH-I b23-5 A 5 8"
9,"Blu Thua ZH-I b23-5 A 5 a",Planet,"Icy body",,1,4264.67,"Sulphur:27.15,Carbon:22.83,Phosphorus:14.62,Iron:11.87,Nickel:8.98,Chromium:5.34,Selenium:4.25,Vanadium:2.92,Cadmium:0.92,Niobium:0.81,Polonium:0.32",,0.27,No,Macros,"2019-01-30 07:11:46","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125032/nameB/Blu Thua ZH-I b23-5 A 5 a 9"
10,"Blu Thua ZH-I b23-5 A 6",Planet,"Icy body",,,7419.97,,,0.63,No,Macros,"2019-01-30 07:15:03","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125946/nameB/Blu Thua ZH-I b23-5 A 6 10"
12,"Blu Thua ZH-I b23-5 A 7",Planet,"Icy body",,,8503.01,,,0.76,No,Macros,"2019-01-30 07:12:05","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125098/nameB/Blu Thua ZH-I b23-5 A 7 12"
13,"Blu Thua ZH-I b23-5 A 8",Planet,"Icy body",,,8023.95,,,0.7,No,Macros,"2019-01-30 07:12:09","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125115/nameB/Blu Thua ZH-I b23-5 A 8 13"
14,"Blu Thua ZH-I b23-5 A 9",Planet,"Icy body",,,8868.22,,,0.8,No,Macros,"2019-01-30 07:10:46","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46124776/nameB/Blu Thua ZH-I b23-5 A 9 14"
2,"Blu Thua ZH-I b23-5 B",Star,"L (Brown dwarf) Star",,0,0,,,0,0,Macros,"2019-01-30 07:09:58","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46124461/nameB/Blu Thua ZH-I b23-5 B 2"
16,"Blu Thua ZH-I b23-5 B 1",Planet,"Icy body",,,7589.38,,,0.65,No,Macros,"2019-01-30 07:13:06","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125338/nameB/Blu Thua ZH-I b23-5 B 1 16"
17,"Blu Thua ZH-I b23-5 B 2",Planet,"Icy body",,,7066.98,,,0.59,No,Macros,"2019-01-30 07:13:15","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125380/nameB/Blu Thua ZH-I b23-5 B 2 17"
19,"Blu Thua ZH-I b23-5 B 3",Planet,"Icy body",,1,5364.94,"Sulphur:23.13,Carbon:19.45,Iron:16.05,Phosphorus:12.45,Nickel:12.14,Chromium:7.22,Selenium:3.62,Germanium:3.35,Cadmium:1.25,Tungsten:0.88,Polonium:0.45",,0.42,No,Macros,"2019-01-30 07:14:15","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125701/nameB/Blu Thua ZH-I b23-5 B 3 19"
20,"Blu Thua ZH-I b23-5 B 4",Planet,"Icy body",,1,5263.78,"Sulphur:23.38,Carbon:19.66,Iron:16.22,Phosphorus:12.58,Nickel:12.27,Manganese:6.7,Vanadium:3.98,Zirconium:1.88,Cadmium:1.26,Molybdenum:1.06,Ruthenium:1",,0.41,No,Macros,"2019-01-30 07:14:10","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125675/nameB/Blu Thua ZH-I b23-5 B 4 20"
21,"Blu Thua ZH-I b23-5 B 5",Planet,"Icy body",,1,4848.45,"Sulphur:22.96,Carbon:19.31,Iron:15.93,Phosphorus:12.36,Nickel:12.05,Chromium:7.17,Selenium:3.59,Germanium:3.33,Cadmium:1.24,Niobium:1.09,Ruthenium:0.98",,0.37,No,Macros,"2019-01-30 07:13:38","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125480/nameB/Blu Thua ZH-I b23-5 B 5 21"
22,"Blu Thua ZH-I b23-5 B 6",Planet,"Icy body",,,6283.44,,,0.51,No,Macros,"2019-01-30 07:13:29","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125446/nameB/Blu Thua ZH-I b23-5 B 6 22"
23,"Blu Thua ZH-I b23-5 B 6 a",Planet,"Icy body",,1,2426.66,"Sulphur:27.95,Carbon:23.51,Phosphorus:15.05,Iron:12.22,Nickel:9.24,Manganese:5.05,Vanadium:3,Arsenic:1.44,Cadmium:0.95,Niobium:0.84,Ruthenium:0.75",,0.14,No,Macros,"2019-01-30 07:13:25","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125422/nameB/Blu Thua ZH-I b23-5 B 6 a 23"
24,"Blu Thua ZH-I b23-5 B 7",Planet,"Icy body",,,7058.74,,,0.6,No,Macros,"2019-01-30 07:13:54","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125574/nameB/Blu Thua ZH-I b23-5 B 7 24"
25,"Blu Thua ZH-I b23-5 B 7 a",Planet,"Icy body",,1,2843.68,"Sulphur:27.58,Carbon:23.19,Phosphorus:14.85,Iron:12.06,Nickel:9.12,Chromium:5.42,Selenium:4.32,Zirconium:1.4,Tin:0.74,Antimony:0.67,Tungsten:0.66",,0.17,No,Macros,"2019-01-30 07:14:00","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125609/nameB/Blu Thua ZH-I b23-5 B 7 a 25"
26,"Blu Thua ZH-I b23-5 B 8",Planet,"Icy body",,1,5252.16,"Sulphur:23.34,Carbon:19.62,Iron:16.19,Phosphorus:12.56,Nickel:12.25,Chromium:7.28,Vanadium:3.98,Arsenic:1.51,Cadmium:1.26,Tin:1.04,Yttrium:0.97",,0.41,No,Macros,"2019-01-30 07:14:23","https://www.edsm.net/en/system/bodies/id/29082845/name/Blu+Thua+ZH-I+b23-5/details/idB/46125757/nameB/Blu Thua ZH-I b23-5 B 8 26"
