bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
0,"Col 132 Sector FN-H c11-15",Star,"K (Yellow-Orange) Star",0,0,,,0,0,"2019-04-08 17:24:25","Samoth Infernus","2019-04-08 17:24:25",https://www.edsm.net/en/system/bodies/id/37334415/name/Col+132+Sector+FN-H+c11-15
5,"Col 132 Sector FN-H c11-15 1",Planet,"Class I gas giant",,62111.79,,,1.19,No,"2019-04-08 17:25:59","Samoth Infernus","2019-04-08 17:25:59",https://www.edsm.net/en/system/bodies/id/37334415/name/Col+132+Sector+FN-H+c11-15
6,"Col 132 Sector FN-H c11-15 1 a",Planet,"Icy body",1,919.87,"Sulphur:27.32,Carbon:22.97,Phosphorus:14.71,Iron:12.44,Nickel:9.41,Chromium:5.6,Zinc:3.38,Arsenic:1.59,Cadmium:0.97,Niobium:0.85,Ruthenium:0.77",,0.05,No,"2019-04-08 17:26:12","Samoth Infernus","2019-04-08 17:26:12",https://www.edsm.net/en/system/bodies/id/37334415/name/Col+132+Sector+FN-H+c11-15
7,"Col 132 Sector FN-H c11-15 1 b",Planet,"Icy body",1,764.32,"Sulphur:27.23,Carbon:22.9,Phosphorus:14.66,Iron:12.43,Nickel:9.4,Manganese:5.13,Selenium:4.26,Arsenic:1.59,Niobium:0.85,Molybdenum:0.81,Yttrium:0.74",,0.05,No,"2019-04-08 17:26:15","Samoth Infernus","2019-04-08 17:26:15",https://www.edsm.net/en/system/bodies/id/37334415/name/Col+132+Sector+FN-H+c11-15
8,"Col 132 Sector FN-H c11-15 1 c",Planet,"Icy body",1,523.31,"Sulphur:26.13,Carbon:21.97,Phosphorus:14.07,Iron:11.9,Nickel:9,Chromium:5.35,Manganese:4.91,Selenium:4.09,Cadmium:0.92,Tellurium:0.88,Molybdenum:0.78",,0.03,No,"2019-04-08 17:26:19","Samoth Infernus","2019-04-08 17:26:19",https://www.edsm.net/en/system/bodies/id/37334415/name/Col+132+Sector+FN-H+c11-15
9,"Col 132 Sector FN-H c11-15 1 d",Planet,"Icy body",1,630.57,"Sulphur:26.51,Carbon:22.29,Phosphorus:14.27,Iron:12.07,Nickel:9.13,Chromium:5.43,Manganese:4.99,Vanadium:2.96,Niobium:0.83,Molybdenum:0.79,Antimony:0.73",,0.04,No,"2019-04-08 17:26:25","Samoth Infernus","2019-04-08 17:26:25",https://www.edsm.net/en/system/bodies/id/37334415/name/Col+132+Sector+FN-H+c11-15
11,"Col 132 Sector FN-H c11-15 1 e",Planet,"Icy body",1,856.71,"Sulphur:26.95,Carbon:22.66,Phosphorus:14.51,Iron:12.27,Nickel:9.28,Chromium:5.52,Germanium:3.51,Vanadium:3.01,Niobium:0.84,Ruthenium:0.76,Tungsten:0.67",,0.05,No,"2019-04-08 17:26:33","Samoth Infernus","2019-04-08 17:26:33",https://www.edsm.net/en/system/bodies/id/37334415/name/Col+132+Sector+FN-H+c11-15
12,"Col 132 Sector FN-H c11-15 1 f",Planet,"Icy body",1,775.83,"Sulphur:26.94,Carbon:22.65,Phosphorus:14.5,Iron:12.27,Nickel:9.28,Manganese:5.07,Germanium:3.51,Zinc:3.33,Cadmium:0.95,Ruthenium:0.76,Tin:0.73",,0.05,No,"2019-04-08 17:26:29","Samoth Infernus","2019-04-08 17:26:29",https://www.edsm.net/en/system/bodies/id/37334415/name/Col+132+Sector+FN-H+c11-15
13,"Col 132 Sector FN-H c11-15 1 g",Planet,"Icy body",1,613.08,"Sulphur:27.16,Carbon:22.84,Phosphorus:14.62,Iron:12.37,Nickel:9.36,Chromium:5.56,Selenium:4.25,Zirconium:1.44,Niobium:0.85,Molybdenum:0.81,Yttrium:0.74",,0.04,No,"2019-04-08 17:26:06","Samoth Infernus","2019-04-08 17:26:06",https://www.edsm.net/en/system/bodies/id/37334415/name/Col+132+Sector+FN-H+c11-15
18,"Col 132 Sector FN-H c11-15 2",Planet,"Class I gas giant",,48830.09,,Icy,0.77,No,"2019-04-08 17:25:03","Samoth Infernus","2019-04-08 17:25:03",https://www.edsm.net/en/system/bodies/id/37334415/name/Col+132+Sector+FN-H+c11-15
