bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
2,"Col 135 Sector II-Q b6-1 A",Star,"M (Red dwarf) Star",0,0,,,0,0,"2019-02-28 14:06:36",Hardonas,"2019-02-28 14:06:36",https://www.edsm.net/en/system/bodies/id/6408300/name/Col+135+Sector+II-Q+b6-1
7,"Col 135 Sector II-Q b6-1 AB 1",Planet,"High metal content world",,4480.06,,,0.74,No,"2020-06-06 22:46:52",Loremancia146,"2020-06-06 22:46:52",https://www.edsm.net/en/system/bodies/id/6408300/name/Col+135+Sector+II-Q+b6-1
8,"Col 135 Sector II-Q b6-1 AB 2",Planet,"High metal content world",,4918.70,,,0.83,No,"2020-06-06 22:47:33",Loremancia146,"2020-06-06 22:47:33",https://www.edsm.net/en/system/bodies/id/6408300/name/Col+135+Sector+II-Q+b6-1
9,"Col 135 Sector II-Q b6-1 AB 3",Planet,"Water world",,10614.98,,,1.88,No,"2020-06-06 22:46:28",Hardonas,"2019-02-28 14:06:58",https://www.edsm.net/en/system/bodies/id/6408300/name/Col+135+Sector+II-Q+b6-1
22,"Col 135 Sector II-Q b6-1 AB 4",Planet,"Class I gas giant",,74371.74,,,2.96,No,"2020-06-06 22:42:39",Loremancia146,"2020-06-06 22:42:39",https://www.edsm.net/en/system/bodies/id/6408300/name/Col+135+Sector+II-Q+b6-1
23,"Col 135 Sector II-Q b6-1 AB 4 a",Planet,"Icy body",1,1652.18,"Sulphur:27.87,Carbon:23.43,Phosphorus:15,Iron:12.09,Nickel:9.14,Chromium:5.44,Vanadium:2.97,Zirconium:1.4,Cadmium:0.94,Tellurium:0.89,Niobium:0.83",,0.1,No,"2020-06-06 22:42:50",Loremancia146,"2020-06-06 22:42:50",https://www.edsm.net/en/system/bodies/id/6408300/name/Col+135+Sector+II-Q+b6-1
24,"Col 135 Sector II-Q b6-1 AB 4 b",Planet,"Icy body",1,1707.88,"Sulphur:27.6,Carbon:23.21,Phosphorus:14.86,Iron:11.97,Nickel:9.05,Selenium:4.32,Germanium:3.42,Zinc:3.25,Cadmium:0.93,Yttrium:0.72,Tungsten:0.66",,0.1,No,"2020-06-06 22:42:47",Loremancia146,"2020-06-06 22:42:47",https://www.edsm.net/en/system/bodies/id/6408300/name/Col+135+Sector+II-Q+b6-1
25,"Col 135 Sector II-Q b6-1 AB 4 c",Planet,"Icy body",1,1587.82,"Sulphur:27.87,Carbon:23.44,Phosphorus:15,Iron:12.09,Nickel:9.14,Chromium:5.44,Zinc:3.28,Arsenic:1.55,Cadmium:0.94,Antimony:0.73,Mercury:0.53",,0.09,No,"2020-06-06 22:42:53",Loremancia146,"2020-06-06 22:42:53",https://www.edsm.net/en/system/bodies/id/6408300/name/Col+135+Sector+II-Q+b6-1
26,"Col 135 Sector II-Q b6-1 AB 4 d",Planet,"Icy body",1,1444.99,"Sulphur:27.55,Carbon:23.17,Phosphorus:14.83,Iron:11.95,Nickel:9.04,Chromium:5.37,Zinc:3.25,Vanadium:2.93,Niobium:0.82,Molybdenum:0.78,Polonium:0.31",,0.09,No,"2020-06-06 22:42:55",Loremancia146,"2020-06-06 22:42:55",https://www.edsm.net/en/system/bodies/id/6408300/name/Col+135+Sector+II-Q+b6-1
28,"Col 135 Sector II-Q b6-1 AB 5",Planet,"Gas giant with water-based life",,77398.80,,"Rocky, Icy",4.98,No,"2020-06-06 22:44:07",Loremancia146,"2020-06-06 22:44:07",https://www.edsm.net/en/system/bodies/id/6408300/name/Col+135+Sector+II-Q+b6-1
