bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
1,"Col 285 Sector YJ-P c6-4 A",Star,"K (Yellow-Orange) Star",0,0,,,0,0,"2024-04-19 11:40:33","Baron von Wulf","2018-09-04 01:38:11",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
9,"Col 285 Sector YJ-P c6-4 A 1",Planet,"Metal-rich body",1,3781.58,"Iron:42.62,Nickel:32.24,Vanadium:10.47,Zirconium:4.95,Tin:2.83,Yttrium:2.55,Tungsten:2.34,Arsenic:2",,1.24,,"2024-04-19 20:14:44","Baron von Wulf","2018-09-04 01:39:59",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
11,"Col 285 Sector YJ-P c6-4 A 2",Planet,"Metal-rich body",1,3456.97,"Iron:33.08,Nickel:25.02,Chromium:14.88,Manganese:13.66,Vanadium:8.12,Cadmium:2.57,Mercury:1.44,Antimony:1.24",,1.1,,"2024-04-19 11:40:33","MaQuataar Agendaar","2019-07-12 21:23:58",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
12,"Col 285 Sector YJ-P c6-4 A 3",Planet,"Metal-rich body",1,3394.87,"Iron:32.89,Nickel:24.87,Chromium:14.79,Manganese:13.58,Zinc:8.94,Tin:2.18,Tungsten:1.81,Polonium:0.94",,1.08,,"2024-04-19 11:40:33","MaQuataar Agendaar","2019-07-12 21:23:58",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
19,"Col 285 Sector YJ-P c6-4 A 4",Planet,"Class II gas giant",,75266.08,,,3.17,,"2024-04-19 20:09:50","Lord Benton","2020-06-18 05:37:22",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
20,"Col 285 Sector YJ-P c6-4 A 4 a",Planet,"Icy body",,796.81,,,0.05,No,"2024-04-19 20:11:23","Lord Benton","2020-06-18 05:37:39",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
21,"Col 285 Sector YJ-P c6-4 A 4 b",Planet,"Icy body",1,1154.06,"Sulphur:26.84,Carbon:22.57,Phosphorus:14.45,Iron:13.77,Nickel:10.42,Selenium:4.2,Germanium:3.97,Arsenic:1.77,Molybdenum:0.9,Mercury:0.6,Technetium:0.49",,0.07,No,"2024-04-19 20:11:07","Lord Benton","2020-06-18 05:37:36",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
22,"Col 285 Sector YJ-P c6-4 A 4 c",Planet,"Icy body",1,1148.96,"Sulphur:27.13,Carbon:22.81,Phosphorus:14.6,Iron:12.21,Nickel:9.24,Manganese:5.04,Zinc:3.32,Vanadium:3,Cadmium:0.95,Tellurium:0.91,Molybdenum:0.8",,0.07,No,"2024-04-19 20:11:01","Lord Benton","2020-06-18 05:37:27",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
23,"Col 285 Sector YJ-P c6-4 A 4 d",Planet,"Icy body",1,1288.50,"Sulphur:26.49,Carbon:22.28,Phosphorus:14.26,Iron:11.92,Nickel:9.02,Chromium:5.36,Manganese:4.92,Germanium:3.44,Niobium:0.81,Molybdenum:0.78,Yttrium:0.71",,0.08,No,"2024-04-19 20:10:58","Lord Benton","2020-06-18 05:37:30",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
24,"Col 285 Sector YJ-P c6-4 A 4 e",Planet,"Icy body",1,1149.54,"Sulphur:27.11,Carbon:22.8,Phosphorus:14.6,Iron:12.2,Nickel:9.23,Chromium:5.49,Zinc:3.32,Vanadium:3,Niobium:0.83,Ruthenium:0.75,Tungsten:0.67",,0.07,No,"2024-04-19 20:11:04","Lord Benton","2020-06-18 05:37:29",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
25,"Col 285 Sector YJ-P c6-4 A 4 f",Planet,"Icy body",1,1173.59,"Sulphur:27.68,Carbon:23.28,Phosphorus:14.9,Iron:12.46,Nickel:9.43,Manganese:5.15,Zinc:3.39,Zirconium:1.45,Cadmium:0.97,Antimony:0.76,Mercury:0.54",,0.07,No,"2024-04-19 20:10:55","Lord Benton","2020-06-18 05:37:32",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
27,"Col 285 Sector YJ-P c6-4 A 5",Planet,"Class I gas giant",,57286.01,,Icy,1,,"2024-04-19 20:09:04","Lord Benton","2020-06-18 05:38:52",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
29,"Col 285 Sector YJ-P c6-4 A 5 a",Planet,"Icy body",1,898.31,"Sulphur:27.07,Carbon:22.76,Phosphorus:14.57,Iron:12.37,Nickel:9.36,Chromium:5.56,Selenium:4.24,Arsenic:1.59,Tellurium:0.92,Molybdenum:0.81,Tin:0.74",,0.05,No,"2024-04-19 20:09:24","Lord Benton","2020-06-18 05:39:07",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
30,"Col 285 Sector YJ-P c6-4 A 5 b",Planet,"Icy body",1,670.30,"Sulphur:27.1,Carbon:22.79,Phosphorus:14.59,Iron:12.2,Nickel:9.23,Manganese:5.04,Germanium:3.51,Zinc:3.32,Cadmium:0.95,Ruthenium:0.75,Mercury:0.53",,0.04,No,"2024-04-19 20:09:20","Lord Benton","2020-06-18 05:39:03",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
31,"Col 285 Sector YJ-P c6-4 A 5 c",Planet,"Icy body",1,729.61,"Sulphur:26.42,Carbon:22.21,Phosphorus:14.22,Iron:11.89,Nickel:8.99,Chromium:5.35,Manganese:4.91,Selenium:4.13,Cadmium:0.92,Mercury:0.52,Technetium:0.43",,0.04,No,"2024-04-19 20:09:28","Lord Benton","2020-06-18 05:38:56",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
32,"Col 285 Sector YJ-P c6-4 A 5 d",Planet,"Icy body",1,637.96,"Sulphur:26.45,Carbon:22.25,Phosphorus:14.24,Iron:11.91,Nickel:9.01,Chromium:5.36,Manganese:4.92,Germanium:3.43,Cadmium:0.92,Molybdenum:0.78,Ruthenium:0.74",,0.04,No,"2024-04-19 20:09:30","Lord Benton","2020-06-18 05:39:05",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
33,"Col 285 Sector YJ-P c6-4 A 6",Planet,"Icy body",,8616.32,,"Metal Rich, Icy",0.77,,"2024-04-19 20:08:35","Lord Benton","2020-06-18 05:39:12",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
36,"Col 285 Sector YJ-P c6-4 A 6 a",Planet,"Icy body",1,551.06,"Sulphur:28.69,Carbon:24.12,Phosphorus:15.44,Iron:12.91,Nickel:9.77,Vanadium:3.17,Arsenic:1.66,Zirconium:1.5,Cadmium:1,Tellurium:0.96,Tin:0.77",,0.03,No,"2024-04-19 20:08:32","Lord Benton","2020-06-18 05:39:14",https://www.edsm.net/en/system/bodies/id/165847/name/Col+285+Sector+YJ-P+c6-4
