bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
0,Deciat,Star,"K (Yellow-Orange) Star",0,0,,,0,0,"2021-01-11 02:18:00",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
11,"Deciat 1",Planet,"Metal-rich body",1,3711.19,"Iron:39.94,Nickel:30.21,Zinc:10.85,Vanadium:9.81,Tin:2.65,Ruthenium:2.47,Tungsten:2.19,Arsenic:1.87",,1.21,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
13,"Deciat 2",Planet,"High metal content world",1,6981.00,"Iron:22.22,Nickel:16.81,Sulphur:15.59,Carbon:13.11,Manganese:9.18,Phosphorus:8.39,Zinc:6.04,Germanium:4.62,Cadmium:1.73,Niobium:1.52,Technetium:0.79",,1.34,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
14,"Deciat 3",Planet,"High metal content world",1,6950.43,"Iron:21.92,Nickel:16.58,Sulphur:15.37,Carbon:12.93,Chromium:9.86,Phosphorus:8.28,Zinc:5.96,Germanium:4.56,Cadmium:1.7,Niobium:1.5,Ruthenium:1.35",,1.33,,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
15,"Deciat 4",Planet,"High metal content world",1,8120.42,"Iron:23.08,Nickel:17.46,Sulphur:16.19,Carbon:13.62,Manganese:9.53,Phosphorus:8.72,Germanium:4.8,Arsenic:2.15,Niobium:1.58,Tin:1.49,Yttrium:1.38",,1.68,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
16,"Deciat 5",Planet,"High metal content world",1,9196.45,"Iron:22.78,Nickel:17.23,Sulphur:15.98,Carbon:13.44,Manganese:9.41,Phosphorus:8.6,Zinc:6.19,Selenium:2.5,Cadmium:1.77,Tin:1.47,Polonium:0.64",,2.05,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
24,"Deciat 6",Planet,"Gas giant with water-based life",,77012.14,,,5.65,,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
25,"Deciat 6 a",Planet,"Rocky body",1,787.52,"Iron:19.29,Sulphur:18.67,Carbon:15.7,Nickel:14.59,Phosphorus:10.05,Manganese:7.97,Zinc:5.24,Vanadium:4.74,Cadmium:1.5,Ruthenium:1.19,Tungsten:1.06",,0.09,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
26,"Deciat 6 b",Planet,"Rocky body",1,924.10,"Iron:19.74,Sulphur:19.1,Carbon:16.06,Nickel:14.93,Phosphorus:10.28,Manganese:8.15,Zinc:5.36,Selenium:2.99,Cadmium:1.53,Niobium:1.35,Polonium:0.51",,0.11,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
27,"Deciat 6 c",Planet,"Rocky body",1,818.77,"Iron:18.68,Sulphur:18.07,Carbon:15.2,Nickel:14.13,Phosphorus:9.73,Chromium:8.4,Manganese:7.72,Vanadium:4.59,Tellurium:1.39,Niobium:1.28,Mercury:0.82",,0.1,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
28,"Deciat 6 d",Planet,"Rocky body",1,1247.37,"Iron:19.72,Sulphur:19.08,Carbon:16.04,Nickel:14.91,Phosphorus:10.27,Manganese:8.14,Germanium:5.66,Arsenic:2.53,Molybdenum:1.29,Tin:1.18,Yttrium:1.18",,0.15,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
30,"Deciat 6 e",Planet,"Rocky body",1,1156.00,"Iron:19.01,Sulphur:18.39,Carbon:15.47,Nickel:14.38,Phosphorus:9.9,Chromium:8.55,Germanium:5.45,Zinc:5.17,Niobium:1.3,Molybdenum:1.24,Yttrium:1.14",,0.14,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
31,"Deciat 6 f",Planet,"Rocky body",1,1152.12,"Iron:19.73,Sulphur:19.09,Carbon:16.05,Nickel:14.92,Phosphorus:10.28,Manganese:8.15,Zinc:5.36,Arsenic:2.53,Tellurium:1.47,Niobium:1.35,Tungsten:1.08",,0.14,,"2024-07-29 15:29:49",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
35,"Deciat 7",Planet,"Class I gas giant",,51565.50,,"Metal Rich, Icy",0.93,,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
38,"Deciat 7 a",Planet,"Icy body",1,948.97,"Sulphur:27.44,Carbon:23.07,Phosphorus:14.77,Iron:11.66,Nickel:8.82,Manganese:4.82,Selenium:4.29,Vanadium:2.86,Niobium:0.8,Molybdenum:0.76,Yttrium:0.7",,0.05,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
39,"Deciat 7 b",Planet,"Icy body",1,883.20,"Sulphur:28.1,Carbon:23.63,Phosphorus:15.13,Iron:12.11,Nickel:9.16,Selenium:4.4,Germanium:3.46,Arsenic:1.55,Cadmium:0.94,Molybdenum:0.79,Yttrium:0.72",,0.05,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
40,"Deciat 7 c",Planet,"Icy body",1,1110.80,"Sulphur:28.38,Carbon:23.86,Phosphorus:15.28,Iron:12.06,Nickel:9.12,Selenium:4.44,Germanium:3.46,Zirconium:1.4,Ruthenium:0.74,Tin:0.72,Mercury:0.53",,0.06,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
41,"Deciat 8",Planet,"Class I gas giant",,48705.30,,"Rocky, Icy",0.84,,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
44,"Deciat 8 a",Planet,"Icy body",1,934.22,"Sulphur:27.31,Carbon:22.96,Phosphorus:14.7,Iron:11.69,Nickel:8.84,Manganese:4.83,Selenium:4.27,Germanium:3.35,Tin:0.7,Yttrium:0.7,Tungsten:0.64",,0.05,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
45,"Deciat 9",Planet,"Gas giant with water-based life",,76930.10,,,6.64,,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
46,"Deciat 9 a",Planet,"Icy body",1,1672.16,"Sulphur:25.99,Carbon:21.86,Phosphorus:13.99,Iron:12.82,Nickel:9.7,Manganese:5.3,Selenium:4.07,Germanium:3.68,Tellurium:0.95,Niobium:0.88,Tin:0.76",,0.11,No,"2024-07-31 04:30:24",Nivell,"2017-09-27 21:43:12",https://www.edsm.net/en/system/bodies/id/1547/name/Deciat
