body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Drojaea IZ-M d8-37",Star,"G (White-Yellow) Star",,0,0,,,0,0,"Anatoly Duploff","2019-06-23 20:48:25",https://www.edsm.net/en/system/bodies/id/41424074/name/Drojaea+IZ-M+d8-37
12,"Drojaea IZ-M d8-37 1",Planet,"Metal-rich body",,,4398.05,,,1.51,No,"Anatoly Duploff","2019-06-23 20:48:26","https://www.edsm.net/en/system/bodies/id/41424074/name/Drojaea+IZ-M+d8-37/details/idB/116106540/nameB/Drojaea IZ-M d8-37 1 12"
13,"Drojaea IZ-M d8-37 2",Planet,"High metal content world",,1,7678.27,"Iron:21.16,Nickel:16.01,Sulphur:15.12,Carbon:12.72,Chromium:9.52,Manganese:8.74,Phosphorus:8.14,Germanium:4.5,Niobium:1.45,Molybdenum:1.38,Yttrium:1.26",,1.53,No,"Anatoly Duploff","2019-06-23 20:49:46","https://www.edsm.net/en/system/bodies/id/41424074/name/Drojaea+IZ-M+d8-37/details/idB/116107089/nameB/Drojaea IZ-M d8-37 2 13"
14,"Drojaea IZ-M d8-37 3",Planet,"High metal content world",,1,8331.32,"Iron:22.7,Nickel:17.17,Sulphur:16.22,Carbon:13.64,Chromium:10.21,Phosphorus:8.73,Germanium:4.82,Zirconium:2.64,Cadmium:1.76,Tin:1.47,Polonium:0.64",,1.73,No,"Anatoly Duploff","2019-06-23 20:49:53","https://www.edsm.net/en/system/bodies/id/41424074/name/Drojaea+IZ-M+d8-37/details/idB/116107156/nameB/Drojaea IZ-M d8-37 3 14"
25,"Drojaea IZ-M d8-37 4",Planet,"Class II gas giant",,,72011.26,,,2.64,No,"Anatoly Duploff","2019-06-23 20:48:44","https://www.edsm.net/en/system/bodies/id/41424074/name/Drojaea+IZ-M+d8-37/details/idB/116106560/nameB/Drojaea IZ-M d8-37 4 25"
26,"Drojaea IZ-M d8-37 4 a",Planet,"Rocky body",,,573.38,,,0.07,No,"Anatoly Duploff","2019-06-23 20:49:26","https://www.edsm.net/en/system/bodies/id/41424074/name/Drojaea+IZ-M+d8-37/details/idB/116106954/nameB/Drojaea IZ-M d8-37 4 a 26"
27,"Drojaea IZ-M d8-37 4 b",Planet,"Rocky body",,,619.33,,,0.07,No,"Anatoly Duploff","2019-06-23 20:49:23","https://www.edsm.net/en/system/bodies/id/41424074/name/Drojaea+IZ-M+d8-37/details/idB/116106916/nameB/Drojaea IZ-M d8-37 4 b 27"
28,"Drojaea IZ-M d8-37 4 c",Planet,"Rocky Ice world",,1,603.27,"Sulphur:21.71,Carbon:18.26,Iron:16.79,Nickel:12.7,Phosphorus:11.69,Manganese:6.93,Germanium:4.91,Vanadium:4.12,Niobium:1.15,Yttrium:1,Mercury:0.73",,0.06,No,"Anatoly Duploff","2019-06-23 20:49:07","https://www.edsm.net/en/system/bodies/id/41424074/name/Drojaea+IZ-M+d8-37/details/idB/116106739/nameB/Drojaea IZ-M d8-37 4 c 28"
29,"Drojaea IZ-M d8-37 4 d",Planet,"Rocky Ice world",,1,724.97,"Sulphur:20.9,Carbon:17.57,Iron:16.24,Nickel:12.28,Phosphorus:11.25,Chromium:7.3,Manganese:6.71,Germanium:4.74,Tellurium:1.23,Molybdenum:1.06,Mercury:0.71",,0.07,No,"Anatoly Duploff","2019-06-23 20:49:32","https://www.edsm.net/en/system/bodies/id/41424074/name/Drojaea+IZ-M+d8-37/details/idB/116106967/nameB/Drojaea IZ-M d8-37 4 d 29"
30,"Drojaea IZ-M d8-37 4 e",Planet,"Rocky Ice world",,1,573.81,"Sulphur:21.61,Carbon:18.17,Iron:16.71,Nickel:12.64,Phosphorus:11.63,Chromium:7.52,Manganese:6.9,Arsenic:2.19,Cadmium:1.3,Mercury:0.73,Technetium:0.6",,0.05,No,"Anatoly Duploff","2019-06-23 20:49:33","https://www.edsm.net/en/system/bodies/id/41424074/name/Drojaea+IZ-M+d8-37/details/idB/116106977/nameB/Drojaea IZ-M d8-37 4 e 30"
