body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Eodgols IW-P b46-12",Star,"L (Brown dwarf) Star",,0,0,,,0,0,"Yves le technicien","2021-08-13 20:42:26",https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12
1,"Eodgols IW-P b46-12 1",Planet,"Icy body",,1,"5,886","Carbon:20.44,Nickel:12.77,Germanium:3.55,Arsenic:1.59,Cadmium:1.31",,0.47,No,"Yves le technicien","2021-08-13 20:44:34","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334738036/nameB/Eodgols IW-P b46-12 1 1"
2,"Eodgols IW-P b46-12 2",Planet,"Icy body",,1,"5,832","Carbon:19.17,Nickel:12.13,Germanium:3.36,Niobium:1.1",,0.47,No,"Yves le technicien","2021-08-13 20:43:48","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334737895/nameB/Eodgols IW-P b46-12 2 2"
3,"Eodgols IW-P b46-12 2 a",Planet,"Icy body",,1,"2,377","Carbon:23.73,Nickel:9.34,Vanadium:3.03,Tungsten:0.68",,0.14,No,"Yves le technicien","2021-08-13 20:43:52","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334737915/nameB/Eodgols IW-P b46-12 2 a 3"
4,"Eodgols IW-P b46-12 3",Planet,"Icy body",,1,"4,771","Carbon:18.62,Nickel:11.69,Vanadium:3.8,Niobium:1.06",,0.37,No,"Yves le technicien","2021-08-13 20:44:03","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334737942/nameB/Eodgols IW-P b46-12 3 4"
5,"Eodgols IW-P b46-12 3 a",Planet,"Icy body",,1,"1,449","Carbon:22.72,Nickel:8.94,Germanium:3.14,Niobium:0.81,Tungsten:0.65",,0.08,No,"Yves le technicien","2021-08-13 20:43:59","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334737934/nameB/Eodgols IW-P b46-12 3 a 5"
6,"Eodgols IW-P b46-12 4",Planet,"Icy body",,1,"3,860","Carbon:19.53,Nickel:12.2,Vanadium:3.96,Cadmium:1.25,Niobium:1.1",,0.29,No,"Yves le technicien","2021-08-13 20:44:18","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334737989/nameB/Eodgols IW-P b46-12 4 6"
7,"Eodgols IW-P b46-12 5",Planet,"Icy body",,,"7,102",,,0.6,No,"Yves le technicien","2021-08-13 20:44:37","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334738043/nameB/Eodgols IW-P b46-12 5 7"
8,"Eodgols IW-P b46-12 6",Planet,"Icy body",,1,"5,925","Carbon:19.34,Nickel:12.22,Vanadium:3.97,Tungsten:0.89",,0.48,No,"Yves le technicien","2021-08-13 20:44:08","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334737954/nameB/Eodgols IW-P b46-12 6 8"
9,"Eodgols IW-P b46-12 6 a",Planet,"Icy body",,1,"2,372","Carbon:23.2,Nickel:9.13",,0.14,No,"Yves le technicien","2021-08-13 20:44:12","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334737982/nameB/Eodgols IW-P b46-12 6 a 9"
13,"Eodgols IW-P b46-12 7",Planet,"Icy body",,,"6,331",,,0.52,No,"Yves le technicien","2021-08-13 20:44:25","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334737998/nameB/Eodgols IW-P b46-12 7 13"
14,"Eodgols IW-P b46-12 7 a",Planet,"Icy body",,1,"2,568","Carbon:22.96,Nickel:9.04,Arsenic:1.42,Cadmium:0.93,Tungsten:0.66",,0.15,No,"Yves le technicien","2021-08-13 20:44:30","https://www.edsm.net/en/system/bodies/id/43027075/name/Eodgols+IW-P+b46-12/details/idB/334738005/nameB/Eodgols IW-P b46-12 7 a 14"
