body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
3,"Flyoo Flyoae BV-X e1-15 A",Star,"B (Blue-White) Star",,0,0,,,0,0,"Oleg Pugachev","2020-07-16 19:55:54","https://www.edsm.net/en/system/bodies/id/54602861/name/Flyoo+Flyoae+BV-X+e1-15/details/idB/221877104/nameB/Flyoo Flyoae BV-X e1-15 A 3"
9,"Flyoo Flyoae BV-X e1-15 AB 1",Planet,"Metal-rich body",,1,3281.68,"Iron:35.07,Nickel:26.52,Chromium:15.77,Manganese:14.48,Niobium:2.4,Ruthenium:2.17,Tungsten:1.93,Germanium:1.66",,1.04,No,"Oleg Pugachev","2020-07-16 19:58:03","https://www.edsm.net/en/system/bodies/id/54602861/name/Flyoo+Flyoae+BV-X+e1-15/details/idB/221877637/nameB/Flyoo Flyoae BV-X e1-15 AB 1 9"
10,"Flyoo Flyoae BV-X e1-15 AB 2",Planet,"High metal content world",,1,5902.27,"Iron:21.25,Nickel:16.07,Sulphur:15.09,Carbon:12.69,Chromium:9.56,Manganese:8.77,Phosphorus:8.12,Germanium:4.47,Cadmium:1.65,Molybdenum:1.39,Antimony:0.94",,1.06,No,"Oleg Pugachev","2020-07-16 19:57:27","https://www.edsm.net/en/system/bodies/id/54602861/name/Flyoo+Flyoae+BV-X+e1-15/details/idB/221877486/nameB/Flyoo Flyoae BV-X e1-15 AB 2 10"
4,"Flyoo Flyoae BV-X e1-15 B",Star,"A (Blue-White) Star",,0,0,,,0,0,"Oleg Pugachev","2020-07-16 19:55:54","https://www.edsm.net/en/system/bodies/id/54602861/name/Flyoo+Flyoae+BV-X+e1-15/details/idB/221877108/nameB/Flyoo Flyoae BV-X e1-15 B 4"
6,"Flyoo Flyoae BV-X e1-15 C",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,"Oleg Pugachev","2020-07-16 19:55:59","https://www.edsm.net/en/system/bodies/id/54602861/name/Flyoo+Flyoae+BV-X+e1-15/details/idB/221877127/nameB/Flyoo Flyoae BV-X e1-15 C 6"
11,"Flyoo Flyoae BV-X e1-15 CD 1",Planet,"Metal-rich body",,1,1578.53,"Iron:32.67,Nickel:24.71,Chromium:14.69,Manganese:13.49,Zinc:8.88,Cadmium:2.54,Tungsten:1.79,Antimony:1.23",,0.45,No,"Oleg Pugachev","2020-07-16 19:59:27","https://www.edsm.net/en/system/bodies/id/54602861/name/Flyoo+Flyoae+BV-X+e1-15/details/idB/221878220/nameB/Flyoo Flyoae BV-X e1-15 CD 1 11"
12,"Flyoo Flyoae BV-X e1-15 CD 1 a",Planet,"Metal-rich body",,1,297.69,"Iron:32.31,Nickel:24.44,Chromium:14.53,Manganese:13.34,Zinc:8.78,Cadmium:2.51,Tin:2.17,Yttrium:1.93",,0.08,No,"Oleg Pugachev","2020-07-16 19:59:32","https://www.edsm.net/en/system/bodies/id/54602861/name/Flyoo+Flyoae+BV-X+e1-15/details/idB/221878269/nameB/Flyoo Flyoae BV-X e1-15 CD 1 a 12"
13,"Flyoo Flyoae BV-X e1-15 CD 2",Planet,"High metal content world",,1,1945.32,"Iron:22.83,Nickel:17.27,Sulphur:16.22,Carbon:13.64,Chromium:10.27,Phosphorus:8.73,Germanium:4.8,Arsenic:2.15,Molybdenum:1.49,Yttrium:1.36,Tungsten:1.25",,0.29,No,"Oleg Pugachev","2020-07-16 20:01:21","https://www.edsm.net/en/system/bodies/id/54602861/name/Flyoo+Flyoae+BV-X+e1-15/details/idB/221878994/nameB/Flyoo Flyoae BV-X e1-15 CD 2 13"
14,"Flyoo Flyoae BV-X e1-15 CD 3",Planet,"High metal content world",,1,2416.05,"Iron:21.83,Nickel:16.51,Sulphur:15.51,Carbon:13.04,Chromium:9.82,Phosphorus:8.35,Zinc:5.93,Germanium:4.59,Cadmium:1.7,Molybdenum:1.43,Yttrium:1.3",,0.36,No,"Oleg Pugachev","2020-07-16 19:57:21","https://www.edsm.net/en/system/bodies/id/54602861/name/Flyoo+Flyoae+BV-X+e1-15/details/idB/221877451/nameB/Flyoo Flyoae BV-X e1-15 CD 3 14"
15,"Flyoo Flyoae BV-X e1-15 CD 4",Planet,"High metal content world",,1,3201.41,"Iron:23.01,Nickel:17.41,Sulphur:16.21,Carbon:13.63,Phosphorus:8.73,Zinc:6.25,Vanadium:5.65,Germanium:4.8,Cadmium:1.79,Tin:1.51,Antimony:1.01",,0.5,No,"Oleg Pugachev","2020-07-16 19:58:56","https://www.edsm.net/en/system/bodies/id/54602861/name/Flyoo+Flyoae+BV-X+e1-15/details/idB/221877988/nameB/Flyoo Flyoae BV-X e1-15 CD 4 15"
