bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
1,"Flyoo Drye JT-O d7-8 A",Star,"G (White-Yellow) Star",0,0,,,0,0,"2024-08-01 02:40:28","CMDR Scott Fleming","2024-08-01 02:40:28",https://www.edsm.net/en/system/bodies/id/86200142/name/Flyoo+Drye+JT-O+d7-8
12,"Flyoo Drye JT-O d7-8 A 1",Planet,"High metal content world",,6026.18,,,1.08,No,"2024-08-01 02:44:44","CMDR Scott Fleming","2024-08-01 02:44:44",https://www.edsm.net/en/system/bodies/id/86200142/name/Flyoo+Drye+JT-O+d7-8
13,"Flyoo Drye JT-O d7-8 A 2",Planet,"High metal content world",,8242.66,,,1.69,No,"2024-08-01 02:44:36","CMDR Scott Fleming","2024-08-01 02:44:36",https://www.edsm.net/en/system/bodies/id/86200142/name/Flyoo+Drye+JT-O+d7-8
14,"Flyoo Drye JT-O d7-8 A 3",Planet,"Water world",,9550.03,,,2.17,No,"2024-08-01 02:53:59","CMDR Scott Fleming","2024-08-01 02:40:47",https://www.edsm.net/en/system/bodies/id/86200142/name/Flyoo+Drye+JT-O+d7-8
15,"Flyoo Drye JT-O d7-8 A 3 a",Planet,"Water world",,3660.38,,,0.49,Yes,"2024-08-01 02:56:53","CMDR Scott Fleming","2024-08-01 02:40:58",https://www.edsm.net/en/system/bodies/id/86200142/name/Flyoo+Drye+JT-O+d7-8
16,"Flyoo Drye JT-O d7-8 A 4",Planet,"Class I gas giant",,60653.16,,"Rocky, Icy",1.13,No,"2024-08-01 02:48:37","CMDR Scott Fleming","2024-08-01 02:48:37",https://www.edsm.net/en/system/bodies/id/86200142/name/Flyoo+Drye+JT-O+d7-8
19,"Flyoo Drye JT-O d7-8 A 4 a",Planet,"Icy body",1,607.52,"Sulphur:28.52,Carbon:23.98,Phosphorus:15.35,Iron:12.49,Nickel:9.45,Selenium:4.46,Arsenic:1.64,Zirconium:1.45,Cadmium:0.97,Tellurium:0.95,Tin:0.74",,0.04,No,"2024-08-01 02:48:59","CMDR Scott Fleming","2024-08-01 02:48:59",https://www.edsm.net/en/system/bodies/id/86200142/name/Flyoo+Drye+JT-O+d7-8
21,"Flyoo Drye JT-O d7-8 A 4 b",Planet,"Icy body",1,987.94,"Sulphur:27.03,Carbon:22.73,Phosphorus:14.55,Iron:11.88,Nickel:8.99,Chromium:5.34,Selenium:4.23,Zinc:3.23,Cadmium:0.92,Tungsten:0.65,Technetium:0.43",,0.06,No,"2024-08-01 02:49:12","CMDR Scott Fleming","2024-08-01 02:49:12",https://www.edsm.net/en/system/bodies/id/86200142/name/Flyoo+Drye+JT-O+d7-8
22,"Flyoo Drye JT-O d7-8 A 4 c",Planet,"Icy body",1,726.53,"Sulphur:27.59,Carbon:23.2,Phosphorus:14.85,Iron:11.98,Nickel:9.06,Selenium:4.32,Germanium:3.52,Zinc:3.25,Niobium:0.82,Yttrium:0.72,Tin:0.71",,0.04,No,"2024-08-01 02:49:07","CMDR Scott Fleming","2024-08-01 02:49:07",https://www.edsm.net/en/system/bodies/id/86200142/name/Flyoo+Drye+JT-O+d7-8
23,"Flyoo Drye JT-O d7-8 A 4 d",Planet,"Icy body",1,713.11,"Sulphur:27.74,Carbon:23.32,Phosphorus:14.93,Iron:12.15,Nickel:9.19,Chromium:5.46,Germanium:3.56,Arsenic:1.59,Molybdenum:0.79,Yttrium:0.73,Mercury:0.53",,0.04,No,"2024-08-01 02:49:17","CMDR Scott Fleming","2024-08-01 02:49:17",https://www.edsm.net/en/system/bodies/id/86200142/name/Flyoo+Drye+JT-O+d7-8
