bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
1,"Flyooe Eoq YB-R b38-0 A",Star,"M (Red dwarf) Star",0,0,,,0,0,"2024-07-31 18:41:42",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
3,"Flyooe Eoq YB-R b38-0 A 1",Planet,"Rocky Ice world",,4710.42,,,0.44,No,"2023-10-22 02:59:50",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
4,"Flyooe Eoq YB-R b38-0 A 2",Planet,"Icy body",1,3279.13,"Sulphur:22.31,Carbon:18.76,Iron:15.46,Phosphorus:12.01,Nickel:11.69,Chromium:6.95,Manganese:6.38,Vanadium:3.8,Cadmium:1.2,Molybdenum:1.01,Polonium:0.43",,0.24,No,"2023-10-22 03:00:06",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
6,"Flyooe Eoq YB-R b38-0 A 3",Planet,"Icy body",1,3851.46,"Sulphur:22.41,Carbon:18.84,Iron:15.53,Phosphorus:12.06,Nickel:11.74,Chromium:6.98,Manganese:6.41,Vanadium:3.81,Tungsten:0.85,Antimony:0.68,Mercury:0.68",,0.29,No,"2023-10-22 03:00:01",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
7,"Flyooe Eoq YB-R b38-0 A 4",Planet,"Icy body",1,3747.42,"Sulphur:22.8,Carbon:19.17,Iron:15.8,Phosphorus:12.27,Nickel:11.95,Chromium:7.11,Manganese:6.52,Arsenic:1.47,Molybdenum:1.03,Tin:1.02,Tellurium:0.85",,0.28,No,"2023-10-22 02:59:58",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
8,"Flyooe Eoq YB-R b38-0 A 5",Planet,"Icy body",1,5719.59,"Sulphur:23.08,Carbon:19.4,Iron:15.99,Phosphorus:12.42,Nickel:12.09,Manganese:6.6,Vanadium:3.93,Selenium:3.61,Tin:1.03,Yttrium:0.96,Tungsten:0.88",,0.45,No,"2023-10-22 02:59:54",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
10,"Flyooe Eoq YB-R b38-0 A 6",Planet,"Icy body",1,4630.49,"Sulphur:22.36,Carbon:18.8,Iron:15.55,Phosphorus:12.04,Nickel:11.76,Chromium:6.99,Manganese:6.42,Germanium:3.24,Cadmium:1.21,Ruthenium:0.96,Mercury:0.68",,0.36,No,"2023-10-22 03:00:14",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
11,"Flyooe Eoq YB-R b38-0 A 7",Planet,"Icy body",1,4222.19,"Sulphur:24.37,Carbon:20.49,Iron:16.89,Phosphorus:13.12,Nickel:12.77,Selenium:3.81,Germanium:3.52,Arsenic:1.57,Cadmium:1.31,Tin:1.09,Ruthenium:1.04",,0.32,No,"2023-10-22 03:00:13",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
12,"Flyooe Eoq YB-R b38-0 A 8",Planet,"Icy body",1,3939.06,"Sulphur:25.04,Carbon:21.05,Iron:17.35,Phosphorus:13.48,Nickel:13.12,Germanium:3.62,Zirconium:2.01,Arsenic:1.62,Niobium:1.19,Antimony:0.76,Mercury:0.76",,0.29,No,"2023-10-22 03:00:04",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
2,"Flyooe Eoq YB-R b38-0 B",Star,"L (Brown dwarf) Star",0,0,,,0,0,"2023-10-22 02:58:28",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
13,"Flyooe Eoq YB-R b38-0 B 1",Planet,"Icy body",1,5772.19,"Sulphur:23.65,Carbon:19.89,Iron:16.39,Phosphorus:12.73,Nickel:12.4,Manganese:6.77,Germanium:3.42,Arsenic:1.53,Cadmium:1.27,Molybdenum:1.07,Tellurium:0.89",,0.46,No,"2023-10-22 02:59:31",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
15,"Flyooe Eoq YB-R b38-0 B 2",Planet,"Icy body",1,6493.01,"Sulphur:22.31,Carbon:18.76,Iron:15.46,Phosphorus:12.01,Nickel:11.69,Chromium:6.95,Manganese:6.38,Zinc:4.2,Molybdenum:1.01,Mercury:0.68,Technetium:0.55",,0.53,No,"2023-10-22 02:59:38",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
16,"Flyooe Eoq YB-R b38-0 B 3",Planet,"Icy body",1,5578.65,"Sulphur:23.29,Carbon:19.58,Iron:16.14,Phosphorus:12.54,Nickel:12.21,Manganese:6.66,Zinc:4.39,Zirconium:1.87,Cadmium:1.25,Niobium:1.1,Yttrium:0.96",,0.44,No,"2023-10-22 02:59:35",,,https://www.edsm.net/en/system/bodies/id/82438716/name/Flyooe+Eoq+YB-R+b38-0
