body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Flyooe Hypue XP-M a34-2",Star,"T (Brown dwarf) Star",,0,0,,,0,0,Sajgon,"2019-01-25 20:58:07",https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2
1,"Flyooe Hypue XP-M a34-2 1",Planet,"Icy body",,1,3963.34,"Sulphur:23.69,Carbon:19.92,Iron:16.58,Phosphorus:12.75,Nickel:12.54,Zinc:4.51,Selenium:3.71,Germanium:3.47,Tin:1.07,Ruthenium:1.02,Mercury:0.72",,0.3,No,Sajgon,"2019-01-25 21:00:20","https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2/details/idB/43228076/nameB/Flyooe Hypue XP-M a34-2 1 1"
2,"Flyooe Hypue XP-M a34-2 2",Planet,"Icy body",,1,4180.49,"Sulphur:22.04,Carbon:18.53,Iron:15.42,Phosphorus:11.86,Nickel:11.67,Chromium:6.94,Manganese:6.37,Zinc:4.19,Niobium:1.05,Molybdenum:1.01,Yttrium:0.92",,0.32,No,Sajgon,"2019-01-25 21:00:49","https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2/details/idB/43228268/nameB/Flyooe Hypue XP-M a34-2 2 2"
3,"Flyooe Hypue XP-M a34-2 3",Planet,"Icy body",,1,5322.00,"Sulphur:22.55,Carbon:18.96,Iron:16.09,Nickel:12.17,Phosphorus:12.14,Manganese:6.65,Zinc:4.37,Vanadium:3.95,Niobium:1.1,Molybdenum:1.05,Yttrium:0.96",,0.43,No,Sajgon,"2019-01-25 21:00:10","https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2/details/idB/43228026/nameB/Flyooe Hypue XP-M a34-2 3 3"
4,"Flyooe Hypue XP-M a34-2 3 a",Planet,"Icy body",,1,2478.46,"Sulphur:28.13,Carbon:23.65,Phosphorus:15.14,Iron:12.4,Nickel:9.38,Selenium:4.4,Germanium:3.28,Arsenic:1.47,Cadmium:0.96,Niobium:0.85,Polonium:0.33",,0.15,No,Sajgon,"2019-01-25 21:00:14","https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2/details/idB/43228025/nameB/Flyooe Hypue XP-M a34-2 3 a 4"
5,"Flyooe Hypue XP-M a34-2 4",Planet,"Icy body",,1,5009.19,"Sulphur:22.75,Carbon:19.13,Iron:15.93,Phosphorus:12.25,Nickel:12.05,Chromium:7.16,Zinc:4.33,Selenium:3.56,Niobium:1.09,Molybdenum:1.04,Antimony:0.71",,0.39,No,Sajgon,"2019-01-25 21:00:28","https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2/details/idB/43228136/nameB/Flyooe Hypue XP-M a34-2 4 5"
6,"Flyooe Hypue XP-M a34-2 5",Planet,"Icy body",,1,5010.48,"Sulphur:22.77,Carbon:19.14,Iron:15.94,Phosphorus:12.26,Nickel:12.05,Chromium:7.17,Zinc:4.33,Vanadium:3.91,Tin:1.03,Antimony:0.71,Mercury:0.7",,0.39,No,Sajgon,"2019-01-25 20:59:59","https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2/details/idB/43227913/nameB/Flyooe Hypue XP-M a34-2 5 6"
7,"Flyooe Hypue XP-M a34-2 6",Planet,"Icy body",,,6237.71,,,0.51,No,Sajgon,"2019-01-25 20:59:31","https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2/details/idB/43227778/nameB/Flyooe Hypue XP-M a34-2 6 7"
8,"Flyooe Hypue XP-M a34-2 7",Planet,"Icy body",,1,5426.33,"Sulphur:22.66,Carbon:19.05,Iron:15.86,Phosphorus:12.2,Nickel:12,Chromium:7.13,Zinc:4.31,Selenium:3.55,Cadmium:1.23,Molybdenum:1.04,Ruthenium:0.98",,0.43,No,Sajgon,"2019-01-25 20:59:33","https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2/details/idB/43227777/nameB/Flyooe Hypue XP-M a34-2 7 8"
10,"Flyooe Hypue XP-M a34-2 8",Planet,"Icy body",,,6877.29,,,0.57,No,Sajgon,"2019-01-25 20:59:50","https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2/details/idB/43227901/nameB/Flyooe Hypue XP-M a34-2 8 10"
11,"Flyooe Hypue XP-M a34-2 9",Planet,"Icy body",,1,6156.07,"Sulphur:22.58,Carbon:18.99,Iron:15.81,Phosphorus:12.16,Nickel:11.95,Chromium:7.11,Manganese:6.53,Zirconium:1.84,Niobium:1.08,Tin:1.02,Yttrium:0.94",,0.5,No,Sajgon,"2019-01-25 20:59:55","https://www.edsm.net/en/system/bodies/id/32845161/name/Flyooe+Hypue+XP-M+a34-2/details/idB/43227912/nameB/Flyooe Hypue XP-M a34-2 9 11"
