bodyId,bodyName,type,subType,discoveredBy,discoveredDt,materials,radius,rings,isLandable,gravity,terraformable,updateTime,EDSM
2,"Gludge YG-F b27-0 A",Star,"L (Brown dwarf) Star",LDSK,"2021-01-01 01:00:13",,0,,0,0,0,"2024-05-30 02:44:16",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
11,"Gludge YG-F b27-0 A 1",Planet,"High metal content world",LDSK,"2021-01-01 01:00:13","Iron:20.94, Nickel:15.84, Sulphur:14.96, Carbon:12.58, Chromium:9.42, Manganese:8.65, Phosphorus:8.05, Zinc:5.69, Molybdenum:1.37, Tin:1.36, Tellurium:1.14",442.62,,1,0.06,"Not terraformable","2024-05-30 02:44:16",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
12,"Gludge YG-F b27-0 A 2",Planet,"High metal content world",LDSK,"2021-01-01 01:00:13","Iron:21.72, Nickel:16.43, Sulphur:15.51, Carbon:13.04, Chromium:9.77, Phosphorus:8.35, Zinc:5.9, Vanadium:5.33, Molybdenum:1.42, Ruthenium:1.34, Tungsten:1.19",383.67,,1,0.05,"Not terraformable","2024-05-30 02:44:16",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
13,"Gludge YG-F b27-0 A 3",Planet,"High metal content world",LDSK,"2021-01-01 01:02:30","Iron:22.11, Nickel:16.73, Sulphur:15.79, Carbon:13.28, Chromium:9.95, Phosphorus:8.5, Vanadium:5.43, Germanium:4.64, Niobium:1.51, Tin:1.44, Polonium:0.62",820.11,,1,0.12,"Not terraformable","2024-05-30 03:52:11",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
14,"Gludge YG-F b27-0 A 4",Planet,"High metal content world",LDSK,"2021-01-01 01:00:56","Iron:22.59, Nickel:17.09, Sulphur:16.13, Carbon:13.57, Chromium:10.16, Phosphorus:8.68, Germanium:4.74, Zirconium:2.62, Niobium:1.54, Tin:1.47, Ruthenium:1.4",684.45,,1,0.1,"Not terraformable","2021-01-01 01:00:56",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
15,"Gludge YG-F b27-0 A 5",Planet,"High metal content world",LDSK,"2021-01-01 01:02:31","Iron:21.24, Nickel:16.06, Sulphur:15.17, Carbon:12.75, Chromium:9.55, Manganese:8.77, Phosphorus:8.16, Vanadium:5.22, Molybdenum:1.39, Mercury:0.93, Technetium:0.76",684.85,,1,0.1,"Not terraformable","2024-05-30 03:53:10",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
16,"Gludge YG-F b27-0 A 6",Planet,"High metal content world",LDSK,"2021-01-01 01:01:48",,612.91,,,0.09,"Not terraformable","2021-01-01 01:01:48",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
21,"Gludge YG-F b27-0 AB 1",Planet,"Icy body",LDSK,"2021-01-01 01:02:25","Sulphur:22.54, Carbon:18.95, Iron:15.48, Phosphorus:12.13, Nickel:11.71, Chromium:6.96, Manganese:6.39, Germanium:3.25, Niobium:1.06, Tellurium:0.84, Mercury:0.68",6052.80,,1,0.49,"Not terraformable","2024-05-30 03:49:30",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
3,"Gludge YG-F b27-0 B",Star,"L (Brown dwarf) Star",LDSK,"2021-01-01 01:00:16",,0,,0,0,0,"2024-05-30 03:12:14",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
17,"Gludge YG-F b27-0 B 1",Planet,"High metal content world",LDSK,"2021-01-01 01:01:28","Iron:22.93, Nickel:17.34, Sulphur:16.37, Carbon:13.77, Manganese:9.47, Phosphorus:8.81, Germanium:4.81, Zirconium:2.66, Niobium:1.57, Tungsten:1.26, Antimony:1.02",632.28,,1,0.09,"Not terraformable","2024-05-30 03:53:43",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
18,"Gludge YG-F b27-0 B 2",Planet,"High metal content world",LDSK,"2021-01-01 01:01:22","Iron:22.58, Nickel:17.08, Sulphur:16.12, Carbon:13.56, Manganese:9.32, Phosphorus:8.68, Zinc:6.14, Selenium:2.52, Niobium:1.54, Tungsten:1.24, Tellurium:1.23",375.40,,1,0.05,"Not terraformable","2024-05-30 03:53:59",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
19,"Gludge YG-F b27-0 B 3",Planet,"Rocky Ice world",LDSK,"2021-01-01 01:01:18","Sulphur:21.25, Iron:18.81, Carbon:17.87, Nickel:14.23, Phosphorus:11.44, Zinc:5.11, Vanadium:4.62, Germanium:3.95, Molybdenum:1.23, Mercury:0.82, Technetium:0.67",580.80,,1,0.05,"Not terraformable","2024-05-30 03:53:25",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
20,"Gludge YG-F b27-0 B 4",Planet,"Rocky Ice world",LDSK,"2021-01-01 01:01:35","Sulphur:20.61, Iron:18.25, Carbon:17.33, Nickel:13.8, Phosphorus:11.09, Manganese:7.54, Vanadium:4.48, Germanium:3.83, Molybdenum:1.19, Yttrium:1.09, Mercury:0.8",590.30,,1,0.05,"Not terraformable","2024-05-30 03:53:51",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
5,"Gludge YG-F b27-0 C",Star,"L (Brown dwarf) Star",LDSK,"2021-01-01 01:00:16",,0,,0,0,0,"2024-05-30 03:12:14",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
30,"Gludge YG-F b27-0 CD 1",Planet,"Icy body",LDSK,"2021-01-01 01:02:19","Sulphur:22.23, Carbon:18.69, Iron:15.27, Phosphorus:11.97, Nickel:11.55, Chromium:6.87, Manganese:6.3, Zinc:4.15, Niobium:1.04, Molybdenum:1, Ruthenium:0.94",4866.91,,1,0.37,"Not terraformable","2024-05-30 03:50:12",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
31,"Gludge YG-F b27-0 CD 2",Planet,"Icy body",LDSK,"2021-01-01 01:02:15","Sulphur:22.86, Carbon:19.22, Iron:15.92, Phosphorus:12.31, Nickel:12.04, Chromium:7.16, Manganese:6.57, Arsenic:1.49, Tungsten:0.87, Tellurium:0.86, Mercury:0.7",4500.93,,1,0.35,"Not terraformable","2024-05-30 03:51:16",https://www.edsm.net/en/system/bodies/id/60570377/name/Gludge+YG-F+b27-0
