body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Gludgoea OJ-G c24-3",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,Bommy,"2022-10-04 21:53:40",https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3
10,"Gludgoea OJ-G c24-3 1",Planet,"High metal content world",,1,4479.78,"Iron:20.94,Nickel:15.84,Sulphur:14.9,Carbon:12.53,Chromium:9.42,Manganese:8.65,Phosphorus:8.02,Zinc:5.69,Niobium:1.43,Tin:1.35,Yttrium:1.25",,0.74,No,Bommy,"2022-10-04 21:53:40","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630641/nameB/Gludgoea OJ-G c24-3 1 10"
11,"Gludgoea OJ-G c24-3 2",Planet,"High metal content world",,1,5276.84,"Iron:23.42,Nickel:17.72,Sulphur:16.67,Carbon:14.01,Phosphorus:8.97,Zinc:6.37,Vanadium:5.75,Zirconium:2.72,Cadmium:1.82,Tin:1.51,Antimony:1.04",,0.91,No,Bommy,"2022-10-04 21:53:40","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630638/nameB/Gludgoea OJ-G c24-3 2 11"
12,"Gludgoea OJ-G c24-3 3",Planet,"High metal content world",,1,7203.80,"Iron:23.01,Nickel:17.41,Sulphur:16.29,Carbon:13.7,Chromium:10.35,Phosphorus:8.77,Germanium:4.8,Arsenic:2.15,Tungsten:1.26,Tellurium:1.24,Mercury:1",,1.4,No,Bommy,"2022-10-04 21:55:25","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630800/nameB/Gludgoea OJ-G c24-3 3 12"
26,"Gludgoea OJ-G c24-3 4",Planet,"Gas giant with ammonia-based life",,,70942.97,,,2.08,No,Bommy,"2022-10-04 21:54:38","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630734/nameB/Gludgoea OJ-G c24-3 4 26"
27,"Gludgoea OJ-G c24-3 4 a",Planet,"Icy body",,1,1786.39,"Sulphur:27.03,Carbon:22.73,Phosphorus:14.55,Iron:12.16,Nickel:9.2,Chromium:5.47,Selenium:4.23,Vanadium:2.99,Tungsten:0.67,Mercury:0.53,Technetium:0.43",,0.11,No,Bommy,"2022-10-04 21:54:49","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630747/nameB/Gludgoea OJ-G c24-3 4 a 27"
28,"Gludgoea OJ-G c24-3 4 b",Planet,"Icy body",,1,1401.41,"Sulphur:27.59,Carbon:23.2,Phosphorus:14.85,Iron:12.35,Nickel:9.34,Chromium:5.56,Germanium:3.57,Zirconium:1.43,Molybdenum:0.81,Ruthenium:0.76,Mercury:0.54",,0.08,No,Bommy,"2022-10-04 21:54:54","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630767/nameB/Gludgoea OJ-G c24-3 4 b 28"
29,"Gludgoea OJ-G c24-3 4 c",Planet,"Icy body",,1,2099.03,"Sulphur:28.04,Carbon:23.58,Phosphorus:15.1,Iron:12.56,Nickel:9.5,Germanium:3.63,Zinc:3.41,Arsenic:1.62,Cadmium:0.98,Molybdenum:0.82,Antimony:0.77",,0.13,No,Bommy,"2022-10-04 21:54:58","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630768/nameB/Gludgoea OJ-G c24-3 4 c 29"
30,"Gludgoea OJ-G c24-3 4 d",Planet,"Icy body",,1,2159.39,"Sulphur:27.4,Carbon:23.04,Phosphorus:14.75,Iron:12.31,Nickel:9.31,Selenium:4.29,Germanium:3.55,Vanadium:3.02,Niobium:0.84,Ruthenium:0.76,Tin:0.73",,0.13,No,Bommy,"2022-10-04 21:55:11","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630778/nameB/Gludgoea OJ-G c24-3 4 d 30"
31,"Gludgoea OJ-G c24-3 4 d a",Planet,"Icy body",,1,559.21,"Sulphur:29.44,Carbon:24.75,Phosphorus:15.85,Iron:9.05,Nickel:6.85,Selenium:4.61,Chromium:4.07,Manganese:3.74,Cadmium:0.7,Niobium:0.62,Technetium:0.32",,0.03,No,Bommy,"2022-10-04 21:55:07","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630773/nameB/Gludgoea OJ-G c24-3 4 d a 31"
33,"Gludgoea OJ-G c24-3 5",Planet,"Class I gas giant",,,35660.82,,,0.59,No,Bommy,"2022-10-04 21:55:40","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630843/nameB/Gludgoea OJ-G c24-3 5 33"
34,"Gludgoea OJ-G c24-3 5 a",Planet,"Icy body",,1,838.45,"Sulphur:27.37,Carbon:23.01,Phosphorus:14.73,Iron:12.26,Nickel:9.27,Manganese:5.06,Selenium:4.28,Arsenic:1.58,Tellurium:0.92,Niobium:0.84,Tungsten:0.67",,0.05,No,Bommy,"2022-10-04 21:55:50","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630857/nameB/Gludgoea OJ-G c24-3 5 a 34"
35,"Gludgoea OJ-G c24-3 5 b",Planet,"Icy body",,1,590.88,"Sulphur:26.78,Carbon:22.52,Phosphorus:14.42,Iron:11.99,Nickel:9.07,Chromium:5.39,Selenium:4.19,Germanium:3.46,Molybdenum:0.78,Ruthenium:0.74,Tungsten:0.66",,0.03,No,Bommy,"2022-10-04 21:56:09","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630906/nameB/Gludgoea OJ-G c24-3 5 b 35"
36,"Gludgoea OJ-G c24-3 5 c",Planet,"Icy body",,1,561.19,"Sulphur:26.3,Carbon:22.12,Phosphorus:14.16,Iron:11.78,Nickel:8.91,Chromium:5.3,Manganese:4.86,Selenium:4.12,Tellurium:0.88,Niobium:0.8,Molybdenum:0.77",,0.03,No,Bommy,"2022-10-04 21:56:16","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630921/nameB/Gludgoea OJ-G c24-3 5 c 36"
37,"Gludgoea OJ-G c24-3 5 d",Planet,"Icy body",,1,637.41,"Sulphur:26.71,Carbon:22.46,Phosphorus:14.38,Iron:11.96,Nickel:9.05,Chromium:5.38,Manganese:4.94,Vanadium:2.94,Cadmium:0.93,Antimony:0.73,Mercury:0.52",,0.04,No,Bommy,"2022-10-04 21:56:22","https://www.edsm.net/en/system/bodies/id/76835070/name/Gludgoea+OJ-G+c24-3/details/idB/410630927/nameB/Gludgoea OJ-G c24-3 5 d 37"
