body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"HD 37127 A",Star,"B (Blue-White) Star",,0,0,,,0,0,EnterTheNameHere,"2017-09-11 21:25:04","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/2335690/nameB/HD 37127 A 1"
3,"HD 37127 A 1",Planet,"Metal-rich body",,,5433.80,,"1 ring<br/>Metallic",2.05,No,EnterTheNameHere,"2017-09-11 21:26:37","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7740745/nameB/HD 37127 A 1 3"
5,"HD 37127 A 2",Planet,"Metal-rich body",,1,8860.50,"Iron:32.53,Nickel:24.6,Chromium:14.63,Manganese:13.43,Zinc:8.84,Tin:2.18,Ruthenium:2.01,Tungsten:1.79",,4.94,No,EnterTheNameHere,"2018-09-06 22:41:33","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7740788/nameB/HD 37127 A 2 5"
6,"HD 37127 A 3",Planet,"High metal content world",,1,18506.84,"Iron:20.85,Nickel:15.77,Sulphur:15.14,Carbon:12.73,Chromium:9.38,Manganese:8.61,Phosphorus:8.15,Zinc:5.67,Niobium:1.42,Molybdenum:1.36,Antimony:0.93","1 ring<br/>Metal Rich",3.47,No,EnterTheNameHere,"2017-09-11 21:29:30","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7740829/nameB/HD 37127 A 3 6"
8,"HD 37127 A 3 a",Planet,"Metal-rich body",,1,432.24,"Iron:33.08,Nickel:25.02,Chromium:14.88,Manganese:13.66,Zinc:8.99,Tin:2.22,Mercury:1.44,Tellurium:0.7",,0.11,No,EnterTheNameHere,"2017-09-11 21:31:04","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7740869/nameB/HD 37127 A 3 a 8"
9,"HD 37127 A 3 b",Planet,"Metal-rich body",,1,256.41,"Iron:41.89,Nickel:31.69,Zinc:11.39,Zirconium:4.86,Niobium:2.86,Molybdenum:2.74,Ruthenium:2.59,Germanium:1.98",,0.07,No,EnterTheNameHere,"2017-09-11 21:30:27","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7740850/nameB/HD 37127 A 3 b 9"
10,"HD 37127 A 3 c",Planet,"Metal-rich body",,1,247.00,"Iron:35.63,Nickel:26.95,Manganese:14.72,Zinc:9.68,Vanadium:8.75,Tungsten:1.96,Mercury:1.56,Tellurium:0.75",,0.07,No,EnterTheNameHere,"2017-09-11 21:32:34","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7740916/nameB/HD 37127 A 3 c 10"
20,"HD 37127 A 4",Planet,"Class IV gas giant",,,65898.93,,"1 ring<br/>Rocky",29.78,No,EnterTheNameHere,"2017-09-11 21:35:03","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7740987/nameB/HD 37127 A 4 20"
22,"HD 37127 A 4 a",Planet,"Rocky body",,,1611.20,,,0.19,No,EnterTheNameHere,"2017-09-11 21:36:05","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741028/nameB/HD 37127 A 4 a 22"
23,"HD 37127 A 5",Planet,"High metal content world",,,8980.66,,,1.96,No,EnterTheNameHere,"2017-09-11 21:34:48","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7740980/nameB/HD 37127 A 5 23"
24,"HD 37127 A 6",Planet,"High metal content world",,,10364.11,,"2 rings<br/>",2.5,No,EnterTheNameHere,"2017-09-11 21:43:54","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741210/nameB/HD 37127 A 6 24"
27,"HD 37127 A 6 a",Planet,"Rocky body",,1,610.39,"Iron:18.9,Sulphur:18.42,Carbon:15.49,Nickel:14.29,Phosphorus:9.92,Chromium:8.5,Germanium:5.46,Zinc:5.14,Cadmium:1.47,Niobium:1.29,Yttrium:1.13",,0.07,No,EnterTheNameHere,"2017-09-11 21:45:52","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741255/nameB/HD 37127 A 6 a 27"
28,"HD 37127 A 6 b",Planet,"Rocky body",,1,442.77,"Iron:18.52,Sulphur:18.12,Carbon:15.23,Nickel:14.01,Phosphorus:9.75,Chromium:8.33,Manganese:7.65,Zinc:5.03,Molybdenum:1.21,Antimony:1.14,Tungsten:1.02",,0.05,No,EnterTheNameHere,"2017-09-11 21:46:48","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741287/nameB/HD 37127 A 6 b 28"
29,"HD 37127 A 7",Star,"Y (Brown dwarf) Star",,0,0,,"2 rings<br/>",0,0,PilotPirx,"2018-06-23 10:50:54","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741079/nameB/HD 37127 A 7 29"
32,"HD 37127 A 7 a",Planet,"Class III gas giant",,,74977.72,,"2 rings<br/>",3.03,No,PilotPirx,"2018-06-23 10:51:19","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741119/nameB/HD 37127 A 7 a 32"
35,"HD 37127 A 7 a a",Planet,"Rocky body",,1,513.69,"Sulphur:19.48,Iron:16.88,Carbon:16.38,Nickel:12.77,Phosphorus:10.49,Chromium:7.59,Manganese:6.97,Germanium:5.77,Tellurium:1.5,Cadmium:1.31,Tin:0.85",,0.06,No,PilotPirx,"2018-06-23 10:52:37","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741106/nameB/HD 37127 A 7 a a 35"
36,"HD 37127 A 7 a b",Planet,"Rocky body",,1,442.15,"Sulphur:22.21,Iron:19.19,Carbon:18.67,Nickel:14.51,Phosphorus:11.95,Vanadium:4.71,Selenium:3.48,Zirconium:2.23,Niobium:1.31,Tungsten:1.05,Technetium:0.69",,0.05,No,PilotPirx,"2018-06-23 10:52:56","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741146/nameB/HD 37127 A 7 a b 36"
38,"HD 37127 A 8",Star,"Y (Brown dwarf) Star",,0,0,,"1 ring<br/>Metal Rich",0,0,EnterTheNameHere,"2017-09-11 21:52:33","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741432/nameB/HD 37127 A 8 38"
40,"HD 37127 A 8 a",Planet,"Rocky body",,1,3088.01,"Iron:19.08,Sulphur:18.66,Carbon:15.69,Nickel:14.43,Phosphorus:10.04,Manganese:7.88,Germanium:5.53,Zinc:5.18,Tellurium:1.43,Molybdenum:1.25,Mercury:0.83",,0.39,No,EnterTheNameHere,"2017-09-11 21:54:09","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741473/nameB/HD 37127 A 8 a 40"
41,"HD 37127 A 8 b",Planet,"Rocky body",,1,2704.61,"Iron:19.09,Sulphur:18.58,Carbon:15.62,Nickel:14.44,Phosphorus:10,Chromium:8.59,Manganese:7.88,Selenium:2.91,Tin:1.15,Tungsten:1.05,Technetium:0.68",,0.34,No,EnterTheNameHere,"2017-09-11 21:53:47","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741464/nameB/HD 37127 A 8 b 41"
42,"HD 37127 A 8 b a",Planet,"Rocky body",,1,990.27,"Sulphur:19.23,Iron:17.04,Carbon:16.17,Nickel:12.89,Phosphorus:10.35,Chromium:7.66,Manganese:7.04,Germanium:5.7,Tellurium:1.48,Cadmium:1.32,Molybdenum:1.11",,0.11,No,EnterTheNameHere,"2018-09-06 22:46:47","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741458/nameB/HD 37127 A 8 b a 42"
44,"HD 37127 A 8 c",Planet,"Rocky body",,1,2055.09,"Iron:19.37,Sulphur:18.95,Carbon:15.93,Nickel:14.65,Phosphorus:10.2,Chromium:8.71,Germanium:5.62,Arsenic:2.51,Tellurium:1.45,Niobium:1.32,Molybdenum:1.27",,0.25,No,EnterTheNameHere,"2017-09-11 21:55:06","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741496/nameB/HD 37127 A 8 c 44"
45,"HD 37127 A 8 d",Planet,"Rocky body",,1,2054.47,"Iron:18.95,Sulphur:18.54,Carbon:15.59,Nickel:14.34,Phosphorus:9.98,Chromium:8.52,Germanium:5.49,Vanadium:4.65,Cadmium:1.47,Niobium:1.3,Antimony:1.16",,0.25,No,EnterTheNameHere,"2017-09-11 21:54:43","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741487/nameB/HD 37127 A 8 d 45"
46,"HD 37127 A 9",Planet,"High metal content world",,,9413.39,,"1 ring<br/>Rocky",2.12,No,EnterTheNameHere,"2017-09-11 21:52:14","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/7741424/nameB/HD 37127 A 9 46"
2,"HD 37127 B",Star,"Black Hole",,0,0,,,0,0,EnterTheNameHere,"2017-09-11 22:03:38","https://www.edsm.net/en/system/bodies/id/9851208/name/HD+37127/details/idB/2335769/nameB/HD 37127 B 2"
