bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
0,"Hegai QU-G d10-2",Star,"A (Blue-White) Star",0,0,,,0,0,"2024-07-14 16:30:54","CMDR Scott Fleming","2024-07-14 16:30:54",https://www.edsm.net/en/system/bodies/id/86020874/name/Hegai+QU-G+d10-2
1,"Hegai QU-G d10-2 1",Planet,"High metal content world",1,3598.07,"Iron:22.54,Nickel:17.05,Sulphur:16.02,Carbon:13.47,Chromium:10.14,Phosphorus:8.63,Vanadium:5.53,Zirconium:2.62,Niobium:1.54,Tin:1.46,Antimony:1.01",,0.57,No,"2024-07-14 16:31:14","CMDR Scott Fleming","2024-07-14 16:31:14",https://www.edsm.net/en/system/bodies/id/86020874/name/Hegai+QU-G+d10-2
2,"Hegai QU-G d10-2 2",Planet,"High metal content world",1,4154.81,"Iron:23.54,Nickel:17.81,Sulphur:16.6,Carbon:13.96,Chromium:10.59,Phosphorus:8.94,Zirconium:2.73,Selenium:2.6,Molybdenum:1.54,Mercury:1.03,Polonium:0.66",,0.68,No,"2024-07-14 16:32:11","CMDR Scott Fleming","2024-07-14 16:32:11",https://www.edsm.net/en/system/bodies/id/86020874/name/Hegai+QU-G+d10-2
3,"Hegai QU-G d10-2 2 a",Planet,"Rocky body",1,1578.39,"Iron:20.45,Sulphur:18.33,Nickel:15.46,Carbon:15.41,Phosphorus:9.87,Manganese:8.44,Vanadium:5.02,Selenium:2.87,Cadmium:1.59,Molybdenum:1.34,Yttrium:1.22",,0.2,No,"2024-07-14 16:32:03","CMDR Scott Fleming","2024-07-14 16:32:03",https://www.edsm.net/en/system/bodies/id/86020874/name/Hegai+QU-G+d10-2
4,"Hegai QU-G d10-2 3",Planet,"High metal content world",,4256.23,,,0.7,No,"2024-07-14 16:31:51","CMDR Scott Fleming","2024-07-14 16:31:51",https://www.edsm.net/en/system/bodies/id/86020874/name/Hegai+QU-G+d10-2
5,"Hegai QU-G d10-2 4",Planet,"High metal content world",,3844.69,,,0.62,Yes,"2024-07-14 16:35:34","CMDR Scott Fleming","2024-07-14 16:31:02",https://www.edsm.net/en/system/bodies/id/86020874/name/Hegai+QU-G+d10-2
6,"Hegai QU-G d10-2 5",Planet,"High metal content world",1,3736.54,"Iron:20.92,Nickel:15.82,Sulphur:14.87,Carbon:12.51,Chromium:9.41,Manganese:8.64,Phosphorus:8.01,Zinc:5.69,Cadmium:1.62,Molybdenum:1.37,Tellurium:1.14",,0.6,Yes,"2024-07-14 16:31:09","CMDR Scott Fleming","2024-07-14 16:31:09",https://www.edsm.net/en/system/bodies/id/86020874/name/Hegai+QU-G+d10-2
7,"Hegai QU-G d10-2 6",Planet,"High metal content world",,4338.18,,,0.72,No,"2024-07-14 16:31:44","CMDR Scott Fleming","2024-07-14 16:31:44",https://www.edsm.net/en/system/bodies/id/86020874/name/Hegai+QU-G+d10-2
8,"Hegai QU-G d10-2 6 a",Planet,"Rocky body",1,1963.12,"Iron:20.31,Sulphur:18.21,Nickel:15.36,Carbon:15.31,Phosphorus:9.8,Chromium:9.13,Germanium:5.4,Zirconium:2.36,Cadmium:1.58,Molybdenum:1.33,Yttrium:1.21",,0.25,No,"2024-07-14 16:31:36","CMDR Scott Fleming","2024-07-14 16:31:36",https://www.edsm.net/en/system/bodies/id/86020874/name/Hegai+QU-G+d10-2
9,"Hegai QU-G d10-2 7",Planet,"High metal content world",,3411.49,,,0.54,No,"2024-07-14 16:31:22","CMDR Scott Fleming","2024-07-14 16:31:22",https://www.edsm.net/en/system/bodies/id/86020874/name/Hegai+QU-G+d10-2
