body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Hegeia ZZ-R b45-1",Star,"M (Red dwarf) Star",,0,0,,,0,0,EvilEpidemic,"2019-03-17 22:14:59",https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1
5,"Hegeia ZZ-R b45-1 1",Planet,"Gas giant with water-based life",,,77520.24,,1:Icy,4.77,No,EvilEpidemic,"2019-03-17 22:15:38","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000164/nameB/Hegeia ZZ-R b45-1 1 5"
7,"Hegeia ZZ-R b45-1 1 a",Planet,"Icy body",,1,1145.69,"Sulphur:27.67,Carbon:23.27,Phosphorus:14.9,Iron:12.29,Nickel:9.29,Chromium:5.53,Zinc:3.34,Zirconium:1.43,Molybdenum:0.8,Ruthenium:0.76,Tin:0.73",,0.07,No,EvilEpidemic,"2019-03-17 22:15:48","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000169/nameB/Hegeia ZZ-R b45-1 1 a 7"
8,"Hegeia ZZ-R b45-1 1 b",Planet,"Icy body",,,1511.50,,,0.09,No,EvilEpidemic,"2019-03-17 22:15:46","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000167/nameB/Hegeia ZZ-R b45-1 1 b 8"
9,"Hegeia ZZ-R b45-1 1 c",Planet,"Icy body",,,1515.37,,,0.09,No,EvilEpidemic,"2019-03-17 22:15:50","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000171/nameB/Hegeia ZZ-R b45-1 1 c 9"
10,"Hegeia ZZ-R b45-1 1 d",Planet,"Icy body",,,1431.74,,,0.09,No,EvilEpidemic,"2019-03-17 22:15:44","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000165/nameB/Hegeia ZZ-R b45-1 1 d 10"
12,"Hegeia ZZ-R b45-1 1 e",Planet,"Icy body",,1,1954.74,"Sulphur:26.53,Carbon:22.31,Phosphorus:14.28,Iron:11.9,Nickel:9,Chromium:5.35,Manganese:4.91,Germanium:3.46,Niobium:0.81,Antimony:0.73,Tin:0.71",,0.12,No,EvilEpidemic,"2019-03-17 22:15:57","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000182/nameB/Hegeia ZZ-R b45-1 1 e 12"
13,"Hegeia ZZ-R b45-1 1 e a",Planet,"Icy body",,1,733.44,"Sulphur:30.23,Carbon:25.42,Phosphorus:16.27,Iron:9.23,Nickel:6.98,Chromium:4.15,Manganese:3.81,Vanadium:2.27,Cadmium:0.72,Molybdenum:0.6,Technetium:0.33",,0.04,No,EvilEpidemic,"2019-03-17 22:15:54","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000175/nameB/Hegeia ZZ-R b45-1 1 e a 13"
16,"Hegeia ZZ-R b45-1 2",Planet,"Class I gas giant",,,40056.22,,"2:Metal Rich,Icy",0.57,No,EvilEpidemic,"2019-03-17 22:16:08","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000184/nameB/Hegeia ZZ-R b45-1 2 16"
19,"Hegeia ZZ-R b45-1 2 a",Planet,"Icy body",,1,500.40,"Sulphur:26.86,Carbon:22.58,Phosphorus:14.46,Iron:11.92,Nickel:9.02,Chromium:5.36,Manganese:4.92,Vanadium:2.93,Yttrium:0.71,Tin:0.71,Mercury:0.52",,0.03,No,EvilEpidemic,"2019-03-17 22:16:12","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000185/nameB/Hegeia ZZ-R b45-1 2 a 19"
20,"Hegeia ZZ-R b45-1 2 b",Planet,"Icy body",,1,502.52,"Sulphur:26.56,Carbon:22.33,Phosphorus:14.3,Iron:11.79,Nickel:8.92,Chromium:5.3,Manganese:4.87,Germanium:3.43,Cadmium:0.92,Tellurium:0.89,Tin:0.7",,0.03,No,EvilEpidemic,"2019-03-17 22:16:15","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000186/nameB/Hegeia ZZ-R b45-1 2 b 20"
21,"Hegeia ZZ-R b45-1 2 c",Planet,"Icy body",,1,553.73,"Sulphur:26.66,Carbon:22.42,Phosphorus:14.35,Iron:11.84,Nickel:8.95,Chromium:5.32,Manganese:4.89,Germanium:3.44,Tellurium:0.89,Tin:0.7,Mercury:0.52",,0.03,No,EvilEpidemic,"2019-03-17 22:16:21","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000189/nameB/Hegeia ZZ-R b45-1 2 c 21"
22,"Hegeia ZZ-R b45-1 2 d",Planet,"Icy body",,1,678.35,"Sulphur:27.22,Carbon:22.89,Phosphorus:14.66,Iron:12.09,Nickel:9.14,Manganese:4.99,Germanium:3.52,Zinc:3.29,Molybdenum:0.79,Ruthenium:0.75,Tungsten:0.66",,0.04,No,EvilEpidemic,"2019-03-17 22:16:19","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000188/nameB/Hegeia ZZ-R b45-1 2 d 22"
23,"Hegeia ZZ-R b45-1 2 e",Planet,"Icy body",,1,879.07,"Sulphur:27.52,Carbon:23.14,Phosphorus:14.82,Iron:12.22,Nickel:9.24,Manganese:5.05,Selenium:4.31,Zirconium:1.42,Molybdenum:0.8,Ruthenium:0.75,Tin:0.73",,0.05,No,EvilEpidemic,"2019-03-17 22:16:17","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000187/nameB/Hegeia ZZ-R b45-1 2 e 23"
33,"Hegeia ZZ-R b45-1 3",Planet,"Class I gas giant",,,13203.55,,"2:Rocky,Icy",0.84,No,EvilEpidemic,"2019-03-17 22:16:28","https://www.edsm.net/en/system/bodies/id/35978893/name/Hegeia+ZZ-R+b45-1/details/idB/72000190/nameB/Hegeia ZZ-R b45-1 3 33"
