body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Hegua ME-T c3-38",Star,"M (Red dwarf) Star",,0,0,,,0,0,Sedyksen,"2021-12-20 05:51:35",https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38
13,"Hegua ME-T c3-38 1",Planet,"High metal content world",,1,2906.32,"Iron:22.02,Nickel:16.65,Sulphur:15.59,Carbon:13.11,Chromium:9.9,Phosphorus:8.39,Vanadium:5.41,Germanium:4.6,Cadmium:1.71,Molybdenum:1.44,Tellurium:1.19",,0.45,No,Sedyksen,"2021-12-20 05:52:26","https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38/details/idB/359287138/nameB/Hegua ME-T c3-38 1 13"
14,"Hegua ME-T c3-38 2",Planet,"High metal content world",,1,2631.95,"Iron:21.08,Nickel:15.95,Sulphur:14.93,Carbon:12.55,Chromium:9.48,Manganese:8.71,Phosphorus:8.04,Zinc:5.73,Tin:1.36,Yttrium:1.26,Mercury:0.92",,0.4,No,Sedyksen,"2021-12-20 05:52:21","https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38/details/idB/359287114/nameB/Hegua ME-T c3-38 2 14"
15,"Hegua ME-T c3-38 3",Planet,"High metal content world",,,4831.72,,,0.83,No,Sedyksen,"2021-12-20 05:52:06","https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38/details/idB/359287086/nameB/Hegua ME-T c3-38 3 15"
16,"Hegua ME-T c3-38 3 a",Planet,"Rocky body",,1,2419.49,"Iron:19.17,Sulphur:17.13,Nickel:14.5,Carbon:14.4,Phosphorus:9.22,Chromium:8.62,Manganese:7.92,Germanium:5.05,Cadmium:1.49,Niobium:1.31,Ruthenium:1.18",,0.31,No,Sedyksen,"2021-12-20 05:52:02","https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38/details/idB/359287070/nameB/Hegua ME-T c3-38 3 a 16"
17,"Hegua ME-T c3-38 4",Planet,"Rocky Ice world",,,4119.36,,,0.51,No,Sedyksen,"2021-12-20 05:52:15","https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38/details/idB/359287102/nameB/Hegua ME-T c3-38 4 17"
19,"Hegua ME-T c3-38 5",Planet,"Rocky Ice world",,,4593.18,,,0.58,No,Sedyksen,"2021-12-20 05:51:53","https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38/details/idB/359287053/nameB/Hegua ME-T c3-38 5 19"
20,"Hegua ME-T c3-38 6",Planet,"Rocky Ice world",,,4328.08,,,0.54,No,Sedyksen,"2021-12-20 05:51:51","https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38/details/idB/359287052/nameB/Hegua ME-T c3-38 6 20"
21,"Hegua ME-T c3-38 7",Planet,"Icy body",,,10497.48,,,1.04,No,Sedyksen,"2021-12-20 05:52:35","https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38/details/idB/359287160/nameB/Hegua ME-T c3-38 7 21"
22,"Hegua ME-T c3-38 7 a",Planet,"Icy body",,1,4894.97,"Sulphur:27.1,Carbon:22.78,Phosphorus:14.59,Iron:11.84,Nickel:8.95,Manganese:4.89,Selenium:4.24,Germanium:3.12,Cadmium:0.92,Tellurium:0.81,Molybdenum:0.77",,0.31,No,Sedyksen,"2021-12-20 05:52:40","https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38/details/idB/359287166/nameB/Hegua ME-T c3-38 7 a 22"
24,"Hegua ME-T c3-38 8",Planet,"Icy body",,,7372.13,,,0.63,No,Sedyksen,"2021-12-20 05:52:31","https://www.edsm.net/en/system/bodies/id/71023435/name/Hegua+ME-T+c3-38/details/idB/359287148/nameB/Hegua ME-T c3-38 8 24"
