bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
0,"Hypou Aip AG-N d7-0",Star,"G (White-Yellow) Star",0,0,,,0,0,"2020-10-30 15:35:55",Tannhäuser,"2020-10-30 15:35:55",https://www.edsm.net/en/system/bodies/id/58065285/name/Hypou+Aip+AG-N+d7-0
9,"Hypou Aip AG-N d7-0 1",Planet,"High metal content world",,9949.62,,,2.34,No,"2024-05-20 17:30:29",Tannhäuser,"2020-10-30 15:35:55",https://www.edsm.net/en/system/bodies/id/58065285/name/Hypou+Aip+AG-N+d7-0
10,"Hypou Aip AG-N d7-0 2",Planet,"High metal content world",,11533.34,,,3.1,No,"2024-05-20 17:30:18",Tannhäuser,"2020-10-30 15:35:55",https://www.edsm.net/en/system/bodies/id/58065285/name/Hypou+Aip+AG-N+d7-0
21,"Hypou Aip AG-N d7-0 3",Planet,"Class III gas giant",,73288.86,,"Metal Rich",15.47,No,"2024-05-20 17:31:17",Fuinnel,"2024-05-20 17:31:17",https://www.edsm.net/en/system/bodies/id/58065285/name/Hypou+Aip+AG-N+d7-0
23,"Hypou Aip AG-N d7-0 3 a",Planet,"Rocky body",1,971.97,"Iron:20.32,Sulphur:19.94,Carbon:16.77,Nickel:15.37,Phosphorus:10.74,Germanium:5.86,Vanadium:4.99,Zirconium:2.36,Molybdenum:1.33,Yttrium:1.21,Tungsten:1.12",,0.11,No,"2024-05-20 17:31:42",Fuinnel,"2024-05-20 17:31:42",https://www.edsm.net/en/system/bodies/id/58065285/name/Hypou+Aip+AG-N+d7-0
24,"Hypou Aip AG-N d7-0 3 b",Planet,"Rocky body",1,1480.63,"Iron:18.37,Sulphur:17.99,Carbon:15.13,Nickel:13.9,Phosphorus:9.69,Chromium:8.26,Manganese:7.59,Germanium:5.29,Cadmium:1.43,Niobium:1.26,Yttrium:1.1",,0.18,No,"2024-05-20 17:31:26",Fuinnel,"2024-05-20 17:31:26",https://www.edsm.net/en/system/bodies/id/58065285/name/Hypou+Aip+AG-N+d7-0
25,"Hypou Aip AG-N d7-0 3 b a",Planet,"Rocky body",1,405.80,"Sulphur:20.12,Iron:17.77,Carbon:16.92,Nickel:13.44,Phosphorus:10.83,Manganese:7.34,Germanium:5.91,Zinc:4.83,Ruthenium:1.1,Tungsten:0.98,Mercury:0.78",,0.04,No,"2024-05-20 17:31:28",Fuinnel,"2024-05-20 17:31:28",https://www.edsm.net/en/system/bodies/id/58065285/name/Hypou+Aip+AG-N+d7-0
26,"Hypou Aip AG-N d7-0 3 c",Planet,"Rocky body",1,993.45,"Iron:19.05,Sulphur:18.7,Carbon:15.72,Nickel:14.41,Phosphorus:10.07,Chromium:8.57,Germanium:5.5,Vanadium:4.68,Niobium:1.3,Ruthenium:1.18,Mercury:0.83",,0.12,No,"2024-05-20 17:31:37",Fuinnel,"2024-05-20 17:31:37",https://www.edsm.net/en/system/bodies/id/58065285/name/Hypou+Aip+AG-N+d7-0
27,"Hypou Aip AG-N d7-0 3 d",Planet,"Rocky body",1,1029.14,"Iron:18.5,Sulphur:18.16,Carbon:15.27,Nickel:13.99,Phosphorus:9.78,Chromium:8.32,Manganese:7.64,Zinc:5.03,Tellurium:1.38,Tin:1.11,Mercury:0.81",,0.12,No,"2024-05-20 17:31:39",Fuinnel,"2024-05-20 17:31:39",https://www.edsm.net/en/system/bodies/id/58065285/name/Hypou+Aip+AG-N+d7-0
31,"Hypou Aip AG-N d7-0 4",Planet,"Class III gas giant",,73758.20,,"Metal Rich, Rocky",14.94,No,"2024-05-20 17:32:49",Fuinnel,"2024-05-20 17:32:49",https://www.edsm.net/en/system/bodies/id/58065285/name/Hypou+Aip+AG-N+d7-0
