bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
0,"Hypou Aip HF-G b53-0",Star,"M (Red dwarf) Star",0,0,,,0,0,"2024-06-11 15:29:41","CMDR Scott Fleming","2024-06-11 15:29:41",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
6,"Hypou Aip HF-G b53-0 1",Planet,"Class I gas giant",,68121.02,,,1.64,No,"2024-06-11 15:35:27","CMDR Scott Fleming","2024-06-11 15:35:27",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
7,"Hypou Aip HF-G b53-0 1 a",Planet,"Icy body",,1401.91,,,0.08,No,"2024-06-11 15:35:34","CMDR Scott Fleming","2024-06-11 15:35:34",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
8,"Hypou Aip HF-G b53-0 1 b",Planet,"Icy body",,1447.92,,,0.09,No,"2024-06-11 15:35:39","CMDR Scott Fleming","2024-06-11 15:35:39",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
9,"Hypou Aip HF-G b53-0 1 c",Planet,"Icy body",,1231.61,,,0.07,No,"2024-06-11 15:35:49","CMDR Scott Fleming","2024-06-11 15:35:49",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
12,"Hypou Aip HF-G b53-0 1 d",Planet,"Icy body",,1273.26,,,0.08,No,"2024-06-11 15:35:46","CMDR Scott Fleming","2024-06-11 15:35:46",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
16,"Hypou Aip HF-G b53-0 2",Planet,"Class I gas giant",,68118.07,,"Rocky, Icy",1.72,No,"2024-06-11 15:35:17","CMDR Scott Fleming","2024-06-11 15:35:17",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
19,"Hypou Aip HF-G b53-0 3",Planet,"Class I gas giant",,42358.02,,,0.55,No,"2024-06-11 15:30:16","CMDR Scott Fleming","2024-06-11 15:30:16",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
20,"Hypou Aip HF-G b53-0 3 a",Planet,"Icy body",1,609.70,"Sulphur:26.71,Carbon:22.46,Phosphorus:14.38,Iron:11.92,Nickel:9.01,Chromium:5.36,Manganese:4.92,Germanium:3.46,Niobium:0.81,Tungsten:0.65,Polonium:0.31",,0.04,No,"2024-06-11 15:34:59","CMDR Scott Fleming","2024-06-11 15:34:59",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
21,"Hypou Aip HF-G b53-0 3 b",Planet,"Icy body",1,492.79,"Sulphur:27.37,Carbon:23.02,Phosphorus:14.73,Iron:12.21,Nickel:9.24,Chromium:5.49,Selenium:4.28,Zirconium:1.42,Cadmium:0.95,Ruthenium:0.75,Mercury:0.53",,0.03,No,"2024-06-11 15:35:05","CMDR Scott Fleming","2024-06-11 15:35:05",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
22,"Hypou Aip HF-G b53-0 3 c",Planet,"Icy body",1,504.76,"Sulphur:26.9,Carbon:22.62,Phosphorus:14.48,Iron:12,Nickel:9.08,Manganese:4.96,Selenium:4.21,Germanium:3.48,Niobium:0.82,Yttrium:0.72,Tin:0.72",,0.03,No,"2024-06-11 15:34:53","CMDR Scott Fleming","2024-06-11 15:34:53",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
23,"Hypou Aip HF-G b53-0 4",Planet,"Class I gas giant",,53692.32,,,1.03,No,"2024-06-11 15:36:02","CMDR Scott Fleming","2024-06-11 15:36:02",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
24,"Hypou Aip HF-G b53-0 4 a",Planet,"Icy body",1,949.46,"Sulphur:26.72,Carbon:22.47,Phosphorus:14.39,Iron:11.92,Nickel:9.02,Chromium:5.36,Selenium:4.18,Germanium:3.46,Cadmium:0.93,Niobium:0.81,Ruthenium:0.74",,0.06,No,"2024-06-11 15:36:07","CMDR Scott Fleming","2024-06-11 15:36:07",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
25,"Hypou Aip HF-G b53-0 4 b",Planet,"Icy body",1,1045.87,"Sulphur:27.47,Carbon:23.1,Phosphorus:14.79,Iron:12.26,Nickel:9.27,Selenium:4.3,Germanium:3.56,Vanadium:3.01,Tellurium:0.92,Molybdenum:0.8,Mercury:0.54",,0.06,No,"2024-06-11 15:36:11","CMDR Scott Fleming","2024-06-11 15:36:11",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
27,"Hypou Aip HF-G b53-0 4 c",Planet,"Icy body",1,1090.24,"Sulphur:27.33,Carbon:22.98,Phosphorus:14.71,Iron:12.2,Nickel:9.22,Selenium:4.28,Germanium:3.54,Zinc:3.31,Cadmium:0.95,Antimony:0.75,Tin:0.73",,0.06,No,"2024-06-11 15:36:25","CMDR Scott Fleming","2024-06-11 15:36:25",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
28,"Hypou Aip HF-G b53-0 4 d",Planet,"Icy body",1,956.20,"Sulphur:28.19,Carbon:23.71,Phosphorus:15.18,Iron:12.58,Nickel:9.51,Germanium:3.65,Vanadium:3.09,Arsenic:1.63,Niobium:0.86,Molybdenum:0.82,Antimony:0.77",,0.06,No,"2024-06-11 15:36:19","CMDR Scott Fleming","2024-06-11 15:36:19",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
29,"Hypou Aip HF-G b53-0 4 e",Planet,"Icy body",1,1385.23,"Sulphur:27.39,Carbon:23.03,Phosphorus:14.75,Iron:12.22,Nickel:9.24,Chromium:5.5,Selenium:4.29,Arsenic:1.59,Cadmium:0.95,Tin:0.73,Polonium:0.32",,0.08,No,"2024-06-11 15:36:32","CMDR Scott Fleming","2024-06-11 15:36:32",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
31,"Hypou Aip HF-G b53-0 5",Planet,"Icy body",,13931.99,,Icy,1.57,No,"2024-06-11 15:29:59","CMDR Scott Fleming","2024-06-11 15:29:59",https://www.edsm.net/en/system/bodies/id/13412963/name/Hypou+Aip+HF-G+b53-0
