bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
2,"Hypou Aip NW-C b29-0 A",Star,"M (Red dwarf) Star",0,0,,,0,0,"2024-05-31 11:04:20","CMDR Scott Fleming","2024-05-31 11:04:20",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
16,"Hypou Aip NW-C b29-0 AB 1",Planet,"Class I gas giant",,60572.92,,Icy,1.18,No,"2024-05-31 11:07:09","CMDR Scott Fleming","2024-05-31 11:07:09",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
18,"Hypou Aip NW-C b29-0 AB 1 a",Planet,"Icy body",1,979.24,"Sulphur:27.27,Carbon:22.93,Phosphorus:14.68,Iron:12.15,Nickel:9.19,Chromium:5.46,Selenium:4.27,Arsenic:1.58,Tellurium:0.91,Niobium:0.83,Tin:0.73",,0.06,No,"2024-05-31 11:07:55","CMDR Scott Fleming","2024-05-31 11:07:55",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
19,"Hypou Aip NW-C b29-0 AB 1 b",Planet,"Icy body",1,1234.82,"Sulphur:27.4,Carbon:23.04,Phosphorus:14.75,Iron:12.16,Nickel:9.2,Selenium:4.29,Germanium:3.53,Vanadium:2.99,Cadmium:0.94,Tellurium:0.91,Molybdenum:0.79",,0.07,No,"2024-05-31 11:07:51","CMDR Scott Fleming","2024-05-31 11:07:51",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
20,"Hypou Aip NW-C b29-0 AB 1 c",Planet,"Icy body",1,1070.01,"Sulphur:27.71,Carbon:23.3,Phosphorus:14.92,Iron:12.3,Nickel:9.3,Manganese:5.08,Zinc:3.34,Arsenic:1.6,Cadmium:0.95,Antimony:0.76,Tin:0.74",,0.06,No,"2024-05-31 11:07:37","CMDR Scott Fleming","2024-05-31 11:07:37",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
21,"Hypou Aip NW-C b29-0 AB 1 d",Planet,"Icy body",1,1251.31,"Sulphur:27.33,Carbon:22.98,Phosphorus:14.71,Iron:12.12,Nickel:9.17,Manganese:5.01,Germanium:3.52,Vanadium:2.98,Molybdenum:0.79,Yttrium:0.72,Tungsten:0.67",,0.07,No,"2024-05-31 11:07:44","CMDR Scott Fleming","2024-05-31 11:07:44",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
22,"Hypou Aip NW-C b29-0 AB 1 e",Planet,"Icy body",1,1274.29,"Sulphur:28.12,Carbon:23.65,Phosphorus:15.14,Iron:12.48,Nickel:9.44,Chromium:5.61,Arsenic:1.62,Zirconium:1.45,Tellurium:0.94,Molybdenum:0.81,Tin:0.75",,0.08,No,"2024-05-31 11:07:30","CMDR Scott Fleming","2024-05-31 11:07:30",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
23,"Hypou Aip NW-C b29-0 AB 2",Planet,"Class I gas giant",,38621.60,,,0.61,No,"2024-05-31 11:06:04","CMDR Scott Fleming","2024-05-31 11:06:04",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
24,"Hypou Aip NW-C b29-0 AB 2 a",Planet,"Icy body",1,784.78,"Sulphur:28.01,Carbon:23.55,Phosphorus:15.08,Iron:12.57,Nickel:9.51,Selenium:4.38,Zinc:3.42,Arsenic:1.63,Cadmium:0.98,Mercury:0.55,Polonium:0.33",,0.05,No,"2024-05-31 11:06:12","CMDR Scott Fleming","2024-05-31 11:06:12",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
25,"Hypou Aip NW-C b29-0 AB 2 b",Planet,"Icy body",1,731.92,"Sulphur:26.85,Carbon:22.58,Phosphorus:14.46,Iron:12.04,Nickel:9.11,Manganese:4.97,Selenium:4.2,Zinc:3.27,Cadmium:0.94,Niobium:0.82,Ruthenium:0.74",,0.04,No,"2024-05-31 11:06:49","CMDR Scott Fleming","2024-05-31 11:06:49",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
26,"Hypou Aip NW-C b29-0 AB 2 c",Planet,"Icy body",1,759.76,"Sulphur:26.57,Carbon:22.35,Phosphorus:14.31,Iron:11.85,Nickel:8.96,Chromium:5.33,Manganese:4.89,Germanium:3.44,Cadmium:0.92,Ruthenium:0.73,Tungsten:0.65",,0.04,No,"2024-05-31 11:06:38","CMDR Scott Fleming","2024-05-31 11:06:38",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
27,"Hypou Aip NW-C b29-0 AB 2 d",Planet,"Icy body",1,809.16,"Sulphur:26.8,Carbon:22.53,Phosphorus:14.43,Iron:11.99,Nickel:9.07,Chromium:5.39,Selenium:4.19,Zinc:3.26,Cadmium:0.93,Antimony:0.74,Tungsten:0.66",,0.05,No,"2024-05-31 11:06:54","CMDR Scott Fleming","2024-05-31 11:06:54",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
28,"Hypou Aip NW-C b29-0 AB 2 e",Planet,"Icy body",1,806.63,"Sulphur:28.35,Carbon:23.84,Phosphorus:15.26,Iron:12.58,Nickel:9.52,Germanium:3.65,Zinc:3.42,Arsenic:1.63,Niobium:0.86,Mercury:0.55,Polonium:0.33",,0.05,No,"2024-05-31 11:06:23","CMDR Scott Fleming","2024-05-31 11:06:23",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
29,"Hypou Aip NW-C b29-0 AB 2 f",Planet,"Icy body",1,797.55,"Sulphur:27.23,Carbon:22.89,Phosphorus:14.66,Iron:12.08,Nickel:9.14,Chromium:5.43,Germanium:3.51,Zinc:3.28,Cadmium:0.94,Mercury:0.53,Polonium:0.31",,0.05,No,"2024-05-31 11:06:32","CMDR Scott Fleming","2024-05-31 11:06:32",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
3,"Hypou Aip NW-C b29-0 B",Star,"L (Brown dwarf) Star",0,0,,,0,0,"2024-05-31 11:04:25","CMDR Scott Fleming","2024-05-31 11:04:25",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
11,"Hypou Aip NW-C b29-0 B 1",Planet,"High metal content world",1,935.21,"Iron:21.23,Nickel:16.06,Sulphur:15.24,Carbon:12.82,Chromium:9.55,Manganese:8.77,Phosphorus:8.21,Germanium:4.48,Niobium:1.45,Yttrium:1.27,Mercury:0.93",,0.13,No,"2024-05-31 11:05:04","CMDR Scott Fleming","2024-05-31 11:05:04",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
12,"Hypou Aip NW-C b29-0 B 2",Planet,"High metal content world",1,752.54,"Iron:21.75,Nickel:16.45,Sulphur:15.61,Carbon:13.13,Chromium:9.78,Phosphorus:8.41,Zinc:5.91,Germanium:4.59,Cadmium:1.69,Niobium:1.49,Tellurium:1.19",,0.11,No,"2024-05-31 11:05:32","CMDR Scott Fleming","2024-05-31 11:05:32",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
13,"Hypou Aip NW-C b29-0 B 3",Planet,"High metal content world",,948.69,,,0.14,No,"2024-05-31 11:05:40","CMDR Scott Fleming","2024-05-31 11:05:40",https://www.edsm.net/en/system/bodies/id/85471303/name/Hypou+Aip+NW-C+b29-0
