bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
0,"Hypou Aip TZ-O d6-5",Star,"F (White) Star",0,0,,,0,0,"2020-05-14 16:36:02",MrMarkusCZ,"2020-05-14 16:36:02",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
1,"Hypou Aip TZ-O d6-5 1",Planet,"High metal content world",1,3907.86,"Iron:22.79,Nickel:17.23,Sulphur:16.07,Carbon:13.52,Manganese:9.41,Phosphorus:8.65,Zinc:6.19,Zirconium:2.65,Molybdenum:1.49,Antimony:1.01,Mercury:1",,0.63,No,"2020-05-14 16:37:21",MrMarkusCZ,"2020-05-14 16:37:21",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
2,"Hypou Aip TZ-O d6-5 2",Planet,"High metal content world",1,2539.67,"Iron:22.93,Nickel:17.35,Sulphur:16.18,Carbon:13.6,Manganese:9.47,Phosphorus:8.71,Vanadium:5.63,Arsenic:2.14,Niobium:1.57,Ruthenium:1.42,Mercury:1",,0.38,No,"2020-05-14 16:37:10",MrMarkusCZ,"2020-05-14 16:37:10",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
3,"Hypou Aip TZ-O d6-5 3",Planet,"High metal content world",,2177.00,,,0.32,No,"2020-05-14 16:37:05",MrMarkusCZ,"2020-05-14 16:37:05",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
4,"Hypou Aip TZ-O d6-5 4",Planet,"High metal content world",,2698.92,,,0.41,Yes,"2020-05-14 16:37:25",MrMarkusCZ,"2020-05-14 16:37:25",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
5,"Hypou Aip TZ-O d6-5 5",Planet,"High metal content world",,2495.55,,,0.38,No,"2020-05-14 16:37:27",MrMarkusCZ,"2020-05-14 16:37:27",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
6,"Hypou Aip TZ-O d6-5 6",Planet,"High metal content world",,3012.19,,,0.47,No,"2020-05-14 16:37:14",MrMarkusCZ,"2020-05-14 16:37:14",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
7,"Hypou Aip TZ-O d6-5 6 a",Planet,"Rocky body",1,739.71,"Iron:21.2,Sulphur:18.87,Nickel:16.04,Carbon:15.87,Phosphorus:10.16,Germanium:5.59,Vanadium:5.21,Selenium:2.95,Cadmium:1.65,Ruthenium:1.31,Tungsten:1.16",,0.09,No,"2020-05-14 16:37:17",MrMarkusCZ,"2020-05-14 16:37:17",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
8,"Hypou Aip TZ-O d6-5 7",Planet,"Rocky Ice world",,3410.23,,,0.33,No,"2020-05-14 16:37:30",MrMarkusCZ,"2020-05-14 16:37:30",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
9,"Hypou Aip TZ-O d6-5 8",Planet,"Rocky Ice world",,4586.38,,,0.47,No,"2020-05-14 16:36:50",MrMarkusCZ,"2020-05-14 16:36:50",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
10,"Hypou Aip TZ-O d6-5 8 a",Planet,"Icy body",1,2268.28,"Sulphur:25.5,Carbon:21.45,Iron:14.53,Phosphorus:13.73,Nickel:10.99,Manganese:6,Vanadium:3.57,Arsenic:1.71,Tin:0.9,Antimony:0.81,Tungsten:0.8",,0.15,No,"2020-05-14 16:36:58",MrMarkusCZ,"2020-05-14 16:36:58",https://www.edsm.net/en/system/bodies/id/52304037/name/Hypou+Aip+TZ-O+d6-5
