bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
2,"Hypou Aip UA-C c14-0 A",Star,"K (Yellow-Orange) Star",0,0,,,0,0,"2024-05-31 01:55:39","CMDR Scott Fleming","2024-05-31 01:55:39",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
8,"Hypou Aip UA-C c14-0 ABCD 1",Planet,"Class III gas giant",,77302.40,,"Metal Rich, Rocky",7.08,No,"2024-05-31 01:57:40","CMDR Scott Fleming","2024-05-31 01:57:40",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
11,"Hypou Aip UA-C c14-0 ABCD 1 a",Planet,"Rocky body",1,805.06,"Iron:18.48,Sulphur:18.07,Carbon:15.2,Nickel:13.97,Phosphorus:9.73,Chromium:8.31,Manganese:7.63,Germanium:5.32,Tellurium:1.38,Tin:1.11,Mercury:0.81",,0.09,No,"2024-05-31 01:58:02","CMDR Scott Fleming","2024-05-31 01:58:02",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
12,"Hypou Aip UA-C c14-0 ABCD 1 b",Planet,"Rocky body",1,743.24,"Iron:20.59,Sulphur:20.14,Carbon:16.94,Nickel:15.58,Phosphorus:10.84,Germanium:5.93,Selenium:3.15,Arsenic:2.65,Cadmium:1.6,Molybdenum:1.34,Yttrium:1.23",,0.09,No,"2024-05-31 01:57:56","CMDR Scott Fleming","2024-05-31 01:57:56",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
13,"Hypou Aip UA-C c14-0 ABCD 1 c",Planet,"Rocky body",,828.10,,,0.1,No,"2024-05-31 01:58:09","CMDR Scott Fleming","2024-05-31 01:58:09",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
14,"Hypou Aip UA-C c14-0 ABCD 1 d",Planet,"Rocky body",1,972.86,"Iron:20.84,Sulphur:20.38,Carbon:17.14,Nickel:15.76,Phosphorus:10.97,Germanium:6,Selenium:3.19,Arsenic:2.68,Molybdenum:1.36,Tungsten:1.14,Polonium:0.54",,0.11,No,"2024-05-31 01:58:35","CMDR Scott Fleming","2024-05-31 01:58:35",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
15,"Hypou Aip UA-C c14-0 ABCD 1 e",Planet,"Rocky body",1,1017.57,"Iron:19.23,Sulphur:18.81,Carbon:15.81,Nickel:14.54,Phosphorus:10.12,Chromium:8.65,Zinc:5.23,Vanadium:4.72,Tin:1.15,Tungsten:1.06,Technetium:0.69",,0.12,No,"2024-05-31 01:58:23","CMDR Scott Fleming","2024-05-31 01:58:23",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
16,"Hypou Aip UA-C c14-0 ABCD 1 f",Planet,"Rocky body",1,926.40,"Iron:19.61,Sulphur:19.18,Carbon:16.13,Nickel:14.83,Phosphorus:10.32,Chromium:8.82,Zinc:5.33,Zirconium:2.28,Cadmium:1.52,Molybdenum:1.28,Technetium:0.7",,0.11,No,"2024-05-31 01:58:30","CMDR Scott Fleming","2024-05-31 01:58:30",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
17,"Hypou Aip UA-C c14-0 ABCD 1 g",Planet,"Rocky body",1,1047.57,"Iron:19.66,Sulphur:19.23,Carbon:16.17,Nickel:14.87,Phosphorus:10.35,Germanium:5.66,Zinc:5.34,Vanadium:4.83,Cadmium:1.53,Antimony:1.2,Tin:1.18",,0.12,No,"2024-05-31 01:58:41","CMDR Scott Fleming","2024-05-31 01:58:41",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
18,"Hypou Aip UA-C c14-0 ABCD 1 h",Planet,"Rocky body",1,1097.09,"Iron:19.57,Sulphur:19.14,Carbon:16.09,Nickel:14.8,Phosphorus:10.3,Manganese:8.08,Germanium:5.64,Arsenic:2.52,Cadmium:1.52,Tin:1.17,Yttrium:1.17",,0.13,No,"2024-05-31 01:58:15","CMDR Scott Fleming","2024-05-31 01:58:15",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
19,"Hypou Aip UA-C c14-0 ABCD 1 i",Planet,"Rocky body",1,941.76,"Iron:19.27,Sulphur:18.85,Carbon:15.85,Nickel:14.58,Phosphorus:10.15,Manganese:7.96,Zinc:5.24,Vanadium:4.73,Tin:1.15,Yttrium:1.15,Tungsten:1.06",,0.11,No,"2024-05-31 01:58:47","CMDR Scott Fleming","2024-05-31 01:58:47",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
20,"Hypou Aip UA-C c14-0 ABCD 1 j",Planet,"Rocky body",1,969.92,"Iron:18.88,Sulphur:18.47,Carbon:15.53,Nickel:14.28,Phosphorus:9.94,Chromium:8.49,Manganese:7.8,Selenium:2.89,Cadmium:1.47,Tin:1.13,Yttrium:1.13",,0.11,No,"2024-05-31 01:58:55","CMDR Scott Fleming","2024-05-31 01:58:55",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
22,"Hypou Aip UA-C c14-0 ABCD 2",Planet,"Class IV gas giant",,68240.86,,"Rocky, Rocky",27.59,No,"2024-05-31 02:01:42","CMDR Scott Fleming","2024-05-31 02:01:42",https://www.edsm.net/en/system/bodies/id/85468772/name/Hypou+Aip+UA-C+c14-0
