bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
1,"Hypou Aip UZ-O d6-2 A",Star,"K (Yellow-Orange) Star",0,0,,,0,0,"2024-05-31 11:14:04","CMDR Scott Fleming","2024-05-31 11:14:04",https://www.edsm.net/en/system/bodies/id/85471339/name/Hypou+Aip+UZ-O+d6-2
12,"Hypou Aip UZ-O d6-2 A 1",Planet,"High metal content world",,9348.38,,,2.1,No,"2024-05-31 11:14:05","CMDR Scott Fleming","2024-05-31 11:14:05",https://www.edsm.net/en/system/bodies/id/85471339/name/Hypou+Aip+UZ-O+d6-2
13,"Hypou Aip UZ-O d6-2 A 2",Planet,"High metal content world",1,10016.03,"Iron:21.1,Nickel:15.96,Sulphur:14.84,Carbon:12.48,Chromium:9.49,Manganese:8.72,Phosphorus:7.99,Zinc:5.74,Molybdenum:1.38,Tin:1.37,Antimony:0.93",,2.39,No,"2024-05-31 11:14:04","CMDR Scott Fleming","2024-05-31 11:14:04",https://www.edsm.net/en/system/bodies/id/85471339/name/Hypou+Aip+UZ-O+d6-2
14,"Hypou Aip UZ-O d6-2 A 3",Planet,"High metal content world",1,8199.13,"Iron:21.96,Nickel:16.61,Sulphur:15.54,Carbon:13.07,Chromium:9.88,Phosphorus:8.37,Zinc:5.97,Germanium:4.6,Molybdenum:1.43,Ruthenium:1.36,Tungsten:1.21",,1.7,No,"2024-05-31 11:23:16",,,https://www.edsm.net/en/system/bodies/id/85471339/name/Hypou+Aip+UZ-O+d6-2
27,"Hypou Aip UZ-O d6-2 A 4",Planet,"Gas giant with water-based life",,74910.79,,,3.53,No,"2024-05-31 11:22:21","CMDR Scott Fleming","2024-05-31 11:22:21",https://www.edsm.net/en/system/bodies/id/85471339/name/Hypou+Aip+UZ-O+d6-2
28,"Hypou Aip UZ-O d6-2 A 4 a",Planet,"Icy body",1,1363.47,"Sulphur:23.42,Carbon:19.69,Iron:14.41,Phosphorus:12.61,Nickel:10.9,Chromium:6.48,Manganese:5.95,Zinc:3.92,Molybdenum:0.94,Ruthenium:0.89,Tungsten:0.79",,0.1,No,"2024-05-31 11:22:26","CMDR Scott Fleming","2024-05-31 11:22:26",https://www.edsm.net/en/system/bodies/id/85471339/name/Hypou+Aip+UZ-O+d6-2
29,"Hypou Aip UZ-O d6-2 A 4 b",Planet,"Icy body",1,1404.67,"Sulphur:24.24,Carbon:20.38,Iron:14.74,Phosphorus:13.05,Nickel:11.15,Manganese:6.09,Zinc:4.01,Vanadium:3.62,Niobium:1.01,Ruthenium:0.91,Tungsten:0.81",,0.1,No,"2024-05-31 11:22:37","CMDR Scott Fleming","2024-05-31 11:22:37",https://www.edsm.net/en/system/bodies/id/85471339/name/Hypou+Aip+UZ-O+d6-2
30,"Hypou Aip UZ-O d6-2 A 4 c",Planet,"Icy body",1,1565.50,"Sulphur:24.88,Carbon:20.92,Iron:13.42,Phosphorus:13.39,Nickel:10.15,Chromium:6.03,Manganese:5.54,Zinc:3.65,Tin:0.8,Tungsten:0.74,Technetium:0.48",,0.1,No,"2024-05-31 11:22:52","CMDR Scott Fleming","2024-05-31 11:22:52",https://www.edsm.net/en/system/bodies/id/85471339/name/Hypou+Aip+UZ-O+d6-2
31,"Hypou Aip UZ-O d6-2 A 4 c a",Planet,"Icy body",1,699.45,"Sulphur:28.01,Carbon:23.55,Phosphorus:15.08,Iron:10.25,Nickel:7.75,Chromium:4.61,Selenium:4.38,Manganese:4.23,Tellurium:0.88,Cadmium:0.8,Mercury:0.45",,0.04,No,"2024-05-31 11:22:58","CMDR Scott Fleming","2024-05-31 11:22:58",https://www.edsm.net/en/system/bodies/id/85471339/name/Hypou+Aip+UZ-O+d6-2
32,"Hypou Aip UZ-O d6-2 A 4 d",Planet,"Icy body",1,1862.42,"Sulphur:24.74,Carbon:20.81,Phosphorus:13.32,Iron:13.29,Nickel:10.05,Chromium:5.98,Manganese:5.49,Selenium:3.87,Tellurium:0.99,Molybdenum:0.87,Mercury:0.58",,0.12,No,"2024-05-31 11:22:44","CMDR Scott Fleming","2024-05-31 11:22:44",https://www.edsm.net/en/system/bodies/id/85471339/name/Hypou+Aip+UZ-O+d6-2
