body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Hypou Aip YG-A c15-1",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,"CMDR Scott Fleming","2024-05-30 14:50:21",https://www.edsm.net/en/system/bodies/id/24355467/name/Hypou+Aip+YG-A+c15-1
1,"Hypou Aip YG-A c15-1 1",Planet,"High metal content world","542,475",,"4,648",,,0.78,Yes,"CMDR Scott Fleming","2024-05-30 14:53:23","https://www.edsm.net/en/system/bodies/id/24355467/name/Hypou+Aip+YG-A+c15-1/details/idB/491341954/nameB/Hypou Aip YG-A c15-1 1 1"
2,"Hypou Aip YG-A c15-1 1 a",Planet,"Rocky body",,1,"1,949","Nickel:16.05,Carbon:15.89,Arsenic:2.5",,0.25,No,"CMDR Scott Fleming","2024-05-30 14:53:14","https://www.edsm.net/en/system/bodies/id/24355467/name/Hypou+Aip+YG-A+c15-1/details/idB/491341941/nameB/Hypou Aip YG-A c15-1 1 a 2"
3,"Hypou Aip YG-A c15-1 2",Planet,"High metal content world",,,"3,342",,,0.52,No,"CMDR Scott Fleming","2024-05-30 14:53:53","https://www.edsm.net/en/system/bodies/id/24355467/name/Hypou+Aip+YG-A+c15-1/details/idB/491341992/nameB/Hypou Aip YG-A c15-1 2 3"
4,"Hypou Aip YG-A c15-1 3",Planet,"High metal content world",,,"3,676",,,0.59,No,"CMDR Scott Fleming","2024-05-30 14:52:56","https://www.edsm.net/en/system/bodies/id/24355467/name/Hypou+Aip+YG-A+c15-1/details/idB/491341931/nameB/Hypou Aip YG-A c15-1 3 4"
5,"Hypou Aip YG-A c15-1 3 a",Planet,"Rocky body",,1,"1,740","Nickel:14.96,Carbon:14.8,Arsenic:2.33,Cadmium:1.54,Niobium:1.35",,0.22,No,"CMDR Scott Fleming","2024-05-30 14:53:03","https://www.edsm.net/en/system/bodies/id/24355467/name/Hypou+Aip+YG-A+c15-1/details/idB/491341934/nameB/Hypou Aip YG-A c15-1 3 a 5"
6,"Hypou Aip YG-A c15-1 4",Planet,"High metal content world",,1,"3,024","Nickel:16.68,Carbon:13.09,Vanadium:5.42,Cadmium:1.71,Tungsten:1.21",,0.47,No,"CMDR Scott Fleming","2024-05-30 14:52:23","https://www.edsm.net/en/system/bodies/id/24355467/name/Hypou+Aip+YG-A+c15-1/details/idB/491341902/nameB/Hypou Aip YG-A c15-1 4 6"
7,"Hypou Aip YG-A c15-1 5",Planet,"Icy body",,,"8,091",,,0.74,No,"CMDR Scott Fleming","2024-05-30 14:53:37","https://www.edsm.net/en/system/bodies/id/24355467/name/Hypou+Aip+YG-A+c15-1/details/idB/491341970/nameB/Hypou Aip YG-A c15-1 5 7"
8,"Hypou Aip YG-A c15-1 6",Planet,"Icy body",,,"7,219",,,0.61,No,"CMDR Scott Fleming","2024-05-30 14:53:43","https://www.edsm.net/en/system/bodies/id/24355467/name/Hypou+Aip+YG-A+c15-1/details/idB/491341981/nameB/Hypou Aip YG-A c15-1 6 8"
10,"Hypou Aip YG-A c15-1 7",Planet,"Icy body",,,"7,248",,,0.61,No,"CMDR Scott Fleming","2024-05-30 14:52:39","https://www.edsm.net/en/system/bodies/id/24355467/name/Hypou+Aip+YG-A+c15-1/details/idB/491341913/nameB/Hypou Aip YG-A c15-1 7 10"
