bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
1,"Hypou Aip YK-N d7-0 A",Star,"A (Blue-White) Star",0,0,,,0,0,"2024-05-26 09:24:42",Zalwig,"2024-01-07 10:00:12",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
5,"Hypou Aip YK-N d7-0 A 1",Planet,"High metal content world",1,2180.47,"Iron:21.98,Nickel:16.63,Sulphur:15.69,Carbon:13.19,Manganese:9.08,Phosphorus:8.44,Zinc:5.97,Vanadium:5.4,Tin:1.44,Tungsten:1.21,Antimony:0.98",,0.32,No,"2024-05-26 09:25:49",Zalwig,"2024-01-07 10:02:47",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
6,"Hypou Aip YK-N d7-0 A 2",Planet,"High metal content world",1,2348.21,"Iron:23.28,Nickel:17.61,Sulphur:16.61,Carbon:13.97,Chromium:10.47,Phosphorus:8.94,Zirconium:2.7,Arsenic:2.19,Molybdenum:1.52,Ruthenium:1.44,Tungsten:1.28",,0.35,No,"2024-05-26 09:25:48",Zalwig,"2024-01-07 10:02:34",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
7,"Hypou Aip YK-N d7-0 A 3",Planet,"High metal content world",1,2442.33,"Iron:22.54,Nickel:17.05,Sulphur:16.08,Carbon:13.52,Manganese:9.31,Phosphorus:8.66,Zinc:6.12,Zirconium:2.62,Molybdenum:1.47,Ruthenium:1.39,Tungsten:1.24",,0.37,No,"2024-05-26 09:25:41",Zalwig,"2024-01-07 10:02:41",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
8,"Hypou Aip YK-N d7-0 A 4",Planet,"High metal content world",1,3141.61,"Iron:22.88,Nickel:17.31,Sulphur:16.33,Carbon:13.73,Manganese:9.45,Phosphorus:8.79,Germanium:4.82,Selenium:2.56,Cadmium:1.78,Yttrium:1.37,Mercury:1",,0.49,No,"2024-05-26 09:26:03",Zalwig,"2024-01-07 10:01:08",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
9,"Hypou Aip YK-N d7-0 A 5",Planet,"High metal content world",1,2781.96,"Iron:20.88,Nickel:15.79,Sulphur:14.9,Carbon:12.53,Chromium:9.39,Manganese:8.62,Phosphorus:8.02,Zinc:5.67,Cadmium:1.62,Niobium:1.43,Tellurium:1.14",,0.42,Yes,"2024-05-26 09:25:35",Zalwig,"2024-01-07 10:02:54",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
10,"Hypou Aip YK-N d7-0 A 6",Planet,"High metal content world",1,3041.84,"Iron:21.96,Nickel:16.61,Sulphur:15.67,Carbon:13.18,Manganese:9.07,Phosphorus:8.44,Zinc:5.97,Vanadium:5.39,Cadmium:1.71,Tungsten:1.21,Technetium:0.79",,0.47,Yes,"2024-05-26 09:25:37",Zalwig,"2024-01-07 10:02:50",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
11,"Hypou Aip YK-N d7-0 A 7",Planet,"High metal content world",,4011.58,,,0.65,No,"2024-05-26 09:25:44",Zalwig,"2024-01-07 10:02:26",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
3,"Hypou Aip YK-N d7-0 B",Star,"M (Red dwarf) Star",0,0,,,0,0,"2024-05-26 09:24:43",Zalwig,"2024-01-07 10:00:14",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
12,"Hypou Aip YK-N d7-0 B 1",Planet,"Class I gas giant",,69908.24,,,3.36,No,"2024-05-26 09:25:56",Zalwig,"2024-01-07 10:00:57",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
4,"Hypou Aip YK-N d7-0 C",Star,"L (Brown dwarf) Star",0,0,,,0,0,"2024-05-26 09:24:43",Zalwig,"2024-01-07 10:00:14",https://www.edsm.net/en/system/bodies/id/83390159/name/Hypou+Aip+YK-N+d7-0
