bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
1,"Koli Discii A",Star,"M (Red dwarf) Star",0,0,,,0,0,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
3,"Koli Discii B",Star,"M (Red dwarf) Star",0,0,,,0,0,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
10,"Koli Discii B 1",Planet,"High metal content world",,4495.35,,,0.75,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
11,"Koli Discii B 2",Planet,"Water world",,3852.80,,,0.62,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
12,"Koli Discii B 3",Planet,"High metal content world",,3952.46,,,0.64,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
13,"Koli Discii B 4",Planet,"Icy body",,7689.17,,,0.77,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
14,"Koli Discii B 4 a",Planet,"Icy body",1,3328.92,"Sulphur:26.5,Carbon:22.28,Phosphorus:14.27,Iron:13.25,Nickel:10.02,Manganese:5.47,Selenium:4.15,Arsenic:1.56,Cadmium:1.03,Tellurium:0.9,Mercury:0.58",,0.21,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
4,"Koli Discii C",Star,"L (Brown dwarf) Star",0,0,,,0,0,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
24,"Koli Discii C 1",Planet,"High metal content world",1,1619.21,"Iron:22.62,Nickel:17.11,Sulphur:16.02,Carbon:13.47,Chromium:10.17,Phosphorus:8.63,Vanadium:5.55,Zirconium:2.63,Tin:1.46,Yttrium:1.35,Mercury:0.99",,0.24,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
25,"Koli Discii C 2",Planet,"High metal content world",1,1689.60,"Iron:21.17,Nickel:16.01,Sulphur:15,Carbon:12.61,Chromium:9.52,Manganese:8.74,Phosphorus:8.07,Vanadium:5.2,Niobium:1.45,Ruthenium:1.31,Mercury:0.92",,0.25,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
26,"Koli Discii C 3",Planet,"Icy body",,3593.12,,,0.31,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
27,"Koli Discii C 4",Planet,"Icy body",1,3422.97,"Sulphur:22.81,Carbon:19.18,Iron:18.13,Nickel:13.72,Phosphorus:12.28,Zinc:4.93,Germanium:3.78,Zirconium:2.11,Molybdenum:1.18,Yttrium:1.08,Mercury:0.79",,0.29,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
28,"Koli Discii C 5",Planet,"Icy body",,3985.43,,,0.3,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
29,"Koli Discii C 6",Planet,"Icy body",,5040.64,,,0.39,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
30,"Koli Discii C 6 a",Planet,"Icy body",1,2011.49,"Sulphur:26.94,Carbon:22.65,Phosphorus:14.5,Iron:11.76,Nickel:8.89,Chromium:5.29,Manganese:4.86,Vanadium:2.89,Niobium:0.8,Molybdenum:0.77,Antimony:0.65",,0.12,,"2024-07-07 00:33:16","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
31,"Koli Discii C 7",Planet,"Icy body",1,4016.81,"Sulphur:23.13,Carbon:19.45,Iron:16.02,Phosphorus:12.45,Nickel:12.12,Manganese:6.62,Vanadium:3.93,Selenium:3.62,Niobium:1.1,Tellurium:0.87,Mercury:0.7",,0.3,,"2024-06-28 05:46:40","Michael Xain","2018-05-27 06:46:20",https://www.edsm.net/en/system/bodies/id/19275/name/Koli+Discii
