body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"LHS 191",Star,"M (Red dwarf) Star",,0,0,,,0,0,Honorless,"2018-01-15 07:51:43",https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191
19,"LHS 191 1",Planet,"Class I gas giant",,,70006.03,,"2 rings<br/>",2.02,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269410/nameB/LHS 191 1 19"
22,"LHS 191 1 a",Planet,"Icy body",,1,1151.06,"Sulphur:27.18,Carbon:22.86,Phosphorus:14.63,Iron:12.03,Nickel:9.1,Manganese:4.97,Selenium:4.25,Vanadium:2.95,Molybdenum:0.79,Yttrium:0.72,Mercury:0.53",,0.07,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269404/nameB/LHS 191 1 a 22"
23,"LHS 191 1 b",Planet,"Icy body",,1,1027.60,"Sulphur:26.73,Carbon:22.48,Phosphorus:14.39,Iron:11.83,Nickel:8.95,Chromium:5.32,Manganese:4.88,Zinc:3.21,Tellurium:0.89,Niobium:0.81,Mercury:0.52",,0.06,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269388/nameB/LHS 191 1 b 23"
24,"LHS 191 1 c",Planet,"Icy body",,1,1225.83,"Sulphur:26.88,Carbon:22.6,Phosphorus:14.47,Iron:11.89,Nickel:9,Manganese:4.91,Selenium:4.21,Germanium:3.44,Cadmium:0.92,Tellurium:0.89,Molybdenum:0.78",,0.07,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269428/nameB/LHS 191 1 c 24"
25,"LHS 191 1 d",Planet,"Icy body",,1,1098.46,"Sulphur:26.45,Carbon:22.24,Phosphorus:14.24,Iron:11.7,Nickel:8.85,Chromium:5.26,Manganese:4.83,Selenium:4.14,Tellurium:0.88,Molybdenum:0.76,Tungsten:0.64",,0.07,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269431/nameB/LHS 191 1 d 25"
27,"LHS 191 1 e",Planet,"Icy body",,1,1027.72,"Sulphur:26.97,Carbon:22.68,Phosphorus:14.52,Iron:11.85,Nickel:8.96,Manganese:4.89,Selenium:4.22,Germanium:3.44,Tellurium:0.89,Niobium:0.81,Molybdenum:0.77",,0.06,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269435/nameB/LHS 191 1 e 27"
28,"LHS 191 1 f",Planet,"Icy body",,1,1287.30,"Sulphur:27.32,Carbon:22.97,Phosphorus:14.71,Iron:12.13,Nickel:9.18,Chromium:5.46,Selenium:4.28,Arsenic:1.57,Cadmium:0.94,Tellurium:0.91,Mercury:0.53",,0.08,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269387/nameB/LHS 191 1 f 28"
38,"LHS 191 2",Planet,"Class I gas giant",,,37782.33,,,0.51,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269401/nameB/LHS 191 2 38"
39,"LHS 191 2 a",Planet,"Icy body",,1,644.94,"Sulphur:27.4,Carbon:23.04,Phosphorus:14.75,Iron:12.13,Nickel:9.17,Manganese:5.01,Germanium:3.51,Vanadium:2.98,Ruthenium:0.75,Tin:0.72,Mercury:0.53",,0.04,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269397/nameB/LHS 191 2 a 39"
40,"LHS 191 2 b",Planet,"Icy body",,1,647.46,"Sulphur:27.27,Carbon:22.93,Phosphorus:14.68,Iron:12.24,Nickel:9.25,Manganese:5.05,Zinc:3.33,Vanadium:3,Niobium:0.84,Antimony:0.75,Tungsten:0.67",,0.04,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269396/nameB/LHS 191 2 b 40"
41,"LHS 191 2 c",Planet,"Icy body",,1,553.00,"Sulphur:26.84,Carbon:22.57,Phosphorus:14.45,Iron:11.87,Nickel:8.98,Chromium:5.34,Selenium:4.2,Zinc:3.23,Cadmium:0.92,Tellurium:0.89,Tin:0.71",,0.03,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269399/nameB/LHS 191 2 c 41"
42,"LHS 191 2 d",Planet,"Icy body",,1,524.88,"Sulphur:27.64,Carbon:23.24,Phosphorus:14.88,Iron:12.23,Nickel:9.25,Manganese:5.05,Selenium:4.33,Zirconium:1.42,Niobium:0.84,Molybdenum:0.8,Polonium:0.32",,0.03,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269444/nameB/LHS 191 2 d 42"
43,"LHS 191 2 e",Planet,"Icy body",,1,481.52,"Sulphur:26.49,Carbon:22.27,Phosphorus:14.26,Iron:11.72,Nickel:8.86,Chromium:5.27,Manganese:4.84,Selenium:4.15,Niobium:0.8,Yttrium:0.7,Tungsten:0.64",,0.03,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269415/nameB/LHS 191 2 e 43"
45,"LHS 191 3",Planet,"Class I gas giant",,,41416.38,,,0.77,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269403/nameB/LHS 191 3 45"
47,"LHS 191 3 a",Planet,"Icy body",,1,717.04,"Sulphur:27.48,Carbon:23.1,Phosphorus:14.79,Iron:12.16,Nickel:9.2,Selenium:4.3,Zinc:3.3,Vanadium:2.99,Cadmium:0.94,Tellurium:0.91,Niobium:0.83",,0.04,,Honorless,"2018-01-15 07:51:43","https://www.edsm.net/en/system/bodies/id/20107/name/LHS+191/details/idB/8269390/nameB/LHS 191 3 a 47"
