body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"NGC 1027 Sector LR-W c1-0",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,Nevendaar,"2019-08-17 21:31:45",https://www.edsm.net/en/system/bodies/id/20003216/name/NGC+1027+Sector+LR-W+c1-0
7,"NGC 1027 Sector LR-W c1-0 1",Planet,"Metal-rich body",,,4809.60,,,1.71,No,Nevendaar,"2019-08-17 21:31:45","https://www.edsm.net/en/system/bodies/id/20003216/name/NGC+1027+Sector+LR-W+c1-0/details/idB/131085089/nameB/NGC 1027 Sector LR-W c1-0 1 7"
9,"NGC 1027 Sector LR-W c1-0 2",Planet,"High metal content world",,1,8836.49,"Iron:21.66,Nickel:16.38,Sulphur:15.52,Carbon:13.05,Chromium:9.74,Manganese:8.95,Phosphorus:8.36,Zirconium:2.52,Cadmium:1.68,Tellurium:1.18,Mercury:0.95",,1.9,No,Nevendaar,"2019-08-17 21:31:45","https://www.edsm.net/en/system/bodies/id/20003216/name/NGC+1027+Sector+LR-W+c1-0/details/idB/131085088/nameB/NGC 1027 Sector LR-W c1-0 2 9"
10,"NGC 1027 Sector LR-W c1-0 3",Planet,"High metal content world",,1,7866.62,"Iron:21.88,Nickel:16.55,Sulphur:15.68,Carbon:13.19,Manganese:9.04,Phosphorus:8.44,Zinc:5.95,Vanadium:5.37,Niobium:1.5,Tungsten:1.2,Tellurium:1.2",,1.58,No,Nevendaar,"2019-08-17 21:31:45","https://www.edsm.net/en/system/bodies/id/20003216/name/NGC+1027+Sector+LR-W+c1-0/details/idB/131085086/nameB/NGC 1027 Sector LR-W c1-0 3 10"
16,"NGC 1027 Sector LR-W c1-0 4",Planet,"Gas giant with water-based life",,,76692.59,,,5.18,No,Kitsune75,"2023-02-15 15:43:40","https://www.edsm.net/en/system/bodies/id/20003216/name/NGC+1027+Sector+LR-W+c1-0/details/idB/431274948/nameB/NGC 1027 Sector LR-W c1-0 4 16"
17,"NGC 1027 Sector LR-W c1-0 4 a",Planet,"Icy body",,1,1265.68,"Sulphur:27.15,Carbon:22.83,Phosphorus:14.62,Iron:12.07,Nickel:9.13,Chromium:5.43,Germanium:3.5,Zinc:3.28,Antimony:0.74,Tin:0.72,Mercury:0.53",,0.08,No,Kitsune75,"2023-02-15 15:44:41","https://www.edsm.net/en/system/bodies/id/20003216/name/NGC+1027+Sector+LR-W+c1-0/details/idB/431275042/nameB/NGC 1027 Sector LR-W c1-0 4 a 17"
18,"NGC 1027 Sector LR-W c1-0 4 b",Planet,"Icy body",,1,1290.92,"Sulphur:28.08,Carbon:23.61,Phosphorus:15.12,Iron:12.48,Nickel:9.44,Selenium:4.39,Vanadium:3.07,Arsenic:1.62,Antimony:0.77,Tin:0.75,Tungsten:0.69",,0.08,No,Kitsune75,"2023-02-15 15:44:37","https://www.edsm.net/en/system/bodies/id/20003216/name/NGC+1027+Sector+LR-W+c1-0/details/idB/431275032/nameB/NGC 1027 Sector LR-W c1-0 4 b 18"
20,"NGC 1027 Sector LR-W c1-0 5",Planet,"Class I gas giant",,,59223.54,,1:Icy,1.58,No,Kitsune75,"2023-02-15 15:44:52","https://www.edsm.net/en/system/bodies/id/20003216/name/NGC+1027+Sector+LR-W+c1-0/details/idB/431275059/nameB/NGC 1027 Sector LR-W c1-0 5 20"
22,"NGC 1027 Sector LR-W c1-0 5 a",Planet,"Icy body",,1,1131.65,"Sulphur:27.24,Carbon:22.91,Phosphorus:14.66,Iron:12.13,Nickel:9.17,Chromium:5.45,Germanium:3.52,Vanadium:2.98,Ruthenium:0.75,Tungsten:0.67,Mercury:0.53",,0.07,No,Kitsune75,"2023-02-15 15:45:26","https://www.edsm.net/en/system/bodies/id/20003216/name/NGC+1027+Sector+LR-W+c1-0/details/idB/431275113/nameB/NGC 1027 Sector LR-W c1-0 5 a 22"
23,"NGC 1027 Sector LR-W c1-0 5 b",Planet,"Icy body",,1,1703.01,"Sulphur:27.43,Carbon:23.07,Phosphorus:14.77,Iron:12.21,Nickel:9.24,Selenium:4.29,Germanium:3.54,Zinc:3.32,Niobium:0.83,Ruthenium:0.75,Mercury:0.53",,0.1,No,Kitsune75,"2023-02-15 15:45:29","https://www.edsm.net/en/system/bodies/id/20003216/name/NGC+1027+Sector+LR-W+c1-0/details/idB/431275120/nameB/NGC 1027 Sector LR-W c1-0 5 b 23"
