bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
2,"NGC 2482 Sector XA-E b12-0 A",Star,"M (Red dwarf) Star",0,0,,,0,0,"2024-07-11 13:32:16","CMDR Scott Fleming","2024-07-11 13:32:16",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
10,"NGC 2482 Sector XA-E b12-0 A 1",Planet,"High metal content world",,3906.99,,,0.55,No,"2024-07-11 14:19:22","CMDR Scott Fleming","2024-07-11 14:19:22",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
11,"NGC 2482 Sector XA-E b12-0 A 2",Planet,"High metal content world",,3485.67,,,0.48,No,"2024-07-11 14:19:04","CMDR Scott Fleming","2024-07-11 14:19:04",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
12,"NGC 2482 Sector XA-E b12-0 A 3",Planet,"Icy body",,5574.26,,,0.44,No,"2024-07-11 14:19:11","CMDR Scott Fleming","2024-07-11 14:19:11",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
13,"NGC 2482 Sector XA-E b12-0 A 4",Planet,"Icy body",,9989.31,,,0.95,No,"2024-07-11 14:18:51","CMDR Scott Fleming","2024-07-11 14:18:51",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
14,"NGC 2482 Sector XA-E b12-0 A 5",Planet,"Icy body",,9031.98,,,0.83,No,"2024-07-11 14:16:01","CMDR Scott Fleming","2024-07-11 14:16:01",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
15,"NGC 2482 Sector XA-E b12-0 A 5 a",Planet,"Icy body",1,3423.24,"Sulphur:27.58,Carbon:23.19,Phosphorus:14.85,Iron:11.96,Nickel:9.05,Manganese:4.94,Zinc:3.25,Vanadium:2.94,Molybdenum:0.78,Tin:0.74,Yttrium:0.71",,0.21,No,"2024-07-11 14:16:11","CMDR Scott Fleming","2024-07-11 14:16:11",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
16,"NGC 2482 Sector XA-E b12-0 A 6",Planet,"Icy body",1,7023.74,"Sulphur:23.24,Carbon:19.54,Iron:15.99,Phosphorus:12.51,Nickel:12.09,Chromium:7.19,Zinc:4.35,Zirconium:1.86,Cadmium:1.24,Tin:1.04,Yttrium:0.96",,0.59,No,"2024-07-11 14:18:41","CMDR Scott Fleming","2024-07-11 14:18:41",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
3,"NGC 2482 Sector XA-E b12-0 B",Star,"L (Brown dwarf) Star",0,0,,,0,0,"2024-07-11 14:15:50","CMDR Scott Fleming","2024-07-11 14:15:50",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
17,"NGC 2482 Sector XA-E b12-0 B 1",Planet,"Rocky Ice world",1,3902.80,"Sulphur:21.23,Iron:18.32,Carbon:17.85,Nickel:13.85,Phosphorus:11.43,Chromium:8.24,Germanium:3.86,Zirconium:2.13,Molybdenum:1.2,Yttrium:1.09,Mercury:0.8",,0.37,No,"2024-07-11 14:17:26","CMDR Scott Fleming","2024-07-11 14:17:26",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
18,"NGC 2482 Sector XA-E b12-0 B 2",Planet,"Rocky Ice world",,3396.01,,,0.32,No,"2024-07-11 14:17:05","CMDR Scott Fleming","2024-07-11 14:17:05",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
19,"NGC 2482 Sector XA-E b12-0 B 3",Planet,"Icy body",1,3412.89,"Sulphur:22.38,Carbon:18.82,Iron:15.4,Phosphorus:12.05,Nickel:11.65,Chromium:6.93,Manganese:6.36,Vanadium:3.78,Cadmium:1.2,Tin:1,Polonium:0.43",,0.25,No,"2024-07-11 14:17:35","CMDR Scott Fleming","2024-07-11 14:17:35",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
20,"NGC 2482 Sector XA-E b12-0 B 4",Planet,"Icy body",1,4148.95,"Sulphur:22.35,Carbon:18.79,Iron:15.53,Phosphorus:12.03,Nickel:11.75,Chromium:6.99,Manganese:6.41,Selenium:3.5,Cadmium:1.21,Molybdenum:1.01,Polonium:0.44",,0.31,No,"2024-07-11 14:16:52","CMDR Scott Fleming","2024-07-11 14:16:52",https://www.edsm.net/en/system/bodies/id/19163742/name/NGC+2482+Sector+XA-E+b12-0
