bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
1,"NGC 2546 Sector AZ-P b9-0 A",Star,"M (Red dwarf) Star",0,0,,,0,0,"2024-07-11 11:40:41","CMDR Scott Fleming","2024-07-11 11:40:41",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
5,"NGC 2546 Sector AZ-P b9-0 A 1",Planet,"High metal content world",1,2009.01,"Iron:20.44,Sulphur:15.73,Nickel:15.46,Carbon:13.23,Chromium:9.19,Phosphorus:8.47,Manganese:8.44,Zinc:5.55,Cadmium:1.59,Tin:1.33,Polonium:0.57",,0.28,No,"2024-07-11 11:43:52","CMDR Scott Fleming","2024-07-11 11:43:52",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
7,"NGC 2546 Sector AZ-P b9-0 A 2",Planet,"Icy body",1,2897.70,"Sulphur:22.99,Carbon:19.33,Iron:16.28,Phosphorus:12.37,Nickel:12.32,Chromium:7.32,Selenium:3.6,Germanium:3.38,Tin:1.06,Tungsten:0.89,Polonium:0.46",,0.21,No,"2024-07-11 11:43:29","CMDR Scott Fleming","2024-07-11 11:43:29",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
8,"NGC 2546 Sector AZ-P b9-0 A 3",Planet,"Icy body",1,2273.50,"Sulphur:22.59,Carbon:19,Iron:15.31,Phosphorus:12.16,Nickel:11.58,Chromium:6.88,Manganese:6.32,Germanium:3.22,Cadmium:1.19,Yttrium:0.91,Tungsten:0.84",,0.16,No,"2024-07-11 11:43:23","CMDR Scott Fleming","2024-07-11 11:43:23",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
10,"NGC 2546 Sector AZ-P b9-0 A 4",Planet,"Icy body",1,3243.66,"Sulphur:22.22,Carbon:18.69,Iron:15.51,Phosphorus:11.96,Nickel:11.73,Chromium:6.97,Manganese:6.4,Vanadium:3.81,Molybdenum:1.01,Tin:1.01,Antimony:0.68",,0.24,No,"2024-07-11 11:43:05","CMDR Scott Fleming","2024-07-11 11:43:05",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
11,"NGC 2546 Sector AZ-P b9-0 A 5",Planet,"Icy body",1,2736.30,"Sulphur:22.83,Carbon:19.2,Iron:15.93,Phosphorus:12.29,Nickel:12.05,Chromium:7.16,Zinc:4.33,Selenium:3.57,Molybdenum:1.04,Tin:1.03,Technetium:0.57",,0.2,No,"2024-07-11 11:43:11","CMDR Scott Fleming","2024-07-11 11:43:11",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
12,"NGC 2546 Sector AZ-P b9-0 A 6",Planet,"Icy body",1,4110.65,"Sulphur:23.4,Carbon:19.67,Iron:16.33,Phosphorus:12.6,Nickel:12.35,Manganese:6.74,Selenium:3.66,Zirconium:1.9,Cadmium:1.27,Niobium:1.12,Yttrium:0.98",,0.31,No,"2024-07-11 11:43:38","CMDR Scott Fleming","2024-07-11 11:43:38",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
3,"NGC 2546 Sector AZ-P b9-0 B",Star,"M (Red dwarf) Star",0,0,,,0,0,"2024-07-11 11:42:15","CMDR Scott Fleming","2024-07-11 11:42:15",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
19,"NGC 2546 Sector AZ-P b9-0 B 1",Planet,"High metal content world",1,737.75,"Iron:22.46,Nickel:16.98,Sulphur:15.82,Carbon:13.3,Chromium:10.1,Phosphorus:8.52,Zinc:6.1,Zirconium:2.61,Cadmium:1.74,Ruthenium:1.39,Mercury:0.98",,0.1,No,"2024-07-11 11:44:19","CMDR Scott Fleming","2024-07-11 11:44:19",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
20,"NGC 2546 Sector AZ-P b9-0 B 2",Planet,"High metal content world",1,654.90,"Iron:22.13,Nickel:16.74,Sulphur:15.59,Carbon:13.11,Manganese:9.14,Phosphorus:8.39,Zinc:6.01,Vanadium:5.43,Molybdenum:1.45,Tungsten:1.22,Technetium:0.79",,0.09,No,"2024-07-11 11:44:26","CMDR Scott Fleming","2024-07-11 11:44:26",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
21,"NGC 2546 Sector AZ-P b9-0 B 3",Planet,"High metal content world",1,1060.98,"Iron:21.09,Nickel:15.95,Sulphur:14.86,Carbon:12.5,Chromium:9.49,Manganese:8.71,Phosphorus:8,Zinc:5.73,Tin:1.37,Tungsten:1.16,Tellurium:1.14",,0.15,No,"2024-07-11 11:44:39","CMDR Scott Fleming","2024-07-11 11:44:39",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
22,"NGC 2546 Sector AZ-P b9-0 B 4",Planet,"High metal content world",1,834.58,"Iron:22.84,Nickel:17.27,Sulphur:16.09,Carbon:13.53,Manganese:9.43,Phosphorus:8.66,Vanadium:5.61,Zirconium:2.65,Niobium:1.56,Yttrium:1.36,Mercury:1",,0.12,No,"2024-07-11 11:44:44","CMDR Scott Fleming","2024-07-11 11:44:44",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
29,"NGC 2546 Sector AZ-P b9-0 BC 1",Planet,"Icy body",1,4004.60,"Sulphur:24.16,Carbon:20.32,Iron:16.86,Phosphorus:13.01,Nickel:12.75,Zinc:4.58,Germanium:3.51,Arsenic:1.57,Cadmium:1.31,Yttrium:1.01,Tungsten:0.93",,0.3,No,"2024-07-11 11:45:24","CMDR Scott Fleming","2024-07-11 11:45:24",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
30,"NGC 2546 Sector AZ-P b9-0 BC 2",Planet,"Icy body",1,3800.53,"Sulphur:24.7,Carbon:20.77,Iron:17.48,Phosphorus:13.3,Nickel:13.22,Vanadium:4.29,Zirconium:2.03,Arsenic:1.62,Molybdenum:1.14,Tungsten:0.96,Polonium:0.49",,0.29,No,"2024-07-11 11:46:51","CMDR Scott Fleming","2024-07-11 11:46:51",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
31,"NGC 2546 Sector AZ-P b9-0 BC 2 a",Planet,"Icy body",1,1567.21,"Sulphur:26.88,Carbon:22.61,Phosphorus:14.47,Iron:11.81,Nickel:8.93,Chromium:5.31,Manganese:4.88,Vanadium:2.9,Niobium:0.81,Tin:0.73,Antimony:0.66",,0.09,No,"2024-07-11 11:46:39","CMDR Scott Fleming","2024-07-11 11:46:39",https://www.edsm.net/en/system/bodies/id/50948119/name/NGC+2546+Sector+AZ-P+b9-0
