body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"NGC 2546 Sector XO-Z d31",Star,"G (White-Yellow) Star",,0,0,,,0,0,"The Limey","2024-02-22 18:32:03",https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31
1,"NGC 2546 Sector XO-Z d31 1",Planet,"High metal content world",,,4991.94,,,0.85,Yes,"The Limey","2024-02-22 18:32:37","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450506/nameB/NGC 2546 Sector XO-Z d31 1 1"
2,"NGC 2546 Sector XO-Z d31 1 a",Planet,"Rocky body",,1,1658.47,"Iron:21.24,Sulphur:18.99,Nickel:16.07,Carbon:15.97,Phosphorus:10.22,Zinc:5.77,Vanadium:5.22,Arsenic:2.52,Cadmium:1.65,Antimony:1.19,Tungsten:1.17",,0.21,No,"The Limey","2024-02-22 18:32:35","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450505/nameB/NGC 2546 Sector XO-Z d31 1 a 2"
4,"NGC 2546 Sector XO-Z d31 2",Planet,"Water world",,,4454.08,,,0.74,Yes,"The Limey","2024-02-22 18:33:22","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450509/nameB/NGC 2546 Sector XO-Z d31 2 4"
5,"NGC 2546 Sector XO-Z d31 3",Planet,"High metal content world",,,4287.63,,,0.7,Yes,"The Limey","2024-02-22 18:33:18","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450508/nameB/NGC 2546 Sector XO-Z d31 3 5"
6,"NGC 2546 Sector XO-Z d31 4",Planet,"High metal content world",,,3293.26,,,0.51,No,"The Limey","2024-02-22 18:32:30","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450504/nameB/NGC 2546 Sector XO-Z d31 4 6"
7,"NGC 2546 Sector XO-Z d31 5",Planet,"Water world","310,087",,4061.85,,,0.66,No,"The Limey","2024-02-22 18:32:14","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450500/nameB/NGC 2546 Sector XO-Z d31 5 7"
8,"NGC 2546 Sector XO-Z d31 5 a",Planet,"Rocky body",,1,1143.97,"Iron:20.61,Sulphur:18.42,Nickel:15.59,Carbon:15.49,Phosphorus:9.92,Zinc:5.6,Germanium:5.46,Vanadium:5.06,Molybdenum:1.35,Tin:1.28,Yttrium:1.23",,0.14,No,"The Limey","2024-02-22 18:32:18","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450501/nameB/NGC 2546 Sector XO-Z d31 5 a 8"
9,"NGC 2546 Sector XO-Z d31 6",Planet,"High metal content world",,,3326.74,,,0.52,No,"The Limey","2024-02-22 18:32:10","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450499/nameB/NGC 2546 Sector XO-Z d31 6 9"
10,"NGC 2546 Sector XO-Z d31 7",Planet,"Rocky Ice world",,,6548.92,,,0.85,No,"The Limey","2024-02-22 18:32:43","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450507/nameB/NGC 2546 Sector XO-Z d31 7 10"
11,"NGC 2546 Sector XO-Z d31 8",Planet,"Icy body",,,8061.75,,,0.71,No,"The Limey","2024-02-22 18:32:24","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450502/nameB/NGC 2546 Sector XO-Z d31 8 11"
12,"NGC 2546 Sector XO-Z d31 8 a",Planet,"Icy body",,1,3137.03,"Sulphur:26.79,Carbon:22.53,Phosphorus:14.42,Iron:11.71,Nickel:8.86,Chromium:5.27,Manganese:4.84,Zinc:3.18,Cadmium:0.91,Niobium:0.8,Yttrium:0.7",,0.19,No,"The Limey","2024-02-22 18:32:27","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450503/nameB/NGC 2546 Sector XO-Z d31 8 a 12"
13,"NGC 2546 Sector XO-Z d31 9",Planet,"Icy body",,,7598.24,,,0.65,No,"The Limey","2024-02-22 18:33:27","https://www.edsm.net/en/system/bodies/id/41037180/name/NGC+2546+Sector+XO-Z+d31/details/idB/478450510/nameB/NGC 2546 Sector XO-Z d31 9 13"
