body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"NGC 3199 Sector DG-X c1-8 A",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,Baton,"2017-11-20 19:55:44","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/10241468/nameB/NGC 3199 Sector DG-X c1-8 A 1"
5,"NGC 3199 Sector DG-X c1-8 A 1",Planet,"Water world","915,441",,5282.64,,,0.92,Yes,Baton,"2017-11-20 19:57:05","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/10241525/nameB/NGC 3199 Sector DG-X c1-8 A 1 5"
6,"NGC 3199 Sector DG-X c1-8 A 1 a",Planet,"Rocky body",,1,1876.51,"Iron:20.44,Sulphur:18.12,Nickel:15.46,Carbon:15.24,Phosphorus:9.75,Chromium:9.19,Germanium:5.36,Arsenic:2.4,Cadmium:1.59,Molybdenum:1.33,Antimony:1.13",,0.24,,Baton,"2017-11-20 19:57:26","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/10241538/nameB/NGC 3199 Sector DG-X c1-8 A 1 a 6"
7,"NGC 3199 Sector DG-X c1-8 A 2",Planet,"High metal content world",,,4936.12,,,0.84,No,Ishmair,"2018-03-23 21:18:35","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/16366491/nameB/NGC 3199 Sector DG-X c1-8 A 2 7"
8,"NGC 3199 Sector DG-X c1-8 A 3",Planet,"High metal content world",,,5628.59,,,0.99,No,Ishmair,"2018-03-23 21:15:47","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/16366373/nameB/NGC 3199 Sector DG-X c1-8 A 3 8"
9,"NGC 3199 Sector DG-X c1-8 A 4",Planet,"Icy body",,,9420.87,,,0.92,No,Ishmair,"2018-03-23 21:19:51","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/16366559/nameB/NGC 3199 Sector DG-X c1-8 A 4 9"
10,"NGC 3199 Sector DG-X c1-8 A 4 a",Planet,"Icy body",,1,2717.11,"Sulphur:26.92,Carbon:22.64,Phosphorus:14.49,Iron:12.42,Nickel:9.39,Manganese:5.13,Zinc:3.38,Vanadium:3.05,Cadmium:0.96,Tellurium:0.84,Tin:0.77",,0.17,No,Ishmair,"2018-03-23 21:20:10","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/16366570/nameB/NGC 3199 Sector DG-X c1-8 A 4 a 10"
11,"NGC 3199 Sector DG-X c1-8 A 5",Planet,"Icy body",,,7555.04,,,0.68,No,Ishmair,"2018-03-23 21:14:29","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/16366327/nameB/NGC 3199 Sector DG-X c1-8 A 5 11"
3,"NGC 3199 Sector DG-X c1-8 B",Star,"M (Red dwarf) Star",,0,0,,,0,0,Baton,"2017-11-20 19:58:52","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/10241597/nameB/NGC 3199 Sector DG-X c1-8 B 3"
16,"NGC 3199 Sector DG-X c1-8 B 1",Planet,"High metal content world",,1,2120.23,"Iron:22.02,Nickel:16.65,Sulphur:15.47,Carbon:13.01,Chromium:9.9,Phosphorus:8.33,Zinc:5.98,Germanium:4.57,Niobium:1.5,Ruthenium:1.36,Tungsten:1.21",,0.32,No,Ishmair,"2018-03-23 21:00:42","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/16365729/nameB/NGC 3199 Sector DG-X c1-8 B 1 16"
18,"NGC 3199 Sector DG-X c1-8 B 2",Planet,"High metal content world",,1,1978.12,"Iron:22.04,Nickel:16.67,Sulphur:15.27,Carbon:12.84,Manganese:9.1,Phosphorus:8.22,Zinc:5.99,Vanadium:5.41,Cadmium:1.71,Tin:1.42,Yttrium:1.32",,0.3,,Baton,"2017-11-20 21:23:14","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/10245064/nameB/NGC 3199 Sector DG-X c1-8 B 2 18"
19,"NGC 3199 Sector DG-X c1-8 B 3",Planet,"High metal content world",,1,1473.96,"Iron:22.1,Nickel:16.71,Sulphur:15.52,Carbon:13.05,Chromium:9.94,Phosphorus:8.36,Zinc:6,Germanium:4.59,Niobium:1.51,Tin:1.43,Technetium:0.79",,0.21,,Baton,"2017-11-20 21:24:47","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/10245135/nameB/NGC 3199 Sector DG-X c1-8 B 3 19"
20,"NGC 3199 Sector DG-X c1-8 B 4",Planet,"High metal content world",,1,1514.26,"Iron:22.83,Nickel:17.27,Sulphur:16.04,Carbon:13.49,Manganese:9.43,Phosphorus:8.64,Zinc:6.21,Arsenic:2.12,Molybdenum:1.49,Tin:1.47,Antimony:1",,0.22,No,Ishmair,"2018-03-23 21:01:25","https://www.edsm.net/en/system/bodies/id/147893/name/NGC+3199+Sector+DG-X+c1-8/details/idB/16365763/nameB/NGC 3199 Sector DG-X c1-8 B 4 20"
