body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"NGC 3199 Sector SD-T c3-0 A",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,FalconFly,"2019-06-22 12:27:34","https://www.edsm.net/en/system/bodies/id/41370392/name/NGC+3199+Sector+SD-T+c3-0/details/idB/115634539/nameB/NGC 3199 Sector SD-T c3-0 A 1"
2,"NGC 3199 Sector SD-T c3-0 B",Star,"M (Red dwarf) Star",,0,0,,,0,0,FalconFly,"2019-06-22 12:27:35","https://www.edsm.net/en/system/bodies/id/41370392/name/NGC+3199+Sector+SD-T+c3-0/details/idB/115634544/nameB/NGC 3199 Sector SD-T c3-0 B 2"
16,"NGC 3199 Sector SD-T c3-0 B 1",Planet,"High metal content world",,1,1252.37,"Iron:22.25,Nickel:16.83,Sulphur:15.76,Carbon:13.26,Manganese:9.19,Phosphorus:8.49,Zinc:6.05,Germanium:4.69,Niobium:1.52,Antimony:0.99,Mercury:0.97",,0.18,No,FalconFly,"2019-06-22 12:28:19","https://www.edsm.net/en/system/bodies/id/41370392/name/NGC+3199+Sector+SD-T+c3-0/details/idB/115634722/nameB/NGC 3199 Sector SD-T c3-0 B 1 16"
17,"NGC 3199 Sector SD-T c3-0 B 2",Planet,"High metal content world",,1,1173.60,"Iron:21.41,Nickel:16.19,Sulphur:15.17,Carbon:12.75,Chromium:9.63,Manganese:8.84,Phosphorus:8.16,Germanium:4.51,Molybdenum:1.4,Tungsten:1.18,Technetium:0.77",,0.17,No,FalconFly,"2019-06-22 12:28:23","https://www.edsm.net/en/system/bodies/id/41370392/name/NGC+3199+Sector+SD-T+c3-0/details/idB/115634740/nameB/NGC 3199 Sector SD-T c3-0 B 2 17"
18,"NGC 3199 Sector SD-T c3-0 B 3",Planet,"High metal content world",,1,1294.92,"Iron:20.98,Nickel:15.87,Sulphur:14.86,Carbon:12.5,Chromium:9.44,Manganese:8.67,Phosphorus:8,Zinc:5.7,Molybdenum:1.37,Tin:1.36,Yttrium:1.25",,0.19,No,FalconFly,"2019-06-22 12:28:30","https://www.edsm.net/en/system/bodies/id/41370392/name/NGC+3199+Sector+SD-T+c3-0/details/idB/115634775/nameB/NGC 3199 Sector SD-T c3-0 B 3 18"
19,"NGC 3199 Sector SD-T c3-0 B 4",Planet,"High metal content world",,,1503.69,,,0.22,No,FalconFly,"2019-06-22 12:28:09","https://www.edsm.net/en/system/bodies/id/41370392/name/NGC+3199+Sector+SD-T+c3-0/details/idB/115634685/nameB/NGC 3199 Sector SD-T c3-0 B 4 19"
20,"NGC 3199 Sector SD-T c3-0 B 5",Planet,"High metal content world",,1,1581.41,"Iron:22.59,Nickel:17.08,Sulphur:16,Carbon:13.46,Chromium:10.16,Phosphorus:8.62,Zinc:6.14,Zirconium:2.62,Tin:1.46,Tungsten:1.24,Polonium:0.63",,0.23,No,FalconFly,"2019-06-22 12:28:03","https://www.edsm.net/en/system/bodies/id/41370392/name/NGC+3199+Sector+SD-T+c3-0/details/idB/115634653/nameB/NGC 3199 Sector SD-T c3-0 B 5 20"
21,"NGC 3199 Sector SD-T c3-0 B 6",Planet,"High metal content world",,1,1723.11,"Iron:22.5,Nickel:17.02,Sulphur:15.87,Carbon:13.34,Chromium:10.12,Phosphorus:8.54,Zinc:6.11,Arsenic:2.11,Niobium:1.54,Molybdenum:1.47,Ruthenium:1.39",,0.25,No,FalconFly,"2019-06-22 12:27:49","https://www.edsm.net/en/system/bodies/id/41370392/name/NGC+3199+Sector+SD-T+c3-0/details/idB/115634599/nameB/NGC 3199 Sector SD-T c3-0 B 6 21"
22,"NGC 3199 Sector SD-T c3-0 B 6 a",Planet,"Rocky body",,1,528.27,"Iron:19.88,Sulphur:17.76,Nickel:15.04,Carbon:14.94,Phosphorus:9.56,Chromium:8.94,Zinc:5.4,Vanadium:4.88,Tellurium:1.37,Niobium:1.36,Mercury:0.87",,0.06,No,FalconFly,"2019-06-22 12:27:57","https://www.edsm.net/en/system/bodies/id/41370392/name/NGC+3199+Sector+SD-T+c3-0/details/idB/115634633/nameB/NGC 3199 Sector SD-T c3-0 B 6 a 22"
23,"NGC 3199 Sector SD-T c3-0 B 7",Planet,"High metal content world",,1,1410.03,"Iron:21.92,Nickel:16.58,Sulphur:15.53,Carbon:13.06,Chromium:9.86,Phosphorus:8.36,Zinc:5.96,Vanadium:5.38,Tin:1.42,Antimony:0.98,Mercury:0.96",,0.2,No,FalconFly,"2019-06-22 12:27:42","https://www.edsm.net/en/system/bodies/id/41370392/name/NGC+3199+Sector+SD-T+c3-0/details/idB/115634567/nameB/NGC 3199 Sector SD-T c3-0 B 7 23"
