body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"Oochost YB-C d13-1 A",Star,"G (White-Yellow) Star",,0,0,,,0,0,dbgod,"2021-06-13 17:30:42","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/24107221/nameB/Oochost YB-C d13-1 A 1"
2,"Oochost YB-C d13-1 B",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,dbgod,"2021-06-13 17:30:43","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/229589631/nameB/Oochost YB-C d13-1 B 2"
3,"Oochost YB-C d13-1 B 1",Planet,"High metal content world",,1,2442.45,"Iron:24.32,Nickel:18.39,Sulphur:17.53,Carbon:14.74,Phosphorus:9.44,Zinc:6.61,Selenium:2.74,Arsenic:2.32,Ruthenium:1.5,Tungsten:1.34,Mercury:1.06",,0.37,No,dbgod,"2021-06-13 17:31:02","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/229589648/nameB/Oochost YB-C d13-1 B 1 3"
4,"Oochost YB-C d13-1 B 2",Planet,"High metal content world",,1,2345.09,"Iron:22.12,Nickel:16.73,Sulphur:15.95,Carbon:13.41,Manganese:9.13,Phosphorus:8.58,Vanadium:5.43,Germanium:4.71,Cadmium:1.72,Tin:1.43,Technetium:0.79",,0.35,No,dbgod,"2021-06-13 17:31:04","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/229589643/nameB/Oochost YB-C d13-1 B 2 4"
5,"Oochost YB-C d13-1 B 3",Planet,"High metal content world",,1,2403.85,"Iron:21.68,Nickel:16.4,Sulphur:15.6,Carbon:13.12,Chromium:9.75,Manganese:8.95,Phosphorus:8.4,Selenium:2.44,Niobium:1.48,Molybdenum:1.42,Technetium:0.78",,0.36,No,dbgod,"2021-06-13 17:31:31","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/229589675/nameB/Oochost YB-C d13-1 B 3 5"
6,"Oochost YB-C d13-1 B 3 a",Planet,"Rocky body",,1,572.29,"Iron:19.49,Sulphur:17.7,Carbon:14.89,Nickel:14.74,Phosphorus:9.53,Chromium:8.76,Manganese:8.05,Selenium:2.77,Cadmium:1.51,Tellurium:1.35,Tin:1.21",,0.07,No,dbgod,"2021-06-13 17:31:35","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/229589669/nameB/Oochost YB-C d13-1 B 3 a 6"
7,"Oochost YB-C d13-1 B 4",Planet,"Icy body",,,4608.12,,,0.37,No,dbgod,"2021-06-13 17:31:24","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/229589650/nameB/Oochost YB-C d13-1 B 4 7"
8,"Oochost YB-C d13-1 B 5",Planet,"Icy body",,,5080.37,,,0.39,No,dbgod,"2021-06-13 17:31:19","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/229589655/nameB/Oochost YB-C d13-1 B 5 8"
9,"Oochost YB-C d13-1 B 6",Planet,"Icy body",,1,4073.89,"Sulphur:23.39,Carbon:19.67,Iron:15.96,Phosphorus:12.59,Nickel:12.07,Chromium:7.18,Zinc:4.34,Zirconium:1.85,Molybdenum:1.04,Tin:1.04,Tellurium:0.88",,0.31,No,dbgod,"2021-06-13 17:31:41","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/229589663/nameB/Oochost YB-C d13-1 B 6 9"
10,"Oochost YB-C d13-1 B 6 a",Planet,"Icy body",,1,944.84,"Sulphur:26.72,Carbon:22.47,Phosphorus:14.39,Iron:11.47,Nickel:8.68,Chromium:5.16,Manganese:4.74,Selenium:4.18,Niobium:0.78,Tin:0.71,Yttrium:0.69",,0.05,No,dbgod,"2021-06-13 17:31:45","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/229589657/nameB/Oochost YB-C d13-1 B 6 a 10"
11,"Oochost YB-C d13-1 B 7",Planet,"Icy body",,1,3527.10,"Sulphur:24.29,Carbon:20.43,Iron:16.53,Phosphorus:13.08,Nickel:12.51,Manganese:6.83,Zirconium:1.92,Arsenic:1.57,Niobium:1.13,Yttrium:0.99,Mercury:0.72",,0.26,No,dbgod,"2021-06-13 17:31:09","https://www.edsm.net/en/system/bodies/id/28940615/name/Oochost+YB-C+d13-1/details/idB/229589639/nameB/Oochost YB-C d13-1 B 7 11"
