body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"Ouchont FW-E c11-1 A",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,"CMDR Scott Fleming","2024-08-07 01:53:26","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064597/nameB/Ouchont FW-E c11-1 A 1"
3,"Ouchont FW-E c11-1 A 1",Planet,"High metal content world",,1,3095.71,"Iron:22.42,Nickel:16.95,Sulphur:15.8,Carbon:13.28,Chromium:10.08,Phosphorus:8.5,Zinc:6.09,Selenium:2.47,Cadmium:1.74,Tin:1.45,Tellurium:1.21",,0.48,No,"CMDR Scott Fleming","2024-08-07 01:55:02","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064697/nameB/Ouchont FW-E c11-1 A 1 3"
4,"Ouchont FW-E c11-1 A 2",Planet,"High metal content world",,1,1964.01,"Iron:21,Nickel:15.88,Sulphur:14.8,Carbon:12.44,Chromium:9.44,Manganese:8.67,Phosphorus:7.97,Zinc:5.71,Niobium:1.44,Tin:1.36,Ruthenium:1.3",,0.29,No,"CMDR Scott Fleming","2024-08-07 01:54:03","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064634/nameB/Ouchont FW-E c11-1 A 2 4"
6,"Ouchont FW-E c11-1 A 4",Planet,"High metal content world",,1,2123.44,"Iron:21.31,Nickel:16.12,Sulphur:14.79,Carbon:12.43,Chromium:9.58,Manganese:8.8,Phosphorus:7.96,Vanadium:5.23,Niobium:1.46,Molybdenum:1.39,Antimony:0.92",,0.32,No,"CMDR Scott Fleming","2024-08-07 01:53:58","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064632/nameB/Ouchont FW-E c11-1 A 4 6"
7,"Ouchont FW-E c11-1 A 4 a",Planet,"Rocky body",,1,981.44,"Iron:21.95,Sulphur:19.52,Nickel:16.6,Carbon:16.41,Phosphorus:10.51,Germanium:5.76,Selenium:3.05,Arsenic:2.58,Tin:1.36,Yttrium:1.31,Mercury:0.96",,0.12,No,"CMDR Scott Fleming","2024-08-07 01:53:44","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064607/nameB/Ouchont FW-E c11-1 A 4 a 7"
8,"Ouchont FW-E c11-1 A 5",Planet,"High metal content world",,1,1669.88,"Iron:23.9,Nickel:18.08,Sulphur:16.85,Carbon:14.17,Phosphorus:9.07,Zinc:6.5,Germanium:4.97,Arsenic:2.22,Niobium:1.63,Molybdenum:1.56,Antimony:1.05",,0.24,No,"CMDR Scott Fleming","2024-08-07 01:55:07","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064700/nameB/Ouchont FW-E c11-1 A 5 8"
2,"Ouchont FW-E c11-1 B",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,"CMDR Scott Fleming","2024-08-07 01:53:26","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064599/nameB/Ouchont FW-E c11-1 B 2"
13,"Ouchont FW-E c11-1 B 1",Planet,"High metal content world",,1,664.08,"Iron:22.76,Nickel:17.21,Sulphur:16.04,Carbon:13.49,Chromium:10.24,Phosphorus:8.63,Germanium:4.73,Zirconium:2.64,Cadmium:1.77,Molybdenum:1.49,Antimony:1",,0.09,No,"CMDR Scott Fleming","2024-08-07 01:54:31","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064665/nameB/Ouchont FW-E c11-1 B 1 13"
14,"Ouchont FW-E c11-1 B 2",Planet,"High metal content world",,1,686.59,"Iron:22,Nickel:16.64,Sulphur:15.51,Carbon:13.04,Chromium:9.9,Phosphorus:8.35,Zinc:5.98,Germanium:4.58,Molybdenum:1.44,Ruthenium:1.36,Tungsten:1.21",,0.1,No,"CMDR Scott Fleming","2024-08-07 01:54:35","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064669/nameB/Ouchont FW-E c11-1 B 2 14"
15,"Ouchont FW-E c11-1 B 3",Planet,"High metal content world",,1,686.95,"Iron:21.96,Nickel:16.61,Sulphur:15.48,Carbon:13.01,Manganese:9.07,Phosphorus:8.33,Zinc:5.97,Vanadium:5.39,Cadmium:1.71,Niobium:1.5,Antimony:0.97",,0.1,No,"CMDR Scott Fleming","2024-08-07 01:54:53","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064686/nameB/Ouchont FW-E c11-1 B 3 15"
16,"Ouchont FW-E c11-1 B 4",Planet,"High metal content world",,1,1114.13,"Iron:22.84,Nickel:17.28,Sulphur:16.1,Carbon:13.54,Manganese:9.43,Phosphorus:8.67,Zinc:6.21,Selenium:2.52,Cadmium:1.77,Mercury:1,Polonium:0.64",,0.16,No,"CMDR Scott Fleming","2024-08-07 01:54:39","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064675/nameB/Ouchont FW-E c11-1 B 4 16"
17,"Ouchont FW-E c11-1 B 5",Planet,"High metal content world",,1,772.88,"Iron:22.79,Nickel:17.24,Sulphur:16.06,Carbon:13.5,Chromium:10.25,Phosphorus:8.65,Germanium:4.74,Selenium:2.51,Cadmium:1.77,Molybdenum:1.49,Antimony:1",,0.11,No,"CMDR Scott Fleming","2024-08-07 01:54:57","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064692/nameB/Ouchont FW-E c11-1 B 5 17"
18,"Ouchont FW-E c11-1 B 6",Planet,"High metal content world",,1,1168.91,"Iron:21.22,Nickel:16.05,Sulphur:14.79,Carbon:12.44,Chromium:9.54,Manganese:8.76,Phosphorus:7.96,Vanadium:5.21,Cadmium:1.65,Niobium:1.45,Antimony:0.92",,0.17,No,"CMDR Scott Fleming","2024-08-07 01:54:14","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064646/nameB/Ouchont FW-E c11-1 B 6 18"
19,"Ouchont FW-E c11-1 B 6 a",Planet,"Rocky body",,1,479.16,"Iron:19.79,Sulphur:17.6,Nickel:14.97,Carbon:14.8,Phosphorus:9.47,Chromium:8.9,Manganese:8.17,Arsenic:2.32,Cadmium:1.54,Tellurium:1.35,Tungsten:1.09",,0.06,No,"CMDR Scott Fleming","2024-08-07 01:54:21","https://www.edsm.net/en/system/bodies/id/86280584/name/Ouchont+FW-E+c11-1/details/idB/499064652/nameB/Ouchont FW-E c11-1 B 6 a 19"
