body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Ouchont KC-D c12-1",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,,,https://www.edsm.net/en/system/bodies/id/86278718/name/Ouchont+KC-D+c12-1
1,"Ouchont KC-D c12-1 1",Planet,"Earth-like world",,,4449.33,,,0.73,No,,,"https://www.edsm.net/en/system/bodies/id/86278718/name/Ouchont+KC-D+c12-1/details/idB/499064000/nameB/Ouchont KC-D c12-1 1 1"
2,"Ouchont KC-D c12-1 2",Planet,"High metal content world","522,536",,3866.23,,,0.62,Yes,"CMDR Scott Fleming","2024-08-07 01:47:03","https://www.edsm.net/en/system/bodies/id/86278718/name/Ouchont+KC-D+c12-1/details/idB/499063991/nameB/Ouchont KC-D c12-1 2 2"
3,"Ouchont KC-D c12-1 3",Planet,"High metal content world",,1,3804.62,"Iron:22.75,Nickel:17.21,Sulphur:16.23,Carbon:13.64,Chromium:10.23,Phosphorus:8.74,Germanium:4.8,Arsenic:2.15,Cadmium:1.77,Tungsten:1.25,Tellurium:1.24",,0.61,No,,,"https://www.edsm.net/en/system/bodies/id/86278718/name/Ouchont+KC-D+c12-1/details/idB/499063990/nameB/Ouchont KC-D c12-1 3 3"
4,"Ouchont KC-D c12-1 3 a",Planet,"Rocky body",,1,988.78,"Iron:19.99,Sulphur:18.01,Carbon:15.15,Nickel:15.12,Phosphorus:9.7,Manganese:8.25,Germanium:5.33,Vanadium:4.91,Cadmium:1.55,Antimony:1.13,Mercury:0.87",,0.12,No,,,"https://www.edsm.net/en/system/bodies/id/86278718/name/Ouchont+KC-D+c12-1/details/idB/499063988/nameB/Ouchont KC-D c12-1 3 a 4"
5,"Ouchont KC-D c12-1 4",Planet,"High metal content world",,1,2919.07,"Iron:22.28,Nickel:16.85,Sulphur:15.93,Carbon:13.4,Chromium:10.02,Phosphorus:8.58,Zinc:6.06,Selenium:2.49,Cadmium:1.73,Tin:1.44,Tellurium:1.22",,0.45,No,,,"https://www.edsm.net/en/system/bodies/id/86278718/name/Ouchont+KC-D+c12-1/details/idB/499063992/nameB/Ouchont KC-D c12-1 4 5"
6,"Ouchont KC-D c12-1 5",Planet,"Icy body",,,7344.22,,,0.65,No,,,"https://www.edsm.net/en/system/bodies/id/86278718/name/Ouchont+KC-D+c12-1/details/idB/499064012/nameB/Ouchont KC-D c12-1 5 6"
7,"Ouchont KC-D c12-1 5 a",Planet,"Icy body",,1,2063.29,"Sulphur:26.99,Carbon:22.7,Phosphorus:14.53,Iron:12.27,Nickel:9.28,Manganese:5.07,Zinc:3.33,Germanium:3.27,Cadmium:0.95,Tellurium:0.85,Tin:0.76",,0.12,No,,,"https://www.edsm.net/en/system/bodies/id/86278718/name/Ouchont+KC-D+c12-1/details/idB/499064015/nameB/Ouchont KC-D c12-1 5 a 7"
8,"Ouchont KC-D c12-1 6",Planet,"Icy body",,,5190.42,,,0.42,No,,,"https://www.edsm.net/en/system/bodies/id/86278718/name/Ouchont+KC-D+c12-1/details/idB/499063972/nameB/Ouchont KC-D c12-1 6 8"
9,"Ouchont KC-D c12-1 7",Planet,"Icy body",,,8779.29,,,0.79,No,,,"https://www.edsm.net/en/system/bodies/id/86278718/name/Ouchont+KC-D+c12-1/details/idB/499063974/nameB/Ouchont KC-D c12-1 7 9"
