body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"Outorst LA-P c19-2 A",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,Plofre,"2017-09-29 19:23:05","https://www.edsm.net/en/system/bodies/id/14969918/name/Outorst+LA-P+c19-2/details/idB/6774851/nameB/Outorst LA-P c19-2 A 1"
10,"Outorst LA-P c19-2 A 1",Planet,"High metal content world",,1,1652.09,"Iron:21.73,Nickel:16.44,Sulphur:14.98,Carbon:12.59,Chromium:9.77,Manganese:8.98,Phosphorus:8.06,Germanium:4.46,Tin:1.42,Mercury:0.95,Polonium:0.61",,0.25,,Paranthropus,"2018-01-08 23:50:36","https://www.edsm.net/en/system/bodies/id/14969918/name/Outorst+LA-P+c19-2/details/idB/12326308/nameB/Outorst LA-P c19-2 A 1 10"
11,"Outorst LA-P c19-2 A 1 a",Planet,"Rocky body",,1,663.45,"Iron:19.88,Sulphur:17.5,Nickel:15.04,Carbon:14.72,Phosphorus:9.42,Chromium:8.94,Zinc:5.4,Germanium:5.21,Cadmium:1.54,Tin:1.24,Antimony:1.1",,0.08,No,"Raijin Cajun","2019-03-08 04:14:41","https://www.edsm.net/en/system/bodies/id/14969918/name/Outorst+LA-P+c19-2/details/idB/68502490/nameB/Outorst LA-P c19-2 A 1 a 11"
12,"Outorst LA-P c19-2 A 2",Planet,"High metal content world",,1,1003.24,"Iron:21.31,Nickel:16.12,Sulphur:15.01,Carbon:12.62,Chromium:9.58,Manganese:8.8,Phosphorus:8.08,Germanium:4.47,Niobium:1.46,Tin:1.39,Tellurium:1.16",,0.14,No,"Raijin Cajun","2019-03-08 04:15:07","https://www.edsm.net/en/system/bodies/id/14969918/name/Outorst+LA-P+c19-2/details/idB/68502549/nameB/Outorst LA-P c19-2 A 2 12"
13,"Outorst LA-P c19-2 A 3",Planet,"High metal content world",,1,1355.90,"Iron:24.71,Nickel:18.69,Sulphur:17.41,Carbon:14.64,Phosphorus:9.37,Germanium:5.18,Zirconium:2.87,Selenium:2.72,Niobium:1.69,Tungsten:1.36,Tellurium:1.34",,0.2,No,Shippo,"2019-08-29 00:22:37","https://www.edsm.net/en/system/bodies/id/14969918/name/Outorst+LA-P+c19-2/details/idB/134231497/nameB/Outorst LA-P c19-2 A 3 13"
15,"Outorst LA-P c19-2 A 4",Planet,"High metal content world",,1,1709.71,"Iron:22.85,Nickel:17.28,Sulphur:16.1,Carbon:13.54,Chromium:10.28,Phosphorus:8.67,Germanium:4.79,Selenium:2.52,Tin:1.49,Tungsten:1.25,Tellurium:1.24",,0.25,No,Shippo,"2019-08-29 00:23:18","https://www.edsm.net/en/system/bodies/id/14969918/name/Outorst+LA-P+c19-2/details/idB/134231647/nameB/Outorst LA-P c19-2 A 4 15"
16,"Outorst LA-P c19-2 A 5",Planet,"High metal content world",,1,1534.09,"Iron:22.72,Nickel:17.18,Sulphur:16.01,Carbon:13.46,Manganese:9.38,Phosphorus:8.62,Vanadium:5.58,Selenium:2.5,Cadmium:1.76,Niobium:1.55,Tellurium:1.23",,0.22,No,Shippo,"2019-08-29 00:23:20","https://www.edsm.net/en/system/bodies/id/14969918/name/Outorst+LA-P+c19-2/details/idB/134231653/nameB/Outorst LA-P c19-2 A 5 16"
18,"Outorst LA-P c19-2 A 6",Planet,"High metal content world",,1,2031.09,"Iron:22.75,Nickel:17.21,Sulphur:16.03,Carbon:13.48,Chromium:10.23,Phosphorus:8.63,Germanium:4.77,Zirconium:2.64,Cadmium:1.77,Tungsten:1.25,Tellurium:1.24",,0.3,No,Shippo,"2019-08-29 00:21:16","https://www.edsm.net/en/system/bodies/id/14969918/name/Outorst+LA-P+c19-2/details/idB/134231314/nameB/Outorst LA-P c19-2 A 6 18"
19,"Outorst LA-P c19-2 A 7",Planet,"High metal content world",,1,1989.98,"Iron:25.28,Nickel:19.12,Sulphur:17.81,Carbon:14.98,Phosphorus:9.59,Zirconium:2.94,Selenium:2.79,Arsenic:2.37,Cadmium:1.96,Tin:1.65,Yttrium:1.51",,0.29,No,Shippo,"2019-08-29 00:21:19","https://www.edsm.net/en/system/bodies/id/14969918/name/Outorst+LA-P+c19-2/details/idB/134231319/nameB/Outorst LA-P c19-2 A 7 19"
37,"Outorst LA-P c19-2 AB 1",Planet,"Class I gas giant",,,72862.29,,,2.5,No,Plofre,"2017-08-06 22:59:24","https://www.edsm.net/en/system/bodies/id/14969918/name/Outorst+LA-P+c19-2/details/idB/6774853/nameB/Outorst LA-P c19-2 AB 1 37"
