body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"Phrua Phoe HR-N e6-0 A",Star,"B (Blue-White) Star",,0,0,,,0,0,Matrosov,"2020-03-10 15:34:00","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185138729/nameB/Phrua Phoe HR-N e6-0 A 1"
4,"Phrua Phoe HR-N e6-0 A 1",Planet,"High metal content world",,1,7485.25,"Iron:21.67,Nickel:16.39,Sulphur:15.46,Carbon:13,Chromium:9.74,Manganese:8.95,Phosphorus:8.32,Arsenic:2.04,Cadmium:1.68,Molybdenum:1.41,Ruthenium:1.34",,1.47,No,Matrosov,"2020-03-10 15:44:39","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185139118/nameB/Phrua Phoe HR-N e6-0 A 1 4"
5,"Phrua Phoe HR-N e6-0 A 2",Planet,"High metal content world",,1,7155.38,"Iron:20.97,Nickel:15.86,Sulphur:14.97,Carbon:12.58,Chromium:9.43,Manganese:8.66,Phosphorus:8.06,Zinc:5.7,Tin:1.36,Yttrium:1.25,Tungsten:1.15",,1.38,No,Matrosov,"2020-03-10 16:43:19","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185139111/nameB/Phrua Phoe HR-N e6-0 A 2 5"
6,"Phrua Phoe HR-N e6-0 A 3",Planet,"High metal content world",,1,6518.50,"Iron:20.97,Nickel:15.86,Sulphur:14.97,Carbon:12.58,Chromium:9.43,Manganese:8.66,Phosphorus:8.06,Vanadium:5.15,Cadmium:1.63,Niobium:1.43,Yttrium:1.25",,1.21,No,Matrosov,"2020-03-10 17:00:37","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185152429/nameB/Phrua Phoe HR-N e6-0 A 3 6"
7,"Phrua Phoe HR-N e6-0 A 4",Planet,"High metal content world",,,8201.24,,,1.69,No,Matrosov,"2020-03-10 15:34:55","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185138848/nameB/Phrua Phoe HR-N e6-0 A 4 7"
8,"Phrua Phoe HR-N e6-0 A 5",Planet,"High metal content world",,,6326.49,,,1.16,No,Matrosov,"2020-03-10 15:35:01","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185138861/nameB/Phrua Phoe HR-N e6-0 A 5 8"
9,"Phrua Phoe HR-N e6-0 A 6",Planet,"High metal content world",,,6860.27,,,1.3,No,Matrosov,"2020-03-10 15:36:52","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185139067/nameB/Phrua Phoe HR-N e6-0 A 6 9"
10,"Phrua Phoe HR-N e6-0 A 7",Planet,"High metal content world",,,6096.46,,,1.1,No,Matrosov,"2020-03-10 15:36:48","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185139064/nameB/Phrua Phoe HR-N e6-0 A 7 10"
11,"Phrua Phoe HR-N e6-0 A 8",Planet,"High metal content world",,,7211.44,,,1.39,No,Matrosov,"2020-03-10 15:36:25","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185139048/nameB/Phrua Phoe HR-N e6-0 A 8 11"
12,"Phrua Phoe HR-N e6-0 A 9",Planet,"High metal content world",,,7757.44,,,1.55,No,Matrosov,"2020-03-10 15:35:05","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185138868/nameB/Phrua Phoe HR-N e6-0 A 9 12"
2,"Phrua Phoe HR-N e6-0 B",Star,"F (White) Star",,0,0,,,0,0,Matrosov,"2020-03-10 15:34:01","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185138730/nameB/Phrua Phoe HR-N e6-0 B 2"
13,"Phrua Phoe HR-N e6-0 B 1",Planet,"High metal content world",,1,3076.04,"Iron:22.02,Nickel:16.66,Sulphur:15.71,Carbon:13.21,Manganese:9.09,Phosphorus:8.46,Zinc:5.98,Germanium:4.63,Molybdenum:1.44,Tin:1.43,Ruthenium:1.36",,0.48,No,Matrosov,"2020-03-10 15:36:01","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185139001/nameB/Phrua Phoe HR-N e6-0 B 1 13"
14,"Phrua Phoe HR-N e6-0 B 2",Planet,"High metal content world",,1,3370.97,"Iron:22.57,Nickel:17.07,Sulphur:16.11,Carbon:13.54,Chromium:10.15,Phosphorus:8.67,Zinc:6.13,Arsenic:2.12,Cadmium:1.75,Tungsten:1.24,Polonium:0.64",,0.53,No,Matrosov,"2020-03-10 15:35:16","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185138886/nameB/Phrua Phoe HR-N e6-0 B 2 14"
16,"Phrua Phoe HR-N e6-0 B 3",Planet,"High metal content world",,,3682.34,,,0.59,No,Matrosov,"2020-03-10 15:36:08","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185139008/nameB/Phrua Phoe HR-N e6-0 B 3 16"
17,"Phrua Phoe HR-N e6-0 B 4",Planet,"High metal content world",,,3528.48,,,0.56,No,Matrosov,"2020-03-10 15:36:13","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185139013/nameB/Phrua Phoe HR-N e6-0 B 4 17"
18,"Phrua Phoe HR-N e6-0 B 5",Planet,"High metal content world",,,3627.85,,,0.58,No,Matrosov,"2020-03-10 15:35:28","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185138895/nameB/Phrua Phoe HR-N e6-0 B 5 18"
19,"Phrua Phoe HR-N e6-0 B 5 a",Planet,"Rocky body",,1,1511.60,"Iron:19.84,Sulphur:17.85,Carbon:15.01,Nickel:15,Phosphorus:9.61,Chromium:8.92,Germanium:5.25,Vanadium:4.87,Molybdenum:1.3,Tin:1.23,Antimony:1.11",,0.19,No,Matrosov,"2020-03-10 15:35:33","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185138897/nameB/Phrua Phoe HR-N e6-0 B 5 a 19"
20,"Phrua Phoe HR-N e6-0 B 6",Planet,"High metal content world",,1,2796.04,"Iron:21.32,Nickel:16.12,Sulphur:15.21,Carbon:12.79,Chromium:9.59,Manganese:8.8,Phosphorus:8.19,Germanium:4.48,Tin:1.39,Tungsten:1.17,Antimony:0.95",,0.43,No,Matrosov,"2020-03-10 15:35:56","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185138998/nameB/Phrua Phoe HR-N e6-0 B 6 20"
21,"Phrua Phoe HR-N e6-0 B 7",Planet,"High metal content world",,,4407.14,,,0.73,No,Matrosov,"2020-03-10 15:36:20","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185139045/nameB/Phrua Phoe HR-N e6-0 B 7 21"
22,"Phrua Phoe HR-N e6-0 B 8",Planet,"High metal content world",,,4485.10,,,0.74,Yes,Matrosov,"2020-03-10 15:35:11","https://www.edsm.net/en/system/bodies/id/49790088/name/Phrua+Phoe+HR-N+e6-0/details/idB/185138870/nameB/Phrua Phoe HR-N e6-0 B 8 22"
