body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"Phaa Ain BT-U d2-1 A",Star,"F (White) Star",,0,0,,,0,0,"CMDR Scott Fleming","2024-08-23 19:50:34","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063467/nameB/Phaa Ain BT-U d2-1 A 1"
5,"Phaa Ain BT-U d2-1 A 1",Planet,"High metal content world",,1,4990.89,"Iron:21.1,Nickel:15.96,Sulphur:14.82,Carbon:12.46,Chromium:9.49,Manganese:8.71,Phosphorus:7.98,Vanadium:5.18,Cadmium:1.64,Tin:1.36,Ruthenium:1.3",,0.85,No,"CMDR Scott Fleming","2024-08-23 19:51:25","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063564/nameB/Phaa Ain BT-U d2-1 A 1 5"
6,"Phaa Ain BT-U d2-1 A 2",Planet,"High metal content world",,1,7041.62,"Iron:21.88,Nickel:16.55,Sulphur:15.36,Carbon:12.92,Chromium:9.84,Phosphorus:8.27,Zinc:5.95,Vanadium:5.37,Niobium:1.5,Tin:1.41,Antimony:0.96",,1.35,No,"CMDR Scott Fleming","2024-08-23 19:51:48","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063605/nameB/Phaa Ain BT-U d2-1 A 2 6"
7,"Phaa Ain BT-U d2-1 A 3",Planet,"High metal content world",,,7286.95,,,1.43,No,"CMDR Scott Fleming","2024-08-23 19:51:10","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063537/nameB/Phaa Ain BT-U d2-1 A 3 7"
8,"Phaa Ain BT-U d2-1 A 3 a",Planet,"Rocky body",,1,2784.23,"Iron:19.3,Sulphur:17.11,Nickel:14.6,Carbon:14.39,Phosphorus:9.21,Chromium:8.68,Manganese:7.97,Vanadium:4.74,Cadmium:1.5,Tellurium:1.31,Tin:1.19",,0.36,No,"CMDR Scott Fleming","2024-08-23 19:51:15","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063543/nameB/Phaa Ain BT-U d2-1 A 3 a 8"
10,"Phaa Ain BT-U d2-1 A 4",Planet,"High metal content world",,,6184.54,,,1.13,Yes,"CMDR Scott Fleming","2024-08-23 19:51:38","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063587/nameB/Phaa Ain BT-U d2-1 A 4 10"
11,"Phaa Ain BT-U d2-1 A 5",Planet,"High metal content world",,,5776.13,,,1.03,Yes,"CMDR Scott Fleming","2024-08-23 19:51:34","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063581/nameB/Phaa Ain BT-U d2-1 A 5 11"
12,"Phaa Ain BT-U d2-1 A 6",Planet,"High metal content world",,1,6695.41,"Iron:21.32,Nickel:16.12,Sulphur:14.97,Carbon:12.59,Chromium:9.59,Manganese:8.8,Phosphorus:8.06,Vanadium:5.23,Molybdenum:1.39,Tungsten:1.17,Technetium:0.76",,1.26,Yes,"CMDR Scott Fleming","2024-08-23 19:50:47","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063487/nameB/Phaa Ain BT-U d2-1 A 6 12"
13,"Phaa Ain BT-U d2-1 A 7",Planet,"High metal content world",,,8273.25,,,1.75,Yes,"CMDR Scott Fleming","2024-08-23 19:54:48","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063958/nameB/Phaa Ain BT-U d2-1 A 7 13"
14,"Phaa Ain BT-U d2-1 A 7 a",Planet,"Rocky body",,1,4090.99,"Iron:21.78,Sulphur:19.3,Nickel:16.47,Carbon:16.23,Phosphorus:10.39,Germanium:5.69,Selenium:3.02,Arsenic:2.54,Cadmium:1.69,Tellurium:1.47,Molybdenum:1.42",,0.56,Yes,"CMDR Scott Fleming","2024-08-23 19:54:41","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063944/nameB/Phaa Ain BT-U d2-1 A 7 a 14"
15,"Phaa Ain BT-U d2-1 A 8",Planet,"High metal content world",,,7328.80,,,1.44,No,"CMDR Scott Fleming","2024-08-23 19:54:53","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063970/nameB/Phaa Ain BT-U d2-1 A 8 15"
16,"Phaa Ain BT-U d2-1 A 9",Planet,"Icy body",,,12829.08,,"2:Rocky,Icy",1.7,No,"CMDR Scott Fleming","2024-08-23 19:50:59","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063507/nameB/Phaa Ain BT-U d2-1 A 9 16"
3,"Phaa Ain BT-U d2-1 B",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,"CMDR Scott Fleming","2024-08-23 19:50:41","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063476/nameB/Phaa Ain BT-U d2-1 B 3"
23,"Phaa Ain BT-U d2-1 B 1",Planet,"High metal content world",,1,1820.06,"Iron:23.36,Nickel:17.67,Sulphur:16.29,Carbon:13.7,Chromium:10.51,Phosphorus:8.77,Zirconium:2.71,Arsenic:2.15,Cadmium:1.81,Niobium:1.6,Ruthenium:1.44",,0.27,No,"CMDR Scott Fleming","2024-08-23 19:53:15","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063752/nameB/Phaa Ain BT-U d2-1 B 1 23"
24,"Phaa Ain BT-U d2-1 B 1 a",Planet,"Rocky body",,1,649.25,"Iron:22.02,Sulphur:19.51,Nickel:16.65,Carbon:16.41,Phosphorus:10.51,Vanadium:5.41,Arsenic:2.57,Zirconium:2.56,Cadmium:1.71,Molybdenum:1.44,Antimony:1.22",,0.08,No,"CMDR Scott Fleming","2024-08-23 19:53:20","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063770/nameB/Phaa Ain BT-U d2-1 B 1 a 24"
25,"Phaa Ain BT-U d2-1 B 2",Planet,"High metal content world",,1,1718.00,"Iron:23.14,Nickel:17.5,Sulphur:16.25,Carbon:13.66,Manganese:9.56,Phosphorus:8.75,Germanium:4.79,Zirconium:2.69,Niobium:1.58,Tungsten:1.27,Technetium:0.83",,0.25,No,"CMDR Scott Fleming","2024-08-23 19:53:44","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063818/nameB/Phaa Ain BT-U d2-1 B 2 25"
26,"Phaa Ain BT-U d2-1 B 3",Planet,"High metal content world",,1,1742.18,"Iron:22.46,Nickel:16.99,Sulphur:15.77,Carbon:13.26,Manganese:9.27,Phosphorus:8.49,Vanadium:5.51,Germanium:4.65,Ruthenium:1.39,Tungsten:1.23,Mercury:0.98",,0.26,No,"CMDR Scott Fleming","2024-08-23 19:53:39","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063807/nameB/Phaa Ain BT-U d2-1 B 3 26"
27,"Phaa Ain BT-U d2-1 B 4",Planet,"High metal content world",,,1642.21,,,0.24,No,"CMDR Scott Fleming","2024-08-23 19:53:48","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063833/nameB/Phaa Ain BT-U d2-1 B 4 27"
28,"Phaa Ain BT-U d2-1 B 5",Planet,"High metal content world",,1,2074.98,"Iron:22.22,Nickel:16.81,Sulphur:15.29,Carbon:12.86,Manganese:9.18,Phosphorus:8.23,Zinc:6.04,Vanadium:5.46,Niobium:1.52,Molybdenum:1.45,Antimony:0.95",,0.31,No,"CMDR Scott Fleming","2024-08-23 19:53:55","https://www.edsm.net/en/system/bodies/id/86501518/name/Phaa+Ain+BT-U+d2-1/details/idB/501063850/nameB/Phaa Ain BT-U d2-1 B 5 28"
