body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Phaa Ain UB-Y b14-3",Star,"M (Red dwarf) Star",,0,0,,,0,0,"CMDR Scott Fleming","2024-08-23 18:20:03",https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3
11,"Phaa Ain UB-Y b14-3 1",Planet,"Class I gas giant",,,76469.81,,"2:Rocky,Icy",3.95,No,"CMDR Scott Fleming","2024-08-23 18:23:54","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053733/nameB/Phaa Ain UB-Y b14-3 1 11"
14,"Phaa Ain UB-Y b14-3 1 a",Planet,"Icy body",,,918.91,,,0.05,No,"CMDR Scott Fleming","2024-08-23 18:24:30","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053770/nameB/Phaa Ain UB-Y b14-3 1 a 14"
15,"Phaa Ain UB-Y b14-3 1 b",Planet,"Icy body",,1,782.92,"Sulphur:26.41,Carbon:22.21,Phosphorus:14.22,Iron:12.03,Nickel:9.1,Chromium:5.41,Manganese:4.97,Germanium:3.45,Cadmium:0.93,Ruthenium:0.74,Mercury:0.53",,0.05,No,"CMDR Scott Fleming","2024-08-23 18:24:22","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053762/nameB/Phaa Ain UB-Y b14-3 1 b 15"
16,"Phaa Ain UB-Y b14-3 1 c",Planet,"Icy body",,1,806.00,"Sulphur:28.13,Carbon:23.66,Phosphorus:15.15,Iron:12.72,Nickel:9.62,Zinc:3.46,Vanadium:3.12,Arsenic:1.63,Cadmium:0.99,Yttrium:0.76,Tin:0.76",,0.05,No,"CMDR Scott Fleming","2024-08-23 18:24:02","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053738/nameB/Phaa Ain UB-Y b14-3 1 c 16"
17,"Phaa Ain UB-Y b14-3 1 d",Planet,"Icy body",,1,808.04,"Sulphur:26.8,Carbon:22.54,Phosphorus:14.43,Iron:12.12,Nickel:9.16,Manganese:5,Selenium:4.2,Zinc:3.29,Tellurium:0.9,Niobium:0.83,Tin:0.72",,0.05,No,"CMDR Scott Fleming","2024-08-23 18:24:18","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053756/nameB/Phaa Ain UB-Y b14-3 1 d 17"
19,"Phaa Ain UB-Y b14-3 1 e",Planet,"Icy body",,1,922.09,"Sulphur:27.2,Carbon:22.87,Phosphorus:14.64,Iron:12.3,Nickel:9.3,Selenium:4.26,Germanium:3.53,Zinc:3.34,Cadmium:0.95,Tellurium:0.92,Tungsten:0.68",,0.05,No,"CMDR Scott Fleming","2024-08-23 18:24:08","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053744/nameB/Phaa Ain UB-Y b14-3 1 e 19"
20,"Phaa Ain UB-Y b14-3 1 f",Planet,"Icy body",,1,842.20,"Sulphur:26.86,Carbon:22.59,Phosphorus:14.46,Iron:12.14,Nickel:9.19,Manganese:5.02,Selenium:4.2,Germanium:3.49,Cadmium:0.94,Tungsten:0.67,Technetium:0.43",,0.05,No,"CMDR Scott Fleming","2024-08-23 18:24:12","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053747/nameB/Phaa Ain UB-Y b14-3 1 f 20"
21,"Phaa Ain UB-Y b14-3 1 g",Planet,"Icy body",,1,1288.43,"Sulphur:27.33,Carbon:22.98,Phosphorus:14.71,Iron:12.35,Nickel:9.34,Manganese:5.1,Selenium:4.28,Arsenic:1.59,Molybdenum:0.81,Ruthenium:0.76,Tin:0.74",,0.08,No,"CMDR Scott Fleming","2024-08-23 18:24:36","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053779/nameB/Phaa Ain UB-Y b14-3 1 g 21"
22,"Phaa Ain UB-Y b14-3 1 h",Planet,"Icy body",,1,1182.39,"Sulphur:27.79,Carbon:23.37,Phosphorus:14.96,Iron:12.56,Nickel:9.5,Selenium:4.35,Zinc:3.41,Arsenic:1.61,Tellurium:0.94,Molybdenum:0.82,Tungsten:0.69",,0.07,No,"CMDR Scott Fleming","2024-08-23 18:24:41","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053786/nameB/Phaa Ain UB-Y b14-3 1 h 22"
25,"Phaa Ain UB-Y b14-3 2",Planet,"Class I gas giant",,,38186.35,,1:Icy,0.5,No,"CMDR Scott Fleming","2024-08-23 18:24:56","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053804/nameB/Phaa Ain UB-Y b14-3 2 25"
27,"Phaa Ain UB-Y b14-3 2 a",Planet,"Icy body",,1,540.20,"Sulphur:27.45,Carbon:23.08,Phosphorus:14.78,Iron:12.41,Nickel:9.39,Selenium:4.3,Zinc:3.37,Vanadium:3.05,Antimony:0.75,Tin:0.74,Tungsten:0.68",,0.03,No,"CMDR Scott Fleming","2024-08-23 18:25:06","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053822/nameB/Phaa Ain UB-Y b14-3 2 a 27"
29,"Phaa Ain UB-Y b14-3 2 b",Planet,"Icy body",,1,619.58,"Sulphur:26.56,Carbon:22.34,Phosphorus:14.3,Iron:12.01,Nickel:9.08,Chromium:5.4,Manganese:4.96,Zinc:3.26,Yttrium:0.72,Tin:0.72,Tungsten:0.66",,0.04,No,"CMDR Scott Fleming","2024-08-23 18:25:14","https://www.edsm.net/en/system/bodies/id/86500335/name/Phaa+Ain+UB-Y+b14-3/details/idB/501053835/nameB/Phaa Ain UB-Y b14-3 2 b 29"
