name,discoveredBy,discoveredDate,distance,type,subType,rings,isLandable,gravity,terraformable,EDSMLink
"Phae Aim YP-A b57-1","CMDR Scott Fleming","2024-05-29 22:48:16",0,Star,"M (Red dwarf) Star",,0,0,0,https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 1","CMDR Scott Fleming","2024-05-29 22:48:16",18,Planet,"High metal content world",,,0.59,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 2","CMDR Scott Fleming","2024-05-29 22:50:03",30,Planet,"High metal content world",,,0.59,"Candidate for terraforming",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 3","CMDR Scott Fleming","2024-05-29 22:49:54",55,Planet,"Rocky Ice world",,,0.52,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 4","CMDR Scott Fleming","2024-05-29 22:49:47",97,Planet,"Rocky Ice world",,,0.77,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 5","CMDR Scott Fleming","2024-05-29 22:49:35",162,Planet,"Icy body",,,0.99,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 6","CMDR Scott Fleming","2024-05-29 22:49:38",160,Planet,"Icy body",,,0.68,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 7","CMDR Scott Fleming","2024-05-29 22:49:26",283,Planet,"Icy body",,,0.67,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 8","CMDR Scott Fleming","2024-05-29 22:50:24",3175,Planet,"Class I gas giant","Metal Rich, Icy",,0.38,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 8 a","CMDR Scott Fleming","2024-05-29 22:50:43",3174,Planet,"Icy body",,1,0.04,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 8 b","CMDR Scott Fleming","2024-05-29 22:50:51",3177,Planet,"Icy body",,1,0.05,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 8 c","CMDR Scott Fleming","2024-05-29 22:50:57",3176,Planet,"Icy body",,1,0.03,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
"Phae Aim YP-A b57-1 8 d","CMDR Scott Fleming","2024-05-29 22:51:03",3179,Planet,"Icy body",,1,0.03,"Not terraformable",https://www.edsm.net/en/system/bodies/id/85456051/name/Phae+Aim+YP-A+b57-1
