bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
0,"Plio Eurl SX-L c7-11",Star,"K (Yellow-Orange) Star",0,0,,,0,0,"2024-07-11 02:31:17",Kettuklaani,"2019-01-06 17:55:07",https://www.edsm.net/en/system/bodies/id/11193869/name/Plio+Eurl+SX-L+c7-11
5,"Plio Eurl SX-L c7-11 1",Planet,"High metal content world",,9584.43,,,2.19,No,"2024-07-11 02:31:17",Kettuklaani,"2019-01-06 17:55:07",https://www.edsm.net/en/system/bodies/id/11193869/name/Plio+Eurl+SX-L+c7-11
6,"Plio Eurl SX-L c7-11 2",Planet,"Gas giant with ammonia-based life",,32348.74,,"Metal Rich, Icy",0.87,No,"2019-01-07 00:04:46",Kettuklaani,"2019-01-06 18:03:07",https://www.edsm.net/en/system/bodies/id/11193869/name/Plio+Eurl+SX-L+c7-11
9,"Plio Eurl SX-L c7-11 2 a",Planet,"Icy body",1,1330.49,"Sulphur:27.41,Carbon:23.05,Phosphorus:14.76,Iron:11.79,Nickel:8.92,Manganese:4.87,Germanium:3.43,Zinc:3.2,Cadmium:0.92,Tellurium:0.89,Molybdenum:0.77",,0.08,No,"2019-01-07 00:04:46",Kettuklaani,"2019-01-06 18:03:16",https://www.edsm.net/en/system/bodies/id/11193869/name/Plio+Eurl+SX-L+c7-11
10,"Plio Eurl SX-L c7-11 2 b",Planet,"Icy body",1,986.91,"Sulphur:27.23,Carbon:22.9,Phosphorus:14.66,Iron:11.75,Nickel:8.89,Manganese:4.85,Selenium:4.26,Germanium:3.41,Niobium:0.8,Antimony:0.72,Mercury:0.51",,0.06,No,"2019-01-07 00:04:46",Kettuklaani,"2019-01-06 18:03:23",https://www.edsm.net/en/system/bodies/id/11193869/name/Plio+Eurl+SX-L+c7-11
11,"Plio Eurl SX-L c7-11 2 c",Planet,"Icy body",1,594.95,"Sulphur:27.26,Carbon:22.92,Phosphorus:14.67,Iron:11.7,Nickel:8.85,Chromium:5.26,Selenium:4.27,Vanadium:2.87,Molybdenum:0.76,Ruthenium:0.72,Tin:0.7",,0.03,No,"2019-01-07 00:04:46",Kettuklaani,"2019-01-06 18:03:26",https://www.edsm.net/en/system/bodies/id/11193869/name/Plio+Eurl+SX-L+c7-11
12,"Plio Eurl SX-L c7-11 2 d",Planet,"Icy body",1,877.91,"Sulphur:26.79,Carbon:22.53,Phosphorus:14.42,Iron:11.71,Nickel:8.86,Chromium:5.27,Manganese:4.84,Germanium:3.39,Tellurium:0.88,Niobium:0.8,Mercury:0.51",,0.05,No,"2019-01-07 00:04:46",Kettuklaani,"2019-01-06 18:03:13",https://www.edsm.net/en/system/bodies/id/11193869/name/Plio+Eurl+SX-L+c7-11
13,"Plio Eurl SX-L c7-11 3",Planet,"Class I gas giant",,42009.05,,,0.76,No,"2019-01-07 00:04:47",Kettuklaani,"2019-01-06 18:03:36",https://www.edsm.net/en/system/bodies/id/11193869/name/Plio+Eurl+SX-L+c7-11
14,"Plio Eurl SX-L c7-11 3 a",Planet,"Icy body",1,1129.66,"Sulphur:27.6,Carbon:23.21,Phosphorus:14.86,Iron:12.57,Nickel:9.51,Manganese:5.19,Vanadium:3.09,Zirconium:1.46,Tellurium:0.94,Molybdenum:0.82,Tin:0.76",,0.07,No,"2019-01-07 00:04:47",Kettuklaani,"2019-01-06 18:03:42",https://www.edsm.net/en/system/bodies/id/11193869/name/Plio+Eurl+SX-L+c7-11
15,"Plio Eurl SX-L c7-11 3 b",Planet,"Icy body",1,820.56,"Sulphur:27.12,Carbon:22.81,Phosphorus:14.6,Iron:12.4,Nickel:9.38,Selenium:4.24,Germanium:3.59,Zinc:3.37,Cadmium:0.96,Ruthenium:0.77,Tin:0.75",,0.05,No,"2019-01-07 00:04:47",Kettuklaani,"2019-01-06 18:03:46",https://www.edsm.net/en/system/bodies/id/11193869/name/Plio+Eurl+SX-L+c7-11
