body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"Prooe Hypue EA-H c13-53 A",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,Ebel,"2021-09-04 12:57:03","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264478/nameB/Prooe Hypue EA-H c13-53 A 1"
9,"Prooe Hypue EA-H c13-53 A 1",Planet,"High metal content world",,,"9,455",,,2.14,No,Ebel,"2021-09-04 12:57:03","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264465/nameB/Prooe Hypue EA-H c13-53 A 1 9"
10,"Prooe Hypue EA-H c13-53 A 2",Planet,"High metal content world",,,"12,674",,,3.82,No,Ebel,"2021-09-04 12:57:03","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264474/nameB/Prooe Hypue EA-H c13-53 A 2 10"
24,"Prooe Hypue EA-H c13-53 A 3",Planet,"Class II gas giant",,,"77,069",,"2:Metal Rich,Rocky",6.06,No,Ebel,"2021-09-04 12:58:40","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264886/nameB/Prooe Hypue EA-H c13-53 A 3 24"
27,"Prooe Hypue EA-H c13-53 A 3 a",Planet,"Rocky body",,1,981,"Carbon:15.19,Nickel:13.98,Niobium:1.26",,0.12,No,Ebel,"2021-09-04 12:58:48","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264898/nameB/Prooe Hypue EA-H c13-53 A 3 a 27"
28,"Prooe Hypue EA-H c13-53 A 3 b",Planet,"Rocky body",,1,"1,126","Carbon:17.33,Nickel:15.94,Vanadium:5.18,Arsenic:2.71,Polonium:0.55",,0.13,No,Ebel,"2021-09-04 12:58:28","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264816/nameB/Prooe Hypue EA-H c13-53 A 3 b 28"
29,"Prooe Hypue EA-H c13-53 A 3 c",Planet,"Rocky body",,1,865,"Carbon:16.11,Nickel:14.82,Arsenic:2.52,Cadmium:1.52,Niobium:1.34",,0.1,No,Ebel,"2021-09-04 12:58:31","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264822/nameB/Prooe Hypue EA-H c13-53 A 3 c 29"
31,"Prooe Hypue EA-H c13-53 A 3 d",Planet,"Rocky body",,1,"1,137","Carbon:15.63,Nickel:14.38,Niobium:1.3,Tungsten:1.04",,0.13,No,Ebel,"2021-09-04 12:58:18","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264746/nameB/Prooe Hypue EA-H c13-53 A 3 d 31"
32,"Prooe Hypue EA-H c13-53 A 3 e",Planet,"Rocky body",,1,960,"Carbon:15.95,Nickel:14.68,Cadmium:1.51,Yttrium:1.16",,0.11,No,Ebel,"2021-09-04 12:58:22","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264806/nameB/Prooe Hypue EA-H c13-53 A 3 e 32"
33,"Prooe Hypue EA-H c13-53 A 4",Planet,"Class I gas giant",,,"43,313",,"1:Metal Rich",1.4,No,Ebel,"2021-09-04 12:57:53","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264711/nameB/Prooe Hypue EA-H c13-53 A 4 33"
35,"Prooe Hypue EA-H c13-53 A 4 a",Planet,"Rocky body",,1,731,"Carbon:16.19,Nickel:14.9,Tungsten:1.08",,0.09,No,Ebel,"2021-09-04 12:58:10","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264734/nameB/Prooe Hypue EA-H c13-53 A 4 a 35"
36,"Prooe Hypue EA-H c13-53 A 4 b",Planet,"Rocky body",,1,593,"Carbon:16.27,Nickel:14.97,Vanadium:4.86,Niobium:1.35,Polonium:0.51",,0.07,No,Ebel,"2021-09-04 12:58:02","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264714/nameB/Prooe Hypue EA-H c13-53 A 4 b 36"
37,"Prooe Hypue EA-H c13-53 A 4 c",Planet,"Rocky body",,1,540,"Carbon:17.02,Nickel:15.66,Germanium:5.94,Arsenic:2.66,Cadmium:1.61",,0.06,No,Ebel,"2021-09-04 12:58:04","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264721/nameB/Prooe Hypue EA-H c13-53 A 4 c 37"
39,"Prooe Hypue EA-H c13-53 A 5",Planet,"Class II gas giant",,,"76,213",,"2:Metal Rich,Icy",4.4,No,Ebel,"2021-09-04 12:59:05","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339264999/nameB/Prooe Hypue EA-H c13-53 A 5 39"
42,"Prooe Hypue EA-H c13-53 A 6",Planet,"Gas giant with water-based life",,,"75,746",,"2:Metal Rich,Metal Rich",3.97,No,Ebel,"2021-09-04 12:59:35","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339265094/nameB/Prooe Hypue EA-H c13-53 A 6 42"
45,"Prooe Hypue EA-H c13-53 A 6 a",Planet,"Icy body",,1,"3,055","Carbon:22.54,Nickel:9.23,Vanadium:3,Cadmium:0.95,Niobium:0.83,Polonium:0.32",,0.19,No,Ebel,"2021-09-04 13:14:00","https://www.edsm.net/en/system/bodies/id/68712311/name/Prooe+Hypue+EA-H+c13-53/details/idB/339265102/nameB/Prooe Hypue EA-H c13-53 A 6 a 45"
