body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
1,"Pyramio EE-E d13-98 A",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,"CMDR Scott Fleming","2024-03-08 01:55:24","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435781/nameB/Pyramio EE-E d13-98 A 1"
14,"Pyramio EE-E d13-98 A 1",Planet,"High metal content world",,1,463,"Nickel:16.46,Carbon:12.99,Arsenic:2.05,Niobium:1.49,Yttrium:1.3",,0.06,No,"CMDR Scott Fleming","2024-03-08 01:55:24","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435780/nameB/Pyramio EE-E d13-98 A 1 14"
15,"Pyramio EE-E d13-98 A 2",Planet,"High metal content world",,1,525,"Nickel:16.68,Carbon:13.17,Vanadium:5.41,Niobium:1.51,Tungsten:1.21",,0.07,No,"CMDR Scott Fleming","2024-03-08 01:55:24","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435770/nameB/Pyramio EE-E d13-98 A 2 15"
16,"Pyramio EE-E d13-98 A 3",Planet,"High metal content world",,1,500,"Nickel:16.16,Carbon:12.76,Germanium:4.51,Cadmium:1.66,Tungsten:1.17,Polonium:0.6",,0.07,No,"CMDR Scott Fleming","2024-03-08 01:56:50","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435886/nameB/Pyramio EE-E d13-98 A 3 16"
17,"Pyramio EE-E d13-98 A 4",Planet,"High metal content world",,1,706,"Nickel:17.49,Carbon:13.8,Germanium:4.88",,0.1,No,"CMDR Scott Fleming","2024-03-08 01:56:31","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435863/nameB/Pyramio EE-E d13-98 A 4 17"
18,"Pyramio EE-E d13-98 A 5",Planet,"High metal content world",,1,743,"Nickel:17.84,Carbon:14.08,Arsenic:2.23",,0.1,No,"CMDR Scott Fleming","2024-03-08 01:56:56","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435898/nameB/Pyramio EE-E d13-98 A 5 18"
19,"Pyramio EE-E d13-98 A 6",Planet,"High metal content world",,1,837,"Nickel:15.92,Carbon:12.57",,0.12,No,"CMDR Scott Fleming","2024-03-08 01:57:18","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435933/nameB/Pyramio EE-E d13-98 A 6 19"
20,"Pyramio EE-E d13-98 A 7",Planet,"High metal content world",,1,843,"Nickel:16.42,Carbon:12.96,Vanadium:5.33,Niobium:1.48,Yttrium:1.3",,0.12,No,"CMDR Scott Fleming","2024-03-08 01:57:10","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435921/nameB/Pyramio EE-E d13-98 A 7 20"
21,"Pyramio EE-E d13-98 AB 1",Planet,"Icy body",,,"5,318",,,0.42,No,"CMDR Scott Fleming","2024-03-08 01:56:24","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435848/nameB/Pyramio EE-E d13-98 AB 1 21"
22,"Pyramio EE-E d13-98 AB 2",Planet,"Icy body",,,"6,368",,,0.52,No,"CMDR Scott Fleming","2024-03-08 01:56:40","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435871/nameB/Pyramio EE-E d13-98 AB 2 22"
2,"Pyramio EE-E d13-98 B",Star,"K (Yellow-Orange) Star",,0,0,,,0,0,"CMDR Scott Fleming","2024-03-08 01:56:14","https://www.edsm.net/en/system/bodies/id/84309877/name/Pyramio+EE-E+d13-98/details/idB/480435839/nameB/Pyramio EE-E d13-98 B 2"
