bodyId,bodyName,type,subType,discoveredBy,discoveredDt,materials,radius,rings,isLandable,gravity,terraformable,updateTime,EDSM
1,"Qiefaa EB-U d4-20 A",Star,"G (White-Yellow) Star",DrGalactose,"2021-11-15 14:10:57",,0,,0,0,0,"2024-03-31 21:46:39",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
10,"Qiefaa EB-U d4-20 A 1",Planet,"Class III gas giant",DrGalactose,"2021-11-15 14:11:15",,71200.90,Rocky,,20.11,"Not terraformable","2024-03-31 21:48:50",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
12,"Qiefaa EB-U d4-20 A 1 a",Planet,"Rocky body",DrGalactose,"2021-11-15 14:11:29","Iron:18.46, Sulphur:18.12, Carbon:15.23, Nickel:13.96, Phosphorus:9.75, Chromium:8.3, Manganese:7.62, Germanium:5.34, Niobium:1.26, Antimony:1.13, Mercury:0.81",2028.52,,1,0.25,"Not terraformable","2024-03-31 21:48:56",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
13,"Qiefaa EB-U d4-20 A 1 b",Planet,"Rocky body",DrGalactose,"2021-11-15 14:11:36",,1942.35,,,0.24,"Not terraformable","2024-03-31 21:49:02",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
14,"Qiefaa EB-U d4-20 A 1 c",Planet,"Rocky body",DrGalactose,"2021-11-15 14:11:59",,2070.57,,,0.25,"Not terraformable","2024-03-31 21:49:04",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
15,"Qiefaa EB-U d4-20 A 1 d",Planet,"Rocky body",DrGalactose,"2021-11-15 14:11:53","Iron:19.64, Sulphur:19.27, Carbon:16.2, Nickel:14.85, Phosphorus:10.37, Germanium:5.68, Zinc:5.34, Vanadium:4.82, Tellurium:1.47, Molybdenum:1.28, Tungsten:1.08",1987.19,,1,0.24,"Not terraformable","2024-03-31 21:48:58",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
16,"Qiefaa EB-U d4-20 A 1 e",Planet,"Rocky body",DrGalactose,"2021-11-15 14:11:48","Iron:19.68, Sulphur:19.13, Carbon:16.09, Nickel:14.88, Phosphorus:10.3, Manganese:8.13, Zinc:5.35, Arsenic:2.52, Tellurium:1.46, Molybdenum:1.29, Tin:1.18",2198.34,,1,0.27,"Not terraformable","2024-03-31 21:49:10",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
17,"Qiefaa EB-U d4-20 A 1 e a",Planet,"Rocky body",DrGalactose,"2021-11-15 14:11:41","Sulphur:20.55, Iron:18.16, Carbon:17.28, Nickel:13.73, Phosphorus:11.06, Manganese:7.5, Germanium:6.06, Zirconium:2.11, Niobium:1.24, Molybdenum:1.19, Ruthenium:1.12",985.46,,1,0.11,"Not terraformable","2024-03-31 21:49:13",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
18,"Qiefaa EB-U d4-20 A 1 f",Planet,"Rocky body",DrGalactose,"2021-11-15 14:12:02","Iron:18.45, Sulphur:18.11, Carbon:15.23, Nickel:13.96, Phosphorus:9.75, Chromium:8.3, Manganese:7.62, Germanium:5.34, Antimony:1.13, Tin:1.1, Tungsten:1.01",1781.46,,1,0.22,"Not terraformable","2024-03-31 21:48:55",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
19,"Qiefaa EB-U d4-20 A 2",Planet,"Class II gas giant",DrGalactose,"2021-11-15 14:12:40",,33237.78,"Rocky, Metal Rich, Metal Rich",,1.27,"Not terraformable","2024-03-31 21:48:29",https://www.edsm.net/en/system/bodies/id/70274939/name/Qiefaa+EB-U+d4-20
