body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Scorpius Dark Region TK-E a12-0",Star,"T (Brown dwarf) Star",,0,0,,,0,0,gloog,"2022-02-21 22:11:08",https://www.edsm.net/en/system/bodies/id/72645824/name/Scorpius+Dark+Region+TK-E+a12-0
1,"Scorpius Dark Region TK-E a12-0 1",Planet,"Icy body",,1,5301.73,"Sulphur:22.29,Carbon:18.74,Iron:15.65,Phosphorus:12,Nickel:11.84,Chromium:7.04,Manganese:6.46,Vanadium:3.84,Molybdenum:1.02,Mercury:0.68,Polonium:0.44",,0.42,No,"CMDR Scott Fleming","2024-03-01 04:14:58","https://www.edsm.net/en/system/bodies/id/72645824/name/Scorpius+Dark+Region+TK-E+a12-0/details/idB/479417315/nameB/Scorpius Dark Region TK-E a12-0 1 1"
2,"Scorpius Dark Region TK-E a12-0 1 a",Planet,"Icy body",,1,1419.34,"Sulphur:27.05,Carbon:22.75,Phosphorus:14.56,Iron:11.91,Nickel:9.01,Manganese:4.92,Selenium:4.23,Zinc:3.24,Cadmium:0.93,Tin:0.74,Antimony:0.66",,0.08,No,"CMDR Scott Fleming","2024-03-01 04:15:08","https://www.edsm.net/en/system/bodies/id/72645824/name/Scorpius+Dark+Region+TK-E+a12-0/details/idB/479417323/nameB/Scorpius Dark Region TK-E a12-0 1 a 2"
3,"Scorpius Dark Region TK-E a12-0 2",Planet,"Icy body",,1,4228.12,"Sulphur:22.55,Carbon:18.96,Iron:15.77,Phosphorus:12.14,Nickel:11.93,Chromium:7.09,Manganese:6.51,Zirconium:1.83,Cadmium:1.22,Tin:1.02,Ruthenium:0.97",,0.32,No,"CMDR Scott Fleming","2024-03-01 04:15:50","https://www.edsm.net/en/system/bodies/id/72645824/name/Scorpius+Dark+Region+TK-E+a12-0/details/idB/479417388/nameB/Scorpius Dark Region TK-E a12-0 2 3"
4,"Scorpius Dark Region TK-E a12-0 3",Planet,"Icy body",,1,4217.54,"Sulphur:23.55,Carbon:19.8,Iron:16.47,Phosphorus:12.68,Nickel:12.46,Manganese:6.8,Vanadium:4.04,Arsenic:1.52,Tin:1.06,Tellurium:0.88,Mercury:0.72",,0.32,No,"CMDR Scott Fleming","2024-03-01 04:15:46","https://www.edsm.net/en/system/bodies/id/72645824/name/Scorpius+Dark+Region+TK-E+a12-0/details/idB/479417382/nameB/Scorpius Dark Region TK-E a12-0 3 4"
5,"Scorpius Dark Region TK-E a12-0 4",Planet,"Icy body",,,6458.42,,,0.53,No,"CMDR Scott Fleming","2024-03-01 04:16:14","https://www.edsm.net/en/system/bodies/id/72645824/name/Scorpius+Dark+Region+TK-E+a12-0/details/idB/479417419/nameB/Scorpius Dark Region TK-E a12-0 4 5"
6,"Scorpius Dark Region TK-E a12-0 5",Planet,"Icy body",,1,5190.98,"Sulphur:22.76,Carbon:19.14,Iron:15.92,Phosphorus:12.25,Nickel:12.04,Chromium:7.16,Vanadium:3.91,Selenium:3.56,Cadmium:1.24,Niobium:1.09,Yttrium:0.95",,0.41,No,"CMDR Scott Fleming","2024-03-01 04:16:06","https://www.edsm.net/en/system/bodies/id/72645824/name/Scorpius+Dark+Region+TK-E+a12-0/details/idB/479417405/nameB/Scorpius Dark Region TK-E a12-0 5 6"
7,"Scorpius Dark Region TK-E a12-0 6",Planet,"Icy body",,,6854.58,,,0.58,No,"CMDR Scott Fleming","2024-03-01 04:15:17","https://www.edsm.net/en/system/bodies/id/72645824/name/Scorpius+Dark+Region+TK-E+a12-0/details/idB/479417340/nameB/Scorpius Dark Region TK-E a12-0 6 7"
8,"Scorpius Dark Region TK-E a12-0 6 a",Planet,"Icy body",,1,2606.17,"Sulphur:27.13,Carbon:22.81,Phosphorus:14.61,Iron:11.95,Nickel:9.04,Manganese:4.93,Selenium:4.25,Germanium:3.12,Cadmium:0.93,Niobium:0.82,Technetium:0.43",,0.16,No,"CMDR Scott Fleming","2024-03-01 04:15:25","https://www.edsm.net/en/system/bodies/id/72645824/name/Scorpius+Dark+Region+TK-E+a12-0/details/idB/479417348/nameB/Scorpius Dark Region TK-E a12-0 6 a 8"
9,"Scorpius Dark Region TK-E a12-0 7",Planet,"Icy body",,,8717.65,,,0.78,No,"CMDR Scott Fleming","2024-03-01 04:16:22","https://www.edsm.net/en/system/bodies/id/72645824/name/Scorpius+Dark+Region+TK-E+a12-0/details/idB/479417429/nameB/Scorpius Dark Region TK-E a12-0 7 9"
