bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
1,"Segnao SL-O b26-27 A",Star,"M (Red dwarf) Star",0,0,,,0,0,"2023-06-18 06:16:44","Ryan Richards","2023-06-18 06:16:44",https://www.edsm.net/en/system/bodies/id/80929554/name/Segnao+SL-O+b26-27
7,"Segnao SL-O b26-27 A 1",Planet,"High metal content world",,5324.45,,,0.92,Yes,"2023-06-18 06:19:02","Ryan Richards","2023-06-18 06:19:02",https://www.edsm.net/en/system/bodies/id/80929554/name/Segnao+SL-O+b26-27
8,"Segnao SL-O b26-27 A 2",Planet,"Water world",,9600.64,,,0.97,No,"2023-06-18 06:17:50","Ryan Richards","2023-06-18 06:17:50",https://www.edsm.net/en/system/bodies/id/80929554/name/Segnao+SL-O+b26-27
9,"Segnao SL-O b26-27 A 3",Planet,"Icy body",,9305.76,,,0.92,No,"2023-06-18 06:19:06","Ryan Richards","2023-06-18 06:19:06",https://www.edsm.net/en/system/bodies/id/80929554/name/Segnao+SL-O+b26-27
10,"Segnao SL-O b26-27 A 4",Planet,"Class I gas giant",,60715.19,,Icy,1.19,No,"2023-06-18 06:17:35","Ryan Richards","2023-06-18 06:17:35",https://www.edsm.net/en/system/bodies/id/80929554/name/Segnao+SL-O+b26-27
12,"Segnao SL-O b26-27 A 4 a",Planet,"Icy body",1,578.21,"Sulphur:27.26,Carbon:22.92,Phosphorus:14.68,Iron:12.22,Nickel:9.24,Chromium:5.49,Selenium:4.27,Arsenic:1.56,Cadmium:0.95,Antimony:0.74,Tungsten:0.67",,0.03,No,"2023-06-18 06:19:28","Ryan Richards","2023-06-18 06:19:28",https://www.edsm.net/en/system/bodies/id/80929554/name/Segnao+SL-O+b26-27
13,"Segnao SL-O b26-27 A 4 b",Planet,"Icy body",1,559.32,"Sulphur:26.77,Carbon:22.51,Phosphorus:14.41,Iron:12,Nickel:9.07,Chromium:5.4,Selenium:4.19,Zinc:3.26,Cadmium:0.93,Ruthenium:0.74,Tin:0.72",,0.03,No,"2023-06-18 06:19:26","Ryan Richards","2023-06-18 06:19:26",https://www.edsm.net/en/system/bodies/id/80929554/name/Segnao+SL-O+b26-27
14,"Segnao SL-O b26-27 A 4 c",Planet,"Icy body",1,666.78,"Sulphur:27.6,Carbon:23.21,Phosphorus:14.86,Iron:12.37,Nickel:9.36,Selenium:4.32,Germanium:3.54,Vanadium:3.04,Tin:0.74,Mercury:0.54,Technetium:0.44",,0.04,No,"2023-06-18 06:19:23","Ryan Richards","2023-06-18 06:19:23",https://www.edsm.net/en/system/bodies/id/80929554/name/Segnao+SL-O+b26-27
15,"Segnao SL-O b26-27 A 4 d",Planet,"Icy body",1,728.86,"Sulphur:26.26,Carbon:22.08,Phosphorus:14.14,Iron:11.77,Nickel:8.9,Chromium:5.29,Manganese:4.86,Selenium:4.11,Cadmium:0.91,Tellurium:0.87,Niobium:0.8",,0.04,No,"2023-06-18 06:19:21","Ryan Richards","2023-06-18 06:19:21",https://www.edsm.net/en/system/bodies/id/80929554/name/Segnao+SL-O+b26-27
16,"Segnao SL-O b26-27 A 4 e",Planet,"Icy body",1,598.21,"Sulphur:27.59,Carbon:23.2,Phosphorus:14.85,Iron:12.37,Nickel:9.35,Selenium:4.32,Germanium:3.54,Vanadium:3.04,Tin:0.74,Tungsten:0.68,Polonium:0.32",,0.04,No,"2023-06-18 06:19:19","Ryan Richards","2023-06-18 06:19:19",https://www.edsm.net/en/system/bodies/id/80929554/name/Segnao+SL-O+b26-27
