bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
0,"Sifuia SC-O b47-0",Star,"M (Red dwarf) Star",0,0,,,0,0,"2020-04-26 23:11:39","Reus Stert","2020-04-26 23:11:39",https://www.edsm.net/en/system/bodies/id/51627986/name/Sifuia+SC-O+b47-0
2,"Sifuia SC-O b47-0 1",Planet,"Rocky Ice world",1,1788.91,"Sulphur:19.58,Iron:17.31,Carbon:16.46,Nickel:13.09,Phosphorus:10.54,Chromium:7.78,Manganese:7.15,Zinc:4.7,Niobium:1.18,Molybdenum:1.13,Ruthenium:1.07",,0.16,No,"2020-04-26 23:14:39","Reus Stert","2020-04-26 23:14:39",https://www.edsm.net/en/system/bodies/id/51627986/name/Sifuia+SC-O+b47-0
3,"Sifuia SC-O b47-0 2",Planet,"Rocky Ice world",1,1785.43,"Sulphur:21.27,Iron:18.8,Carbon:17.88,Nickel:14.22,Phosphorus:11.45,Manganese:7.76,Selenium:3.33,Arsenic:1.76,Niobium:1.28,Molybdenum:1.23,Tellurium:1.02",,0.16,No,"2020-04-26 23:14:42","Reus Stert","2020-04-26 23:14:42",https://www.edsm.net/en/system/bodies/id/51627986/name/Sifuia+SC-O+b47-0
4,"Sifuia SC-O b47-0 3",Planet,"Rocky Ice world",1,1839.30,"Sulphur:20.66,Iron:18.26,Carbon:17.37,Nickel:13.81,Phosphorus:11.12,Manganese:7.54,Vanadium:4.48,Germanium:3.83,Cadmium:1.42,Tungsten:1,Polonium:0.51",,0.17,No,"2020-04-26 23:13:50","Reus Stert","2020-04-26 23:13:50",https://www.edsm.net/en/system/bodies/id/51627986/name/Sifuia+SC-O+b47-0
5,"Sifuia SC-O b47-0 4",Planet,"Icy body",1,1899.49,"Sulphur:22.99,Carbon:19.34,Iron:15.82,Phosphorus:12.38,Nickel:11.97,Chromium:7.12,Zinc:4.3,Selenium:3.6,Cadmium:1.23,Mercury:0.69,Technetium:0.57",,0.13,No,"2020-04-26 23:14:30","Reus Stert","2020-04-26 23:14:30",https://www.edsm.net/en/system/bodies/id/51627986/name/Sifuia+SC-O+b47-0
6,"Sifuia SC-O b47-0 5",Planet,"Icy body",1,2332.80,"Sulphur:22.88,Carbon:19.24,Iron:15.87,Phosphorus:12.32,Nickel:12,Chromium:7.14,Manganese:6.55,Zirconium:1.84,Molybdenum:1.04,Mercury:0.69,Polonium:0.45",,0.17,No,"2020-04-26 23:14:24","Reus Stert","2020-04-26 23:14:24",https://www.edsm.net/en/system/bodies/id/51627986/name/Sifuia+SC-O+b47-0
7,"Sifuia SC-O b47-0 5 a",Planet,"Icy body",1,785.65,"Sulphur:28.19,Carbon:23.71,Phosphorus:15.18,Iron:12.23,Nickel:9.25,Selenium:4.41,Germanium:3.23,Arsenic:1.45,Cadmium:0.95,Yttrium:0.73,Tungsten:0.67",,0.04,No,"2020-04-26 23:14:20","Reus Stert","2020-04-26 23:14:20",https://www.edsm.net/en/system/bodies/id/51627986/name/Sifuia+SC-O+b47-0
9,"Sifuia SC-O b47-0 6",Planet,"Icy body",1,2634.14,"Sulphur:24.82,Carbon:20.87,Iron:17.15,Phosphorus:13.36,Nickel:12.97,Zinc:4.66,Zirconium:1.99,Arsenic:1.61,Cadmium:1.33,Mercury:0.75,Polonium:0.48",,0.19,No,"2020-04-26 23:14:04","Reus Stert","2020-04-26 23:14:04",https://www.edsm.net/en/system/bodies/id/51627986/name/Sifuia+SC-O+b47-0
10,"Sifuia SC-O b47-0 7",Planet,"Icy body",1,1862.62,"Sulphur:22.83,Carbon:19.19,Iron:15.7,Phosphorus:12.29,Nickel:11.88,Chromium:7.06,Manganese:6.49,Zirconium:1.82,Cadmium:1.22,Niobium:1.07,Polonium:0.44",,0.13,No,"2020-04-26 23:14:01","Reus Stert","2020-04-26 23:14:01",https://www.edsm.net/en/system/bodies/id/51627986/name/Sifuia+SC-O+b47-0
11,"Sifuia SC-O b47-0 8",Planet,"Icy body",1,2189.07,"Sulphur:22.98,Carbon:19.33,Iron:15.81,Phosphorus:12.37,Nickel:11.96,Chromium:7.11,Zinc:4.3,Germanium:3.32,Niobium:1.08,Molybdenum:1.03,Antimony:0.7",,0.15,No,"2020-04-26 23:14:12","Reus Stert","2020-04-26 23:14:12",https://www.edsm.net/en/system/bodies/id/51627986/name/Sifuia+SC-O+b47-0
