body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
2,"Skauduae GS-M b13-1 A",Star,"M (Red dwarf) Star",,0,0,,,0,0,BST_RU,"2023-01-28 11:51:54","https://www.edsm.net/en/system/bodies/id/78790180/name/Skauduae+GS-M+b13-1/details/idB/428301108/nameB/Skauduae GS-M b13-1 A 2"
5,"Skauduae GS-M b13-1 AB 1",Planet,"High metal content world",,1,"2,619","Nickel:16.64,Carbon:13.15,Germanium:4.6,Cadmium:1.71",,0.4,No,BST_RU,"2023-01-28 11:51:54","https://www.edsm.net/en/system/bodies/id/78790180/name/Skauduae+GS-M+b13-1/details/idB/428301109/nameB/Skauduae GS-M b13-1 AB 1 5"
7,"Skauduae GS-M b13-1 AB 2",Planet,"High metal content world",,,"4,015",,,0.65,No,BST_RU,"2023-01-28 11:51:54","https://www.edsm.net/en/system/bodies/id/78790180/name/Skauduae+GS-M+b13-1/details/idB/428301111/nameB/Skauduae GS-M b13-1 AB 2 7"
8,"Skauduae GS-M b13-1 AB 3",Planet,"High metal content world",,,"3,435",,,0.54,No,BST_RU,"2023-01-28 11:51:54","https://www.edsm.net/en/system/bodies/id/78790180/name/Skauduae+GS-M+b13-1/details/idB/428301110/nameB/Skauduae GS-M b13-1 AB 3 8"
9,"Skauduae GS-M b13-1 AB 4",Planet,"Rocky Ice world",,1,"4,145","Carbon:16.98,Nickel:13.66,Vanadium:4.44,Yttrium:1.08",,0.41,No,BST_RU,"2023-01-28 11:52:16","https://www.edsm.net/en/system/bodies/id/78790180/name/Skauduae+GS-M+b13-1/details/idB/428301114/nameB/Skauduae GS-M b13-1 AB 4 9"
10,"Skauduae GS-M b13-1 AB 5",Planet,"Rocky Ice world",,,"7,655",,,0.83,No,BST_RU,"2023-01-28 11:53:12","https://www.edsm.net/en/system/bodies/id/78790180/name/Skauduae+GS-M+b13-1/details/idB/428301126/nameB/Skauduae GS-M b13-1 AB 5 10"
11,"Skauduae GS-M b13-1 AB 6",Planet,"Rocky Ice world",,,"7,163",,,0.76,No,BST_RU,"2023-01-28 11:52:09","https://www.edsm.net/en/system/bodies/id/78790180/name/Skauduae+GS-M+b13-1/details/idB/428301113/nameB/Skauduae GS-M b13-1 AB 6 11"
12,"Skauduae GS-M b13-1 AB 7",Planet,"Icy body",,,"9,151",,,0.91,No,BST_RU,"2023-01-28 11:53:26","https://www.edsm.net/en/system/bodies/id/78790180/name/Skauduae+GS-M+b13-1/details/idB/428301129/nameB/Skauduae GS-M b13-1 AB 7 12"
13,"Skauduae GS-M b13-1 AB 8",Planet,"Icy body",,,"10,318",,,1.09,No,BST_RU,"2023-01-28 11:53:18","https://www.edsm.net/en/system/bodies/id/78790180/name/Skauduae+GS-M+b13-1/details/idB/428301127/nameB/Skauduae GS-M b13-1 AB 8 13"
14,"Skauduae GS-M b13-1 AB 8 a",Planet,"Icy body",,1,"3,577","Carbon:21.97,Nickel:9.3,Germanium:3.24,Cadmium:0.96,Yttrium:0.73,Tungsten:0.68",,0.23,No,BST_RU,"2023-01-28 11:53:22","https://www.edsm.net/en/system/bodies/id/78790180/name/Skauduae+GS-M+b13-1/details/idB/428301128/nameB/Skauduae GS-M b13-1 AB 8 a 14"
