bodyId,bodyName,type,subType,discoveredBy,discoveredDt,materials,radius,rings,isLandable,gravity,terraformable,updateTime,EDSM
0,"Smojaei XE-G c24-1",Star,"K (Yellow-Orange) Star","Commander Picard","2017-11-13 07:18:35",,0,,0,0,0,"2024-05-22 02:16:10",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
6,"Smojaei XE-G c24-1 1",Planet,"Class II gas giant","Commander Picard","2017-11-14 03:36:32",,77344.60,"Metal Rich",,5.09,,"2024-05-22 02:18:06",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
8,"Smojaei XE-G c24-1 1 a",Planet,"Rocky body","CMDR Scott Fleming","2024-05-22 02:18:24",,797.69,,,0.09,"Not terraformable","2024-05-22 02:18:24",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
9,"Smojaei XE-G c24-1 1 b",Planet,"Rocky body","CMDR Scott Fleming","2024-05-22 02:18:21",,761.95,,,0.09,"Not terraformable","2024-05-22 02:18:21",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
10,"Smojaei XE-G c24-1 1 c",Planet,"Rocky body","CMDR Scott Fleming","2024-05-22 02:18:30","Iron:19.04, Sulphur:18.43, Carbon:15.5, Nickel:14.4, Phosphorus:9.92, Manganese:7.87, Germanium:5.46, Zinc:5.18, Cadmium:1.48, Tellurium:1.41, Niobium:1.3",578.46,,1,0.07,"Not terraformable","2024-05-22 02:58:23",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
11,"Smojaei XE-G c24-1 2",Planet,"Class II gas giant","Commander Picard","2017-11-14 03:36:32",,77128.02,"Metal Rich, Rocky",,4.62,,"2024-05-22 02:17:04",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
14,"Smojaei XE-G c24-1 2 a",Planet,"Rocky body","CMDR Scott Fleming","2024-05-22 02:17:40","Iron:19.18, Sulphur:18.56, Carbon:15.61, Nickel:14.51, Phosphorus:9.99, Chromium:8.63, Manganese:7.92, Arsenic:2.46, Niobium:1.31, Tin:1.14, Technetium:0.69",1003.07,,1,0.12,"Not terraformable","2024-05-22 02:17:40",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
15,"Smojaei XE-G c24-1 2 b",Planet,"Rocky body","CMDR Scott Fleming","2024-05-22 02:17:28",,1046.34,,,0.12,"Not terraformable","2024-05-22 02:17:28",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
16,"Smojaei XE-G c24-1 2 c",Planet,"Rocky body","CMDR Scott Fleming","2024-05-22 02:17:45",,878.58,,,0.1,"Not terraformable","2024-05-22 02:17:45",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
17,"Smojaei XE-G c24-1 2 d",Planet,"Rocky body","CMDR Scott Fleming","2024-05-22 02:17:50",,1037.81,,,0.12,"Not terraformable","2024-05-22 02:17:50",https://www.edsm.net/en/system/bodies/id/12372149/name/Smojaei+XE-G+c24-1
