body,bodyName,Type,subType,maxValue,isLandable,radius,materials,rings,gravity,terraformable,discoveredBy,discoveredDt,EDSM
0,"Synuefai FK-N a61-2",Star,"T (Brown dwarf) Star",,0,0,,,0,0,Q1REX,"2021-02-14 20:19:37",https://www.edsm.net/en/system/bodies/id/19783434/name/Synuefai+FK-N+a61-2
1,"Synuefai FK-N a61-2 1",Planet,"Icy body",,1,2885.04,"Sulphur:24.26,Carbon:20.4,Iron:16.81,Phosphorus:13.06,Nickel:12.71,Zinc:4.57,Vanadium:4.13,Arsenic:1.56,Cadmium:1.31,Mercury:0.73,Polonium:0.47",,0.21,,TheQuux,"2023-06-18 13:33:27","https://www.edsm.net/en/system/bodies/id/19783434/name/Synuefai+FK-N+a61-2/details/idB/13706610/nameB/Synuefai FK-N a61-2 1 1"
3,"Synuefai FK-N a61-2 2",Planet,"Icy body",,1,3205.28,"Sulphur:23.15,Carbon:19.46,Iron:16.04,Phosphorus:12.46,Nickel:12.13,Manganese:6.62,Zinc:4.36,Germanium:3.33,Molybdenum:1.05,Antimony:0.71,Mercury:0.7",,0.23,No,TheQuux,"2023-06-18 13:33:45","https://www.edsm.net/en/system/bodies/id/19783434/name/Synuefai+FK-N+a61-2/details/idB/448621142/nameB/Synuefai FK-N a61-2 2 3"
4,"Synuefai FK-N a61-2 3",Planet,"Icy body",,1,2770.23,"Sulphur:23.47,Carbon:19.73,Iron:16.26,Phosphorus:12.63,Nickel:12.3,Manganese:6.72,Zinc:4.42,Arsenic:1.51,Molybdenum:1.06,Ruthenium:1,Tungsten:0.89",,0.2,No,TheQuux,"2023-06-18 13:33:50","https://www.edsm.net/en/system/bodies/id/19783434/name/Synuefai+FK-N+a61-2/details/idB/448621148/nameB/Synuefai FK-N a61-2 3 4"
5,"Synuefai FK-N a61-2 4",Planet,"Icy body",,1,3062.87,"Sulphur:22.21,Carbon:18.68,Iron:15.39,Phosphorus:11.96,Nickel:11.64,Chromium:6.92,Manganese:6.36,Vanadium:3.78,Cadmium:1.19,Niobium:1.05,Tellurium:0.83",,0.22,No,TheQuux,"2023-06-18 13:33:57","https://www.edsm.net/en/system/bodies/id/19783434/name/Synuefai+FK-N+a61-2/details/idB/448621163/nameB/Synuefai FK-N a61-2 4 5"
7,"Synuefai FK-N a61-2 5",Planet,"Icy body",,1,2525.86,"Sulphur:23.75,Carbon:19.97,Iron:16.45,Phosphorus:12.78,Nickel:12.44,Zinc:4.47,Selenium:3.72,Germanium:3.42,Molybdenum:1.07,Ruthenium:1.02,Tungsten:0.9",,0.18,No,TheQuux,"2023-06-18 13:34:15","https://www.edsm.net/en/system/bodies/id/19783434/name/Synuefai+FK-N+a61-2/details/idB/448621183/nameB/Synuefai FK-N a61-2 5 7"
8,"Synuefai FK-N a61-2 6",Planet,"Icy body",,1,2318.81,"Sulphur:22.27,Carbon:18.72,Iron:15.43,Phosphorus:11.99,Nickel:11.67,Chromium:6.94,Manganese:6.37,Vanadium:3.79,Molybdenum:1.01,Tin:0.99,Tellurium:0.83",,0.16,No,TheQuux,"2023-06-18 13:34:19","https://www.edsm.net/en/system/bodies/id/19783434/name/Synuefai+FK-N+a61-2/details/idB/448621196/nameB/Synuefai FK-N a61-2 6 8"
9,"Synuefai FK-N a61-2 7",Planet,"Icy body",,1,3139.73,"Sulphur:22.74,Carbon:19.12,Iron:15.94,Phosphorus:12.24,Nickel:12.06,Manganese:6.58,Zinc:4.33,Vanadium:3.92,Molybdenum:1.04,Tin:1.03,Ruthenium:0.98",,0.23,No,TheQuux,"2023-06-18 13:33:32","https://www.edsm.net/en/system/bodies/id/19783434/name/Synuefai+FK-N+a61-2/details/idB/448621124/nameB/Synuefai FK-N a61-2 7 9"
10,"Synuefai FK-N a61-2 7 a",Planet,"Icy body",,1,1219.08,"Sulphur:27.03,Carbon:22.73,Phosphorus:14.55,Iron:11.8,Nickel:8.92,Chromium:5.31,Selenium:4.23,Germanium:3.09,Cadmium:0.92,Molybdenum:0.77,Antimony:0.65",,0.07,No,TheQuux,"2023-06-18 13:33:35","https://www.edsm.net/en/system/bodies/id/19783434/name/Synuefai+FK-N+a61-2/details/idB/448621134/nameB/Synuefai FK-N a61-2 7 a 10"
11,"Synuefai FK-N a61-2 8",Planet,"Icy body",,1,3496.54,"Sulphur:24.22,Carbon:20.36,Iron:16.78,Phosphorus:13.04,Nickel:12.69,Zinc:4.56,Vanadium:4.12,Zirconium:1.95,Tin:1.08,Mercury:0.73,Polonium:0.47",,0.26,No,TheQuux,"2023-06-18 13:33:24","https://www.edsm.net/en/system/bodies/id/19783434/name/Synuefai+FK-N+a61-2/details/idB/448621113/nameB/Synuefai FK-N a61-2 8 11"
