bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
1,"Wregoo GL-P c5-0 A",Star,"G (White-Yellow) Star",0,0,,,0,0,"2024-04-21 05:18:59",alisoonya,"2022-11-26 10:10:13",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
4,"Wregoo GL-P c5-0 A 1",Planet,"High metal content world",1,3573.31,"Iron:21.92,Nickel:16.58,Sulphur:15.41,Carbon:12.96,Chromium:9.86,Manganese:9.05,Phosphorus:8.3,Arsenic:2.04,Niobium:1.5,Tin:1.42,Antimony:0.96",,0.57,No,"2022-11-26 10:12:12",alisoonya,"2022-11-26 10:12:12",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
5,"Wregoo GL-P c5-0 A 2",Planet,"High metal content world",1,3193.11,"Iron:21.88,Nickel:16.55,Sulphur:15.38,Carbon:12.93,Chromium:9.84,Manganese:9.03,Phosphorus:8.28,Arsenic:2.03,Niobium:1.5,Tin:1.42,Tellurium:1.18",,0.5,No,"2024-04-21 05:19:50",alisoonya,"2022-11-26 10:12:10",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
6,"Wregoo GL-P c5-0 A 3",Planet,"High metal content world",1,3468.51,"Iron:22.6,Nickel:17.1,Sulphur:15.89,Carbon:13.36,Chromium:10.17,Phosphorus:8.55,Vanadium:5.55,Selenium:2.49,Molybdenum:1.48,Tin:1.46,Yttrium:1.35",,0.55,Yes,"2024-04-21 05:20:08",alisoonya,"2022-11-26 10:12:18",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
7,"Wregoo GL-P c5-0 A 4",Planet,"High metal content world",,3520.47,,,0.56,Yes,"2024-04-21 05:19:42",alisoonya,"2022-11-26 10:12:07",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
8,"Wregoo GL-P c5-0 A 5",Planet,"High metal content world",,3688.33,,,0.59,No,"2024-04-21 05:19:38",alisoonya,"2022-11-26 10:11:34",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
9,"Wregoo GL-P c5-0 A 5 a",Planet,"Rocky body",1,1426.95,"Iron:19.89,Sulphur:17.65,Nickel:15.05,Carbon:14.84,Phosphorus:9.5,Chromium:8.95,Manganese:8.22,Selenium:2.76,Yttrium:1.19,Tungsten:1.09,Mercury:0.87",,0.18,No,"2024-04-21 05:19:34",alisoonya,"2022-11-26 10:11:37",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
10,"Wregoo GL-P c5-0 A 6",Planet,"High metal content world",,3397.15,,,0.54,No,"2024-04-21 05:20:03",alisoonya,"2022-11-26 10:11:42",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
11,"Wregoo GL-P c5-0 A 7",Planet,"Rocky Ice world",,4687.07,,,0.56,No,"2024-04-21 05:19:29",alisoonya,"2022-11-26 10:10:31",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
12,"Wregoo GL-P c5-0 A 7 a",Planet,"Icy body",1,2130.73,"Sulphur:23.21,Carbon:19.51,Iron:15.21,Phosphorus:12.49,Nickel:11.5,Chromium:6.84,Zinc:4.13,Germanium:3.98,Cadmium:1.18,Niobium:1.04,Yttrium:0.91",,0.16,No,"2024-04-21 05:19:25",alisoonya,"2022-11-26 10:10:34",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
13,"Wregoo GL-P c5-0 A 8",Planet,"Icy body",,6797.01,,,0.56,No,"2024-04-21 05:20:06",alisoonya,"2022-11-26 10:12:15",https://www.edsm.net/en/system/bodies/id/77755364/name/Wregoo+GL-P+c5-0
