bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
1,"Wregoo UJ-G c24-1 A",Star,"K (Yellow-Orange) Star",0,0,,,0,0,"2024-08-01 16:14:12","CMDR Scott Fleming","2024-08-01 16:14:12",https://www.edsm.net/en/system/bodies/id/28667248/name/Wregoo+UJ-G+c24-1
28,"Wregoo UJ-G c24-1 A 1",Planet,"Class I gas giant",,56276.87,,Icy,0.98,No,"2024-08-01 16:34:26","CMDR Scott Fleming","2024-08-01 16:17:32",https://www.edsm.net/en/system/bodies/id/28667248/name/Wregoo+UJ-G+c24-1
30,"Wregoo UJ-G c24-1 A 1 a",Planet,"Icy body",1,502.88,"Sulphur:27.31,Carbon:22.96,Phosphorus:14.7,Iron:12.22,Nickel:9.24,Chromium:5.49,Selenium:4.27,Arsenic:1.57,Niobium:0.83,Yttrium:0.73,Tungsten:0.67",,0.03,No,"2024-08-01 16:18:04","CMDR Scott Fleming","2024-08-01 16:18:04",https://www.edsm.net/en/system/bodies/id/28667248/name/Wregoo+UJ-G+c24-1
32,"Wregoo UJ-G c24-1 A 1 b",Planet,"Icy body",1,519.18,"Sulphur:27.66,Carbon:23.26,Phosphorus:14.89,Iron:12.37,Nickel:9.36,Selenium:4.33,Zinc:3.36,Vanadium:3.04,Tin:0.74,Mercury:0.54,Technetium:0.44",,0.03,No,"2024-08-01 16:37:57","CMDR Scott Fleming","2024-08-01 16:17:51",https://www.edsm.net/en/system/bodies/id/28667248/name/Wregoo+UJ-G+c24-1
33,"Wregoo UJ-G c24-1 A 1 c",Planet,"Icy body",1,468.32,"Sulphur:27.53,Carbon:23.15,Phosphorus:14.82,Iron:12.31,Nickel:9.31,Selenium:4.31,Zinc:3.35,Vanadium:3.02,Cadmium:0.96,Molybdenum:0.8,Technetium:0.44",,0.03,No,"2024-08-01 16:17:44","CMDR Scott Fleming","2024-08-01 16:17:44",https://www.edsm.net/en/system/bodies/id/28667248/name/Wregoo+UJ-G+c24-1
34,"Wregoo UJ-G c24-1 A 1 d",Planet,"Icy body",1,509.10,"Sulphur:26.9,Carbon:22.62,Phosphorus:14.48,Iron:12.03,Nickel:9.1,Chromium:5.41,Selenium:4.21,Vanadium:2.96,Niobium:0.82,Ruthenium:0.74,Tin:0.72",,0.03,No,"2024-08-01 16:18:56","CMDR Scott Fleming","2024-08-01 16:18:56",https://www.edsm.net/en/system/bodies/id/28667248/name/Wregoo+UJ-G+c24-1
35,"Wregoo UJ-G c24-1 A 1 e",Planet,"Icy body",1,486.26,"Sulphur:27.89,Carbon:23.45,Phosphorus:15.01,Iron:12.48,Nickel:9.44,Selenium:4.36,Zinc:3.39,Zirconium:1.45,Cadmium:0.97,Molybdenum:0.81,Yttrium:0.75",,0.03,No,"2024-08-01 16:18:48","CMDR Scott Fleming","2024-08-01 16:18:48",https://www.edsm.net/en/system/bodies/id/28667248/name/Wregoo+UJ-G+c24-1
36,"Wregoo UJ-G c24-1 A 1 f",Planet,"Icy body",1,512.50,"Sulphur:26.93,Carbon:22.65,Phosphorus:14.5,Iron:12.05,Nickel:9.11,Manganese:4.98,Selenium:4.22,Zinc:3.27,Niobium:0.82,Ruthenium:0.74,Tin:0.72",,0.03,No,"2024-08-01 16:17:57","CMDR Scott Fleming","2024-08-01 16:17:57",https://www.edsm.net/en/system/bodies/id/28667248/name/Wregoo+UJ-G+c24-1
38,"Wregoo UJ-G c24-1 A 2",Planet,"Class I gas giant",,42082.49,,Icy,0.55,No,"2024-08-01 16:28:50","CMDR Scott Fleming","2024-08-01 16:15:07",https://www.edsm.net/en/system/bodies/id/28667248/name/Wregoo+UJ-G+c24-1
40,"Wregoo UJ-G c24-1 A 2 a",Planet,"Icy body",1,1306.52,"Sulphur:27.04,Carbon:22.74,Phosphorus:14.56,Iron:12.23,Nickel:9.25,Chromium:5.5,Germanium:3.52,Vanadium:3,Ruthenium:0.76,Tin:0.73,Tungsten:0.67",,0.08,No,"2024-08-01 16:15:16","CMDR Scott Fleming","2024-08-01 16:15:16",https://www.edsm.net/en/system/bodies/id/28667248/name/Wregoo+UJ-G+c24-1
