bodyId,bodyName,type,subType,isLandable,radius,materials,rings,gravity,terraformable,updateTime,discoveredBy,discoveredDt,EDSM
0,"s Eridani",Star,"A (Blue-White) Star",0,0,,,0,0,"2021-01-04 07:17:57",REsonance1,"2016-12-11 19:18:21",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
1,"s Eridani 1",Planet,"Metal-rich body",,5660.30,,,2.18,No,"2024-07-27 13:55:51","Jackie Silver","2016-12-24 11:56:34",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
2,"s Eridani 2",Planet,"Metal-rich body",1,5436.20,"Iron:32.42,Nickel:24.52,Chromium:14.58,Manganese:13.39,Zinc:8.81,Niobium:2.22,Tin:2.14,Yttrium:1.94",,2.05,No,"2024-07-27 16:15:44","Jackie Silver","2016-12-24 11:57:08",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
8,"s Eridani 3",Planet,"Class III gas giant",,75812.33,,,10.45,No,"2024-07-26 11:03:48","Bel Riose II","2017-02-06 12:27:50",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
9,"s Eridani 3 a",Planet,"Rocky body",1,1396.36,"Iron:18.44,Sulphur:17.98,Carbon:15.12,Nickel:13.95,Phosphorus:9.68,Chromium:8.29,Manganese:7.62,Zinc:5.01,Cadmium:1.43,Tellurium:1.38,Tin:1.09",,0.17,No,"2024-07-26 11:04:01","OLD CRUISER","2017-06-08 17:55:56",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
10,"s Eridani 3 b",Planet,"Rocky body",1,930.13,"Iron:19.18,Sulphur:18.71,Carbon:15.73,Nickel:14.51,Phosphorus:10.07,Chromium:8.63,Germanium:5.52,Vanadium:4.71,Niobium:1.31,Tin:1.14,Polonium:0.49",,0.11,No,"2024-07-26 11:04:05",AtomicJuggler,"2017-05-20 03:50:31",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
11,"s Eridani 3 c",Planet,"Rocky body",1,944.14,"Iron:19.56,Sulphur:19.08,Carbon:16.04,Nickel:14.8,Phosphorus:10.27,Manganese:8.08,Germanium:5.63,Arsenic:2.52,Cadmium:1.52,Niobium:1.34,Yttrium:1.17",,0.11,No,"2024-07-26 11:04:08",GoateeH,"2017-01-27 20:13:50",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
13,"s Eridani 3 d",Planet,"Rocky body",1,1656.24,"Iron:18.72,Sulphur:18.24,Carbon:15.34,Nickel:14.16,Phosphorus:9.82,Chromium:8.42,Manganese:7.73,Vanadium:4.6,Niobium:1.28,Molybdenum:1.22,Polonium:0.48",,0.2,No,"2024-07-26 11:03:54","OLD CRUISER","2017-06-08 18:04:38",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
21,"s Eridani 4",Planet,"Class III gas giant",,77184.88,,,7.16,No,"2024-07-26 11:04:18","Bel Riose II","2017-02-06 12:29:16",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
22,"s Eridani 4 a",Planet,"Rocky body",,1019.69,,,0.12,No,"2024-07-26 11:04:23","Stivl Writh","2017-09-22 20:44:28",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
23,"s Eridani 4 b",Planet,"Rocky body",,953.60,,,0.11,No,"2024-07-26 11:04:40","Stivl Writh","2017-09-22 20:43:43",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
24,"s Eridani 4 c",Planet,"Rocky body",,1271.09,,,0.15,No,"2024-07-26 11:04:28","Stivl Writh","2017-09-22 20:45:27",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
25,"s Eridani 5",Planet,"Gas giant with water-based life",,60601.62,,"Metal Rich, Rocky",1.23,No,"2024-07-26 11:05:15","Bel Riose II","2017-02-06 12:30:00",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
28,"s Eridani 5 a",Planet,"Rocky body",1,824.35,"Iron:18.98,Sulphur:18.51,Carbon:15.57,Nickel:14.36,Phosphorus:9.97,Chromium:8.54,Germanium:5.46,Zinc:5.16,Cadmium:1.47,Antimony:1.16,Mercury:0.83",,0.1,No,"2024-07-26 11:05:20","Stivl Writh","2017-09-22 20:47:52",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
29,"s Eridani 5 b",Planet,"Rocky body",1,1261.85,"Iron:20.31,Sulphur:19.81,Carbon:16.66,Nickel:15.36,Phosphorus:10.66,Germanium:5.85,Vanadium:4.99,Arsenic:2.62,Molybdenum:1.33,Yttrium:1.21,Tin:1.2",,0.15,No,"2024-07-26 11:05:22","Dan O'Bannon","2017-07-05 11:00:51",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
30,"s Eridani 6",Planet,"Class II gas giant",,24593.51,,Rocky,1.02,No,"2024-07-26 11:03:11","Bel Riose II","2017-02-06 12:33:23",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
32,"s Eridani 6 a",Planet,"Rocky body",1,606.75,"Iron:19.29,Sulphur:18.67,Carbon:15.7,Nickel:14.59,Phosphorus:10.05,Manganese:7.97,Zinc:5.24,Vanadium:4.74,Niobium:1.32,Molybdenum:1.26,Ruthenium:1.19",,0.07,No,"2024-07-26 11:03:21","Bel Riose II","2017-02-06 12:33:50",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
33,"s Eridani 6 b",Planet,"Rocky body",1,447.89,"Iron:18.71,Sulphur:18.24,Carbon:15.34,Nickel:14.15,Phosphorus:9.82,Chromium:8.41,Manganese:7.73,Vanadium:4.59,Ruthenium:1.16,Tungsten:1.03,Mercury:0.82",,0.05,No,"2024-07-26 11:03:17","Bel Riose II","2017-02-06 12:34:27",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
34,"s Eridani 6 c",Planet,"Rocky body",1,790.00,"Iron:20.42,Sulphur:19.92,Carbon:16.75,Nickel:15.45,Phosphorus:10.72,Zinc:5.55,Vanadium:5.02,Arsenic:2.63,Niobium:1.4,Ruthenium:1.26,Mercury:0.89",,0.09,No,"2024-07-26 11:03:30","Bel Riose II","2017-02-06 12:35:19",https://www.edsm.net/en/system/bodies/id/4069/name/s+Eridani
